variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Senkung der Unfallgefahr durch Fahren mit Licht"
"v01"	"1"	"Ja"
"v01"	"2"	"Nein"
"v01"	"3"	"W.N./K.A."
"v02"	"Variable Label"	"Fahren mit Licht per Gesetz"
"v02"	"1"	"per Gesetz vorschreiben"
"v02"	"2"	"jedem selbst überlassen"
"v02"	"3"	"W.N./K.A."
"v03"	"Variable Label"	"Motorradfahren mit 16 Jahren"
"v03"	"1"	"Dafür"
"v03"	"2"	"Dagegen"
"v03"	"3"	"W.N./K.A."
"v04"	"Variable Label"	"Motorradfahren für Lehrlinge ab 15?"
"v04"	"1"	"Dafür"
"v04"	"2"	"Dagegen"
"v04"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Helm für Radfahrer sinnvoll?"
"v05"	"1"	"Ja"
"v05"	"2"	"Nein"
"v05"	"3"	"W.N./K.A."
"v06"	"Variable Label"	"Helm für Radfahrer per Gesetz vorschreiben?"
"v06"	"1"	"per Gesetz vorschreiben"
"v06"	"2"	"jedem selbst überlassen"
"v06"	"3"	"W.N./K.A."
"v07"	"Variable Label"	"Fahhrräder mit Nummerntafeln"
"v07"	"1"	"Ja"
"v07"	"2"	"Nein"
"v07"	"3"	"W.N./K.A."
"v08"	"Variable Label"	"Einführung des Punkteführerscheins"
"v08"	"1"	"unbedingt dafür"
"v08"	"2"	"eher dafür"
"v08"	"3"	"eher dagegen"
"v08"	"4"	"unbedingt dagegen"
"v08"	"5"	"W.N./K.A."
"v10"	"Variable Label"	"Führerscheinprüfung am Computer"
"v10"	"1"	"dafür"
"v10"	"2"	"dagegen"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Regelung der Promille-Grenze"
"v11"	"1"	"0,8 Promille beibehalten"
"v11"	"2"	"auf 0,5 Promille herabsetzen"
"v11"	"3"	"auf 0,0 Promille herabsetzen"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Beurteilung von Minister Klima"
"v12"	"1"	"sehr gut"
"v12"	"2"	"gut"
"v12"	"3"	"befriedigend"
"v12"	"4"	"genügend"
"v12"	"5"	"nicht genügend"
"v12"	"6"	"W.N./K.A."
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"Männlich"
"v13"	"2"	"Weiblich"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"16 bis 24 Jahre"
"v14"	"2"	"25 bis 39 Jahre"
"v14"	"3"	"40 bis 59 Jahre"
"v14"	"4"	"ab 60 Jahre"
"v15"	"Variable Label"	"Bildung"
"v15"	"1"	"Matura/Universität"
"v15"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v15"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v16"	"Variable Label"	"Tätigkeit"
"v16"	"1"	"In Ausbildung"
"v16"	"2"	"Nicht berufstätig"
"v16"	"3"	"Pension"
"v16"	"4"	"Selbständig/Landwirt"
"v16"	"5"	"Arbeiter"
"v16"	"6"	"Angestellte"
"v16"	"7"	"Beamte"
"v17"	"Variable Label"	"Parteipräferenz"
"v17"	"1"	"SPÖ"
"v17"	"2"	"ÖVP"
"v17"	"3"	"FPÖ"
"v17"	"4"	"KPÖ"
"v17"	"5"	"GAL"
"v17"	"6"	"LIF"
"v17"	"7"	"Keine"
"v17"	"8"	"K.A."
"v18"	"Variable Label"	"Bundesland"
"v18"	"1"	"Wien"
"v18"	"2"	"Niederösterreich"
"v18"	"3"	"Burgenland"
"v18"	"4"	"Steiermark"
"v18"	"5"	"Kärnten"
"v18"	"6"	"Oberösterreich"
"v18"	"7"	"Salzburg"
"v18"	"8"	"Tirol"
"v18"	"9"	"Vorarlberg"
"v19a"	"Variable Label"	"Führerschein A"
"v19a"	"Variable Label"	"Nicht genannt"
"v19a"	"1"	"Genannt"
"v19b"	"Variable Label"	"Führerschein B"
"v19b"	"Variable Label"	"Nicht genannt"
"v19b"	"1"	"Genannt"
"v19c"	"Variable Label"	"Führerschein C"
"v19c"	"Variable Label"	"Nicht genannt"
"v19c"	"1"	"Genannt"
"v19d"	"Variable Label"	"Andere"
"v19d"	"Variable Label"	"Nicht genannt"
"v19d"	"1"	"Genannt"
"v19e"	"Variable Label"	"Keine"
"v19e"	"Variable Label"	"Nicht genannt"
"v19e"	"1"	"Genannt"
"v9a"	"Variable Label"	"Alkohol am Steuer"
"v9a"	"Variable Label"	"W.N."
"v9a"	"1"	"1"
"v9a"	"2"	"2"
"v9a"	"3"	"3"
"v9a"	"4"	"4"
"v9a"	"5"	"5"
"v9a"	"6"	"6"
"v9a"	"7"	"7"
"v9a"	"8"	"8"
"v9a"	"9"	"9"
"v9a"	"10"	"10"
"v9a"	"11"	"11"
"v9a"	"12"	"12"
"v9a"	"13"	"13"
"v9a"	"14"	"14"
"v9a"	"15"	"15"
"v9a"	"16"	"16"
"v9a"	"17"	"17"
"v9a"	"18"	"18"
"v9a"	"19"	"19"
"v9a"	"20"	"20"
"v9a"	"21"	"21"
"v9a"	"22"	"22"
"v9a"	"23"	"23"
"v9a"	"24"	"24"
"v9a"	"25"	"25"
"v9a"	"26"	"26"
"v9a"	"27"	"27"
"v9a"	"28"	"28"
"v9a"	"29"	"29"
"v9a"	"30"	"30"
"v9a"	"31"	"31"
"v9a"	"32"	"32"
"v9a"	"33"	"33"
"v9a"	"34"	"34"
"v9a"	"35"	"35"
"v9a"	"36"	"36"
"v9a"	"37"	"37"
"v9a"	"38"	"38"
"v9a"	"39"	"39"
"v9a"	"40"	"40"
"v9a"	"41"	"41"
"v9a"	"42"	"42"
"v9a"	"43"	"43"
"v9a"	"44"	"44"
"v9a"	"45"	"45"
"v9a"	"46"	"46"
"v9a"	"47"	"47"
"v9a"	"48"	"48"
"v9a"	"49"	"49"
"v9a"	"50"	"50"
"v9a"	"51"	"51"
"v9a"	"52"	"52"
"v9a"	"53"	"53"
"v9a"	"54"	"54"
"v9a"	"55"	"55"
"v9a"	"56"	"56"
"v9a"	"57"	"57"
"v9a"	"58"	"58"
"v9a"	"59"	"59"
"v9a"	"60"	"60"
"v9a"	"61"	"61"
"v9a"	"62"	"62"
"v9a"	"63"	"63"
"v9a"	"64"	"64"
"v9a"	"65"	"65"
"v9a"	"66"	"66"
"v9a"	"67"	"67"
"v9a"	"68"	"68"
"v9a"	"69"	"69"
"v9a"	"70"	"70"
"v9a"	"71"	"71"
"v9a"	"72"	"72"
"v9a"	"73"	"73"
"v9a"	"74"	"74"
"v9a"	"75"	"75"
"v9a"	"76"	"76"
"v9a"	"77"	"77"
"v9a"	"78"	"78"
"v9a"	"79"	"79"
"v9a"	"80"	"80"
"v9a"	"81"	"81"
"v9a"	"82"	"82"
"v9a"	"83"	"83"
"v9a"	"84"	"84"
"v9a"	"85"	"85"
"v9a"	"86"	"86"
"v9a"	"87"	"87"
"v9a"	"88"	"88"
"v9a"	"89"	"89"
"v9a"	"90"	"90"
"v9a"	"91"	"91"
"v9a"	"92"	"92"
"v9a"	"93"	"93"
"v9a"	"94"	"94"
"v9a"	"95"	"95"
