variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"12.6.-15.6.1997"
"datum"	"2"	"16.6.-18.6.1997"
"datum"	"3"	"19.6.-22.6.1997"
"datum"	"4"	"23.6.-25.6.1997"
"datum"	"5"	"26.6.-29.6.1997"
"datum"	"6"	"30.6.- 4.7.1997"
"datum"	"7"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v02"	"Variable Label"	"Eigene Haltung gegenüber Freiheitlicher Gewerkschaft"
"v02"	"1"	"begrüßen"
"v02"	"2"	"ablehnen"
"v02"	"3"	"wäre mir egal"
"v02"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Einschätzung der Gentechnik"
"v04"	"1"	"Nutzen überwiegt"
"v04"	"2"	"Gefahren überwiegen"
"v04"	"3"	"Weder noch"
"v04"	"4"	"W.N./K.A."
"v06"	"Variable Label"	"Teilnahme am Volksbegehren"
"v06"	"1"	"ja"
"v06"	"2"	"nein"
"v06"	"3"	"K.A."
"v10"	"Variable Label"	"Beitrag der Gewerkschaften im Kampf gegen Arbeitslosigkeit"
"v10"	"1"	"sehr groß"
"v10"	"2"	"groß"
"v10"	"3"	"gering"
"v10"	"4"	"kann nichts bewirken"
"v10"	"5"	"W.N./K.A."
"v11"	"Variable Label"	"Einfluß gewerkschaftlicher Forderungen auf Arbeitslosigkeit"
"v11"	"1"	"Anstieg der Arbeitslosigkeit"
"v11"	"2"	"Rückgang der Arbeitslosigkeit"
"v11"	"3"	"Hat keinen Einfluß"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Soll EU Gewerkschaften in Europa stärken?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"Männlich"
"v13"	"2"	"Weiblich"
"v14"	"Variable Label"	"Beruf"
"v14"	"Variable Label"	"Andere"
"v14"	"1"	"Hilfsarbeiter"
"v14"	"2"	"Facharbeiter"
"v14"	"3"	"Leitende Ang./Beamte"
"v14"	"4"	"Angestellte"
"v14"	"5"	"Beamte"
"v14"	"6"	"Rentner/Pensionisten"
"v14"	"7"	"Hausfrauen"
"v14"	"8"	"Selbständige"
"v14"	"9"	"Landwirte"
"v15"	"Variable Label"	"Bundesland"
"v15"	"1"	"Wien"
"v15"	"2"	"Burgenland"
"v15"	"3"	"Niederösterreich"
"v15"	"4"	"Oberösterreich"
"v15"	"5"	"Salzburg"
"v15"	"6"	"Tirol"
"v15"	"7"	"Vorarlberg"
"v15"	"8"	"Steiermark"
"v15"	"9"	"Kärnten"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"Unter 20 Jahren"
"v16"	"2"	"20 bis 25 Jahre"
"v16"	"3"	"26 bis 35 Jahre"
"v16"	"4"	"36 bis 50 Jahre"
"v16"	"5"	"51 bis 65 Jahre"
"v16"	"6"	"Über 65 Jahre"
"v17"	"Variable Label"	"Bildung"
"v17"	"1"	"Volksschule"
"v17"	"2"	"Hauptschule"
"v17"	"3"	"Berufs-/Handelsschule"
"v17"	"4"	"Matura"
"v17"	"5"	"Abg. Hochschule"
"v18"	"Variable Label"	"Parteipräferenz aktuell"
"v18"	"1"	"FPÖ"
"v18"	"2"	"KPÖ"
"v18"	"3"	"ÖVP"
"v18"	"4"	"SPÖ"
"v18"	"5"	"GAL"
"v18"	"6"	"LIF"
"v18"	"7"	"Keine"
"v19"	"Variable Label"	"Parteipräferenz früher"
"v19"	"1"	"FPÖ"
"v19"	"2"	"KPÖ"
"v19"	"3"	"ÖVP"
"v19"	"4"	"SPÖ"
"v19"	"5"	"GAL"
"v19"	"6"	"LIF"
"v19"	"7"	"Keine"
"v1a"	"Variable Label"	"FP will ÖGB schwächen"
"v1a"	"1"	"voll zu"
"v1a"	"2"	"eher schon zu"
"v1a"	"3"	"eher nicht zu"
"v1a"	"4"	"gar nicht zu"
"v1a"	"5"	"W.N./K.A."
"v1b"	"Variable Label"	"Unternehmer wollen Gewerkschaftsbewegung schwächen"
"v1b"	"1"	"voll zu"
"v1b"	"2"	"eher schon zu"
"v1b"	"3"	"eher nicht zu"
"v1b"	"4"	"gar nicht zu"
"v1b"	"5"	"W.N./K.A."
"v1c"	"Variable Label"	"Es ist gut, daß ÖGB Konkurrenz erhält"
"v1c"	"1"	"voll zu"
"v1c"	"2"	"eher schon zu"
"v1c"	"3"	"eher nicht zu"
"v1c"	"4"	"gar nicht zu"
"v1c"	"5"	"W.N./K.A."
"v1d"	"Variable Label"	"Das Ganze ist nur ein Strohfeuer"
"v1d"	"1"	"voll zu"
"v1d"	"2"	"eher schon zu"
"v1d"	"3"	"eher nicht zu"
"v1d"	"4"	"gar nicht zu"
"v1d"	"5"	"W.N./K.A."
"v1e"	"Variable Label"	"Freiheitliche Gewerkschaft würde Arbeitnehmer gut vertreten"
"v1e"	"1"	"voll zu"
"v1e"	"2"	"eher schon zu"
"v1e"	"3"	"eher nicht zu"
"v1e"	"4"	"gar nicht zu"
"v1e"	"5"	"W.N./K.A."
"v20a"	"Variable Label"	"Kronen Zeitung"
"v20a"	"Variable Label"	"Nicht genannt"
"v20a"	"1"	"Genannt"
"v20b"	"Variable Label"	"Täglich Alles"
"v20b"	"Variable Label"	"Nicht genannt"
"v20b"	"1"	"Genannt"
"v20c"	"Variable Label"	"Kurier"
"v20c"	"Variable Label"	"Nicht genannt"
"v20c"	"1"	"Genannt"
"v20d"	"Variable Label"	"Presse"
"v20d"	"Variable Label"	"Nicht genannt"
"v20d"	"1"	"Genannt"
"v20e"	"Variable Label"	"SN"
"v20e"	"Variable Label"	"Nicht genannt"
"v20e"	"1"	"Genannt"
"v20f"	"Variable Label"	"Standard"
"v20f"	"Variable Label"	"Nicht genannt"
