variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Effekt des Gedenkjahres 1988"
"v01"	"1"	"Mehr Einigkeit"
"v01"	"2"	"Es hat sich nichts geändert"
"v01"	"3"	"Stärker zerstritten"
"v01"	"4"	"Weiß nicht"
"v02a"	"Variable Label"	"Informationsbedürfnis über NS-Zeit"
"v02a"	"1"	"Ja"
"v02a"	"2"	"Nein"
"v02a"	"3"	"Weiß nicht"
"v02b"	"Variable Label"	"Informationsbedürfnis über Judenverfolgungen"
"v02b"	"1"	"Ja"
"v02b"	"2"	"Nein"
"v02b"	"3"	"Weiß nicht"
"v02c"	"Variable Label"	"Informationsbedürfnis über Zweiten Weltkrieg"
"v02c"	"1"	"Ja"
"v02c"	"2"	"Nein"
"v02c"	"3"	"Weiß nicht"
"v03"	"Variable Label"	"Bildertest"
"v03"	"1"	"Bild 1"
"v03"	"2"	"Bild 2"
"v03"	"3"	"Bild 3"
"v03"	"4"	"Bild 4"
"v03"	"5"	"Weiß nicht"
"v04a1"	"Variable Label"	"Weiß nicht"
"v04a1"	"Variable Label"	"Stimmt nicht"
"v04a1"	"1"	"Stimmt"
"v04a2"	"Variable Label"	"Andere (Antworten)"
"v04a2"	"Variable Label"	"Stimmt nicht"
"v04a2"	"1"	"Stimmt"
"v04a3"	"Variable Label"	"Alle Politiker"
"v04a3"	"Variable Label"	"Stimmt nicht"
"v04a3"	"1"	"Stimmt"
"v04a4"	"Variable Label"	"SPÖ"
"v04a4"	"Variable Label"	"Stimmt nicht"
"v04a4"	"1"	"Stimmt"
"v04a5"	"Variable Label"	"ÖVP"
"v04a5"	"Variable Label"	"Stimmt nicht"
"v04a5"	"1"	"Stimmt"
"v04a6"	"Variable Label"	"FPÖ"
"v04a6"	"Variable Label"	"Stimmt nicht"
"v04a6"	"1"	"Stimmt"
"v04a7"	"Variable Label"	"Grünen"
"v04a7"	"Variable Label"	"Stimmt nicht"
"v04a7"	"1"	"Stimmt"
"v04a8"	"Variable Label"	"Beide Koalitionspartner"
"v04a8"	"Variable Label"	"Stimmt nicht"
"v04a8"	"1"	"Stimmt"
"v04a9"	"Variable Label"	"Blecha"
"v04a9"	"Variable Label"	"Stimmt nicht"
"v04a9"	"1"	"Stimmt"
"v04ami"	"Variable Label"	"Graff"
"v04ami"	"Variable Label"	"Stimmt nicht"
"v04ami"	"1"	"Stimmt"
"v04ao"	"Variable Label"	"Dallinger"
"v04ao"	"Variable Label"	"Stimmt nicht"
"v04ao"	"1"	"Stimmt"
"v04apl"	"Variable Label"	"Flemming"
"v04apl"	"Variable Label"	"Stimmt nicht"
"v04apl"	"1"	"Stimmt"
"v04b1"	"Variable Label"	"Haider"
