variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10a"	"Variable Label"	"Dem ÖGB"
"v10a"	"1"	"sehr"
"v10a"	"2"	"etwas"
"v10a"	"3"	"wenig"
"v10a"	"4"	"gar nicht"
"v10a"	"5"	"W.N./K.A."
"v10b"	"Variable Label"	"Der SPÖ"
"v10b"	"1"	"sehr"
"v10b"	"2"	"etwas"
"v10b"	"3"	"wenig"
"v10b"	"4"	"gar nicht"
"v10b"	"5"	"W.N./K.A."
"v10c"	"Variable Label"	"Der österreichischen Wirtschaft"
"v10c"	"1"	"sehr"
"v10c"	"2"	"etwas"
"v10c"	"3"	"wenig"
"v10c"	"4"	"gar nicht"
"v10c"	"5"	"W.N./K.A."
"v11a"	"Variable Label"	"Die Kampfkraft des ÖGB wurde geschwächt"
"v11a"	"1"	"sehr"
"v11a"	"2"	"etwas"
"v11a"	"3"	"wenig"
"v11a"	"4"	"gar nicht"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"Die Finanzen des ÖGB wurden geschwächt"
"v11b"	"1"	"sehr"
"v11b"	"2"	"etwas"
"v11b"	"3"	"wenig"
"v11b"	"4"	"gar nicht"
"v11b"	"5"	"W.N./K.A."
"v11c"	"Variable Label"	"Das Vertrauen in den ÖGB wurde geschwächt"
"v11c"	"1"	"sehr"
"v11c"	"2"	"etwas"
"v11c"	"3"	"wenig"
"v11c"	"4"	"gar nicht"
"v11c"	"5"	"W.N./K.A."
"v11d"	"Variable Label"	"Das Vertrauen in die Sozialpartnerschaft wurde geschwächt"
"v11d"	"1"	"sehr"
"v11d"	"2"	"etwas"
"v11d"	"3"	"wenig"
"v11d"	"4"	"gar nicht"
"v11d"	"5"	"W.N./K.A."
"v12a"	"Variable Label"	"Durch Partner oder Verwandte (Kinder, Enkelkinder, etc)"
"v12a"	"Variable Label"	"nicht genannt"
"v12a"	"1"	"genannt"
"v12b"	"Variable Label"	"Im Pflegeheim in der Nähe meines Wohnortes"
"v12b"	"Variable Label"	"nicht genannt"
"v12b"	"1"	"genannt"
"v12c"	"Variable Label"	"Durch \"Rund um die Uhr Betreuung\" zu Hause nur durch inländische Heimhilfe"
"v12c"	"Variable Label"	"nicht genannt"
"v12c"	"1"	"genannt"
"v12d"	"Variable Label"	"Durch \"Rund um die Uhr Betreuung\" zu Hause auch durch ausländische Heimhilfe"
"v12d"	"Variable Label"	"nicht genannt"
"v12d"	"1"	"genannt"
"v12e"	"Variable Label"	"Durch mobile Pflegedienste"
"v12e"	"Variable Label"	"nicht genannt"
"v12e"	"1"	"genannt"
"v12f"	"Variable Label"	"Anders"
"v12f"	"Variable Label"	"nicht genannt"
"v12f"	"1"	"genannt"
"v12g"	"Variable Label"	"W.N./K.A."
"v12g"	"Variable Label"	"nicht genannt"
"v12g"	"1"	"genannt"
"v13a"	"Variable Label"	"Durch mehr Pflegeheime"
"v13a"	"1"	"sehr wichtig"
"v13a"	"2"	"wichtig"
"v13a"	"3"	"weniger wichtig"
"v13a"	"4"	"unwichtig"
"v13a"	"5"	"W.N./K.A."
"v13b"	"Variable Label"	"Durch Zulassung ausländischer AltenpflegerInnen"
"v13b"	"1"	"sehr wichtig"
"v13b"	"2"	"wichtig"
"v13b"	"3"	"weniger wichtig"
"v13b"	"4"	"unwichtig"
"v13b"	"5"	"W.N./K.A."
