variable	value	Label
"AK_Ergebnis"	"Variable Label"	"Antikörper Ergebnis auf Basis serologischer Blutanalyse und Neutralisationstest"
"AK_Ergebnis"	"0"	"negativ"
"AK_Ergebnis"	"1"	"positiv"
"arbumf"	"Variable Label"	"Arbeitsumfang aktuell f_arbumf"
"arbumf"	"-3"	"Filter"
"arbumf"	"1"	"Weniger als vorher"
"arbumf"	"2"	"Ungefähr gleich viel"
"arbumf"	"3"	"Mehr als vorher"
"bhhgr_g"	"Variable Label"	"Haushaltsgröße gruppiert f_anzahlpers"
"bhhgr_g"	"1"	"1 Person"
"bhhgr_g"	"2"	"2 Personen"
"bhhgr_g"	"3"	"3 Personen"
"bhhgr_g"	"4"	"4 oder mehr Personen"
"bmi"	"Variable Label"	"BMI"
"bmi"	"-3"	"Filter"
"BMI_neu"	"Variable Label"	"BMI neu WHO 2002"
"BMI_neu"	"1"	"negative Werte"
"BMI_neu"	"2"	"Untergewicht"
"BMI_neu"	"3"	"Normalgewicht"
"BMI_neu"	"4"	"Übergewicht"
"BMI_neu"	"5"	"Adipositas"
"bsex"	"Variable Label"	"Geschlecht"
"bsex"	"-3"	"Filter"
"bsex"	"1"	"Männlich"
"bsex"	"2"	"Weiblich"
"bsex"	"3"	"Anderes"
"chronkrankcv03_1"	"Variable Label"	"Bluthochdruck f_chronkrank_cov3_A1"
"chronkrankcv03_1"	"-3"	"Filter"
"chronkrankcv03_1"	"1"	"Ja"
"chronkrankcv03_1"	"2"	"Nein"
"chronkrankcv03_10"	"Variable Label"	"geschwächtes Immunsystem f_chronkrank_cov3_A10"
"chronkrankcv03_10"	"-3"	"Filter"
"chronkrankcv03_10"	"1"	"Ja"
"chronkrankcv03_10"	"2"	"Nein"
"chronkrankcv03_2"	"Variable Label"	"Herz-Kreislauferkrankung (Herzschwäche, Herzinfarkt, Herzrhythmusstörung, Schlaganfall) f_chronkrank_cov3_A2"
"chronkrankcv03_2"	"-3"	"Filter"
"chronkrankcv03_2"	"1"	"Ja"
"chronkrankcv03_2"	"2"	"Nein"
"chronkrankcv03_3"	"Variable Label"	"chronische Lungenerkrankung f_chronkrank_cov3_A3"
"chronkrankcv03_3"	"-3"	"Filter"
"chronkrankcv03_3"	"1"	"Ja"
"chronkrankcv03_3"	"2"	"Nein"
"chronkrankcv03_4"	"Variable Label"	"Asthma, einschließlich allergisches Asthma f_chronkrank_cov3_A4"
"chronkrankcv03_4"	"-3"	"Filter"
"chronkrankcv03_4"	"1"	"Ja"
"chronkrankcv03_4"	"2"	"Nein"
"chronkrankcv03_5"	"Variable Label"	"chronische Erkrankung der Niere f_chronkrank_cov3_A5"
"chronkrankcv03_5"	"-3"	"Filter"
"chronkrankcv03_5"	"1"	"Ja"
"chronkrankcv03_5"	"2"	"Nein"
"chronkrankcv03_6"	"Variable Label"	"chronische Erkrankung der Leber f_chronkrank_cov3_A6"
"chronkrankcv03_6"	"-3"	"Filter"
"chronkrankcv03_6"	"1"	"Ja"
"chronkrankcv03_6"	"2"	"Nein"
"chronkrankcv03_7"	"Variable Label"	"chronische neurologische Erkrankung f_chronkrank_cov3_A7"
"chronkrankcv03_7"	"-3"	"Filter"
"chronkrankcv03_7"	"1"	"Ja"
"chronkrankcv03_7"	"2"	"Nein"
"chronkrankcv03_8"	"Variable Label"	"medikamentös behandelte Diabetes f_chronkrank_cov3_A8"
"chronkrankcv03_8"	"-3"	"Filter"
"chronkrankcv03_8"	"1"	"Ja"
"chronkrankcv03_8"	"2"	"Nein"
"chronkrankcv03_9"	"Variable Label"	"Krebserkrankung in Therapie f_chronkrank_cov3_A9"
"chronkrankcv03_9"	"-3"	"Filter"
"chronkrankcv03_9"	"1"	"Ja"
"chronkrankcv03_9"	"2"	"Nein"
"corsymcv03_1"	"Variable Label"	"Fieber über 38 Grad seit Mitte Februar f_corsym_cov3_A1"
"corsymcv03_1"	"-3"	"Filter"
"corsymcv03_1"	"1"	"Ja"
"corsymcv03_1"	"2"	"Nein"
"corsymcv03_1"	"3"	"Kann ich nicht sagen"
"corsymcv03_10"	"Variable Label"	"Hautausschlag oder Verfärbung an Fingern oder Zehen seit Mitte Februar f_corsym_cov3_A10"
"corsymcv03_10"	"-3"	"Filter"
"corsymcv03_10"	"1"	"Ja"
"corsymcv03_10"	"2"	"Nein"
"corsymcv03_10"	"3"	"Kann ich nicht sagen"
"corsymcv03_2"	"Variable Label"	"trockenen Husten seit Mitte Februar f_corsym_cov3_A2"
"corsymcv03_2"	"-3"	"Filter"
"corsymcv03_2"	"1"	"Ja"
"corsymcv03_2"	"2"	"Nein"
"corsymcv03_2"	"3"	"Kann ich nicht sagen"
"corsymcv03_3"	"Variable Label"	"Halsschmerzen seit Mitte Februar f_corsym_cov3_A3"
"corsymcv03_3"	"-3"	"Filter"
"corsymcv03_3"	"1"	"Ja"
"corsymcv03_3"	"2"	"Nein"
"corsymcv03_3"	"3"	"Kann ich nicht sagen"
"corsymcv03_4"	"Variable Label"	"Muskel- oder Gliederschmerzen seit Mitte Februar f_corsym_cov3_A4"
"corsymcv03_4"	"-3"	"Filter"
"corsymcv03_4"	"1"	"Ja"
"corsymcv03_4"	"2"	"Nein"
"corsymcv03_4"	"3"	"Kann ich nicht sagen"
"corsymcv03_5"	"Variable Label"	"Kurzatmigkeit / Atembeschwerden / Atemnot seit Mitte Februar f_corsym_cov3_A5"
"corsymcv03_5"	"-3"	"Filter"
"corsymcv03_5"	"1"	"Ja"
"corsymcv03_5"	"2"	"Nein"
