variable	value	Label
"a"	"Variable Label"	"Ihr Geschlecht?"
"a"	"1"	"männlich"
"a"	"2"	"weiblich"
"alter"	"Variable Label"	"Alter, 10-Jahresschritte"
"alter"	"1"	"14 bis 19 Jahre"
"alter"	"2"	"20 bis 29 Jahre"
"alter"	"3"	"30 bis 39 Jahre"
"alter"	"4"	"40 bis 49 Jahre"
"alter"	"5"	"50 bis 59 Jahre"
"alter"	"6"	"60 bis 69 Jahre"
"alter"	"7"	"70 Jahre und älter"
"alter4"	"Variable Label"	"Alter, 4 Gruppen"
"alter4"	"1"	"bis 29 Jahre"
"alter4"	"2"	"30 bis 44 Jahre"
"alter4"	"3"	"45 bis 59 Jahre"
"alter4"	"4"	"60 Jahre und älter"
"bundesland"	"Variable Label"	"Bundesland"
"bundesland"	"1"	"Burgenland"
"bundesland"	"2"	"Kärnten"
"bundesland"	"3"	"Niederösterreich"
"bundesland"	"4"	"Oberösterreich"
"bundesland"	"5"	"Salzburg"
"bundesland"	"6"	"Steiermark"
"bundesland"	"7"	"Tirol"
"bundesland"	"8"	"Vorarlberg"
"bundesland"	"9"	"Wien"
"c"	"Variable Label"	"Was ist Ihre höchste bereits abgeschlossene Schulbildung?"
"c"	"1"	"Pflichtschule"
"c"	"2"	"Lehre"
"c"	"3"	"berufsbildende mittlere Schule (ohne Matura)"
"c"	"4"	"allgemeine oder berufsbildende höhere Schule (AHS/BHS, mit Matura)"
"c"	"5"	"Universität, Fachhochschule"
"d"	"Variable Label"	"Soweit Sie wissen, hat Ihre Mutter/Ihr Vater Matura?"
"d"	"1"	"ja, meine Mutter"
"d"	"2"	"ja, mein Vater"
"d"	"3"	"ja, beide"
"d"	"4"	"nein, keiner von beiden"
"d"	"5"	"keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"e_rec"	"Variable Label"	"Sind Sie derzeit...?"
"e_rec"	"1"	"Berufstätig (aber kein Lehrling)"
"e_rec"	"2"	"Schüler/in, Student/in, in Ausbildung"
"e_rec"	"3"	"in Pension"
"e_rec"	"4"	"Sonstiges"
"f"	"Variable Label"	"Beruf: Sind Sie derzeit...?"
"f"	"1"	"ArbeiterIn"
"f"	"2"	"Angestellte/r"
"f"	"3"	"öffentlich Bedienstete/r"
"f"	"4"	"selbständig, freiberuflich"
"g"	"Variable Label"	"Kurzarbeit"
"g"	"1"	"ja"
"g"	"2"	"nein"
"g"	"3"	"keine Angabe"
"gew"	"Variable Label"	"Gewicht roh"
"gew_cut"	"Variable Label"	"Gewicht zugeschnitten (windsored)"
"h"	"Variable Label"	"Arbeiten Sie Voll- oder Teilzeit?"
"h"	"1"	"Vollzeit"
"h"	"2"	"Teilzeit"
"h"	"3"	"keine Angabe"
"i"	"Variable Label"	"Aussagen zu Geld"
"i"	"1"	"Ich habe genug Geld, um mir immer alles leisten zu können, was ich möchte."
"i"	"2"	"Ab und an muss ich nachdenken, wofür genau ich Geld ausgebe."
"i"	"3"	"Ich muss mir mein Geld genau einteilen."
"i"	"4"	"keine Angabe"
"id"	"Variable Label"	"Identifikationsnummer des Interviews"
"j"	"Variable Label"	"Haushaltseinkommen"
"j"	"1"	"bis 500 Euro"
"j"	"2"	"500 bis 1000 Euro"
"j"	"3"	"1000 bis 1500 Euro"
"j"	"4"	"1500 bis 2000 Euro"
"j"	"5"	"2000 bis 2500 Euro"
"j"	"6"	"2500 bis 3000 Euro"
"j"	"7"	"mehr als 3000 Euro"
"j"	"8"	"keine Angabe"
"k"	"Variable Label"	"Sind Sie Mitglied einer politischen Partei?"
"k"	"1"	"ja"
"k"	"2"	"nein"
"k"	"3"	"keine Angabe"
"l"	"Variable Label"	"Sind Sie Mitglied der Gewerkschaft?"
"l"	"1"	"ja"
"l"	"2"	"nein"
"l"	"3"	"keine Angabe"
"m"	"Variable Label"	"Sind Sie in Ihrer Freizeit in irgendeinem Verein aktiv?"
"m"	"1"	"ja"
"m"	"2"	"nein"
"m"	"3"	"keine Angabe"
"n_rec"	"Variable Label"	"Welcher Glaubensgemeinschaft gehören Sie an?"
"n_rec"	"1"	"römisch-katholisch"
"n_rec"	"2"	"evangelisch"
"n_rec"	"3"	"islamisch"
"n_rec"	"4"	"anderer"
"n_rec"	"5"	"keiner, ohne Bekenntnis"
"n_rec"	"6"	"keine Angabe"
"o"	"Variable Label"	"Wie häufig gehen Sie in ein Gebetshaus Ihrer Religion?"
"o"	"1"	"praktisch nie"
"o"	"2"	"ein Mal pro Jahr oder seltener"
"o"	"3"	"ein paar Mal im Jahr"
"o"	"4"	"zumindest einmal pro Monat"
"o"	"5"	"zumindest einmal pro Woche"
"o"	"6"	"häufiger"
"o"	"7"	"keine Angabe"
"p"	"Variable Label"	"Sind Sie in Österreich geboren?"
"p"	"1"	"ja"
"p"	"2"	"nein"
"p"	"3"	"keine Angabe"
"q1"	"Variable Label"	"Wie hat sich Österreich in den vergangenen zwölf Monaten entwickelt?"
"q1"	"1"	"eher positiv"
"q1"	"2"	"eher negativ"
"q1"	"3"	"es hat sich nichts verändert"
"q1"	"4"	"keine Angabe"
"q10_1"	"Variable Label"	"Politik ist so kompliziert, dass Leute wie ich kaum verstehen was passiert"
"q10_1"	"1"	"stimme sehr zu"
"q10_1"	"2"	"stimme eher zu"
"q10_1"	"3"	"stimme eher nicht zu"
"q10_1"	"4"	"stimme gar nicht zu"
"q10_1"	"5"	"keine Angabe"
"q10_2"	"Variable Label"	"Menschen wie ich haben keinen Einfluss darauf, was die Regierung tut"
"q10_2"	"1"	"stimme sehr zu"
"q10_2"	"2"	"stimme eher zu"
"q10_2"	"3"	"stimme eher nicht zu"
"q10_2"	"4"	"stimme gar nicht zu"
"q10_2"	"5"	"keine Angabe"
"q11"	"Variable Label"	"Politische Bildung"
"q11"	"1"	"Die Themen Politik und Demokratie kommen in meiner Ausbildung nicht vor."
"q11"	"2"	"Ab und an sprechen wir über die Themen Politik und Demokratie in meiner Ausbildung."
"q11"	"3"	"Wir sprechen sehr häufig über die Themen Politik und Demokratie in meiner Ausbildung."
"q11"	"4"	"keine Angabe"
"q12"	"Variable Label"	"Waren Sie bei der Nationalratswahl 2019 wahlberechtigt?"
"q12"	"1"	"ja"
"q12"	"2"	"nein"
"q12"	"3"	"keine Angabe"
"q13"	"Variable Label"	"Welcher Partei haben Sie da Ihre Stimme gegeben?"
"q13"	"1"	"ÖVP"
"q13"	"2"	"SPÖ"
"q13"	"3"	"FPÖ"
"q13"	"4"	"GRÜNE"
"q13"	"5"	"NEOS"
"q13"	"6"	"Jetzt/Liste Pilz"
"q13"	"7"	"KPÖ"
"q13"	"8"	"andere Partei"
"q13"	"9"	"ungültig gewählt"
"q13"	"10"	"war nicht wählen"
"q13"	"11"	"keine Angabe"
"q14_1"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl ÖVP"
"q14_1"	"0"	"sehr unwahrscheinlich"
"q14_1"	"10"	"sehr wahrscheinlich"
"q14_2"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl SPÖ"
"q14_2"	"0"	"sehr unwahrscheinlich"
"q14_2"	"10"	"sehr wahrscheinlich"
"q14_3"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl FPÖ"
"q14_3"	"0"	"sehr unwahrscheinlich"
"q14_3"	"10"	"sehr wahrscheinlich"
"q14_4"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl GRÜNE"
"q14_4"	"0"	"sehr unwahrscheinlich"
"q14_4"	"10"	"sehr wahrscheinlich"
"q14_5"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl NEOS"
"q14_5"	"0"	"sehr unwahrscheinlich"
"q14_5"	"10"	"sehr wahrscheinlich"
"q15_1_o"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala ÖVP"
"q15_1_o"	"0"	"sehr weit links"
"q15_1_o"	"10"	"sehr weit rechts"
"q15_2_o"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala SPÖ"
"q15_2_o"	"0"	"sehr weit links"
"q15_2_o"	"10"	"sehr weit rechts"
"q15_3_o"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala FPÖ"
"q15_3_o"	"0"	"sehr weit links"
"q15_3_o"	"10"	"sehr weit rechts"
"q15_4_o"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala GRÜNE"
"q15_4_o"	"0"	"sehr weit links"
"q15_4_o"	"10"	"sehr weit rechts"
"q15_5_o"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala NEOS"
"q15_5_o"	"0"	"sehr weit links"
"q15_5_o"	"10"	"sehr weit rechts"
"q16"	"Variable Label"	"Stehen Sie im Allgemeinen einer politischen Partei nahe?"
"q16"	"1"	"ja"
"q16"	"2"	"nein"
"q16"	"3"	"keine Angabe"
"q17"	"Variable Label"	"Stehen Sie einer Partei ein näher als den anderen Parteien?"
"q17"	"1"	"ja"
"q17"	"2"	"nein"
"q17"	"3"	"keine Angabe"
"q18"	"Variable Label"	"Welche Partei ist das?"
"q18"	"1"	"ÖVP"
"q18"	"2"	"SPÖ"
"q18"	"3"	"FPÖ"
"q18"	"4"	"GRÜNE"
"q18"	"5"	"NEOS"
"q18"	"6"	"Team Lärnten"
"q18"	"7"	"KPÖ"
"q18"	"8"	"Liste Fritz"
"q18"	"9"	"MFG"
"q18"	"10"	"andere Partei"
"q18"	"11"	"keine Angabe"
"q19"	"Variable Label"	"Stehen Sie dieser Partei sehr, ziemlich oder nicht sehr nahe?"
"q19"	"1"	"sehr nahe"
"q19"	"2"	"ziemlich nahe"
"q19"	"3"	"nicht sehr nahe"
"q19"	"4"	"keine Angabe"
"q2"	"Variable Label"	"Was erwarten Sie, wie wird sich Österreich in den kommenden Jahren entwickeln?"
"q2"	"1"	"eher positiv"
"q2"	"2"	"eher negativ"
"q2"	"3"	"es wird sich nur wenig ändern"
"q2"	"4"	"keine Angabe"
"q20"	"Variable Label"	"Persönlich wichtig dieser Partei nahezustehen"
"q20"	"1"	"sehr wichtig"
