version	doi	noresp	month	day	age	q01	q02	q03	q04a	q04b	q04c	q04d	q04e	q04f	q04g	q04h	q04i	q05a	q05b	q05c	q05d	q05e	q05f	q05g	q05h	q05i	q06a	q06b	q06c	q06d	q06e	q06f	q06g	q06h	q07	q08	q08a	q08b	q08c	q08d	q08e	q08f	q08g	q09	q10a	q10b	q11	q12a	q12b	q12d1	q12d2	q12d3	q12d4	q12d5	q12d6	q13a	q13b	q14a	q14b	q15a	q15b	q15c	q15d	q15e	q15f	q16a	q16b	q16c	q16d	q16e	q16f	q17a	q17b	q17c	q17d	q17e	q17f	q18	q21	q22a	q22b	q22c	q22d	f1	f2	f3	f4	f5	d02	d03	d04	d05	d06	d07a	d08	d09	d11	d14	d15	d16	d19	d20	c1	c2	c3	c4	gew	gew_roh	intnr	intsex
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	1	11	29	5	3	3	3	1	1	5	1	3	3	1	1	1	1	1	3	1	1	4	5	3	77	2	2	1	1	2	2	2	2	1	1	1	1	1	5	1	2	1	3	5		4	4	77			1				4	77	4	4	3	2	0	1	0	4	0	2	0	0	0	2	1	1	10	1	0	2	1	2	5	5			4					2	2	1	2	10			12	3	1	5	2	1	2	2			1	0.3923888706911487	0.35905	54	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	2	11	1	2	4	4	1	1	1	5	5	1	5	1	4	88	1	4	4	1	1	1	5	5	2	3	2	1	2	1	1	3	4	1	1	5	88	1	2	1	1	5	77	5		4	4	5				1			1		77	77	5	2	5	7	8	8	1	3	8	1	8	8	5	2	8	2	8	5	2	1	5	5			3	1	88	1	88	1	1	4	2	10			8	1	1	5	2	2	2	2			2	1.8022951086075123	1.69946	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	3	11	6	7	1	1	4	1	1	4	4	1	1	2	1	2	3	3	2	5	4	5	2	2	2	4	4	1	2	4	1	2	4	2	1	4	1	1	5	1	4	1	77	5		3	4	5				1			4	5	3	4	3	5	0	5	6	2	3	5	3	2	6	1	3	9	10	88	6	88	3	1	5	1	4	3	4		1			2	2	1	2	7			8	3	1	5	1	5	2	2			1	0.6187654337661017	0.58346	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	4	10	27	6	2	2	1	1	1	4	4	5	4	4	4	4	2	2	4	4	2	5	4	3	4	4	4	1	3	4	1	3	3	88	1	5	1	1	4	1	4	2	77	1	1	88	4	1				1			4	1	5	4	8	2	2	5	2	88	8	4	3	5	3	7	4	8	9	2	88	3	3	1	1		1	2	1	2		3	3	1	1	1	2	7			8	2	1	5	2	1	2	2			1	1.1445028898645613	1.0792	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	5	11	12	7	3	4	4	1	3	2	2	1	5	4	5	5	2	1	3	5	2	2	4	2	2	4	4	1	3	2	1	3	3	3	1	4	1	1	4	1	5	1	1	1	1	2	4	1				1			4	1	4	4	7	7	2	7	2	1	5	9	77	3	3	77	3	5	10	88	88	3	3	1	1		1	3	4					2	1	1	2	7			11	3	1	5	2	5	2	1	2	2		1.3843797511122125	1.30539	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	6	10	29	5	4	4	1	1	4	2	2	88	1	1	1	5	2	2	88	5	4	5	88	2	2	4	4	1	2	3	1	4	4	4	1	5	1	1	4	1	5	1	3	1	1	2	4	1				1			4	1	5	5	7	0	0	7	6	88	5	2	2	3	6	2	2	10	10	2	2	2	3	1	1		1	2	4					2	1	1	2	1	5	2	15	3	1	1	2	5	2	2			1	0.8429997657091733	0.7949	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	7	11	27	5	1	1	1	1	4	3	4	5	1	3	1	1	1	5	2	5	4	3	5	1	5	2	4	1	2	2	1	1	4	3	3	5	1	3	2	3	3	3	2	1	1	1	4	1	1						4	1	3	5	9	3	3	9	4	5	9	6	1	8	4	8	2	2	9	2	8	4	3	1	1		1	2	1	4		2	3	1	1	1	2	1	1	2	14	3	1	5	2	2	3	1	2	1		1.862203344567899	1.75595	61	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	8	10	23	5	4	4	4	1	1	5	1	88	1	1	5	5	1	1	2	2	1	4	2	2	2	4	4	1	1	2	1	4	3	1	1	3	88	2	77	77	2	1	3	5		3	4	1				1			4	1	5	5	6	4	4	6	2	88	3	6	2	6	2	2	3	8	10	4	88	1	3	3	5	1	1	3	4		1			2	1	1	1	2	3	1	9	1	1	1	2	1	2	2			3	1.2251335002392858	1.15523	315	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	9	11	27	7	1	1	1	1	1	3	1	1	5	1	2	1	1	2	4	2	1	4	5	5	1	1	2	1	1	4	1	1	3	1	1	3	2	1	2	1	1	2	4	1	2	5	4	1			1				4	2	5	5	8	8	5	4	88	5	9	9	5	4	88	5	2	2	8	3	5	5	3	2	5	1	1	88	2	4		2	3	1	1	1	2	7			12	3	1	5	2	1	4	1	2	2		1.8702314087601475	1.76352	61	1
"1.1 (2019-09-05)"	"doi:10.11587/GDBBPJ"	10	11	27	5	1	1	3	1	4	4	1	2	4	2	5	1	3	3	4	5	1	5	4	2	2	4	4	1	3	2	1	1	4	1	1	4	2	2	4	1	4	1	2	1	1	3	4	1				1			4	5	5	5	6	2	2	77	5	10	8	9	3	2	3	10	3	7	9	3	3	1	3	3	1		1	2	1	2		2	88	1	1	1	1	1	2	2	14	1	1	5	77	2	2	2			1	1.402302377908646	1.32229	315	1
