variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Haltung gegenüber EG-Beitritt"
"v01"	"1"	"entschieden dafür"
"v01"	"2"	"eher dafür"
"v01"	"3"	"eher dagegen"
"v01"	"4"	"entschieden dagegen"
"v01"	"5"	"bin noch unentschieden"
"v01"	"6"	"W.N./K.A."
"v02"	"Variable Label"	"Von Verhandlungserfolg gehört?"
"v02"	"1"	"Ja"
"v02"	"2"	"Nein"
"v02"	"3"	"W.N./K.A."
"v03"	"Variable Label"	"Bewertung des EU-Zugeständnisses an Österreich"
"v03"	"1"	"Es ist der EU ernst damit"
"v03"	"2"	"EU wird doch noch Druck ausüben"
"v03"	"3"	"Andere Antworten"
"v03"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Einfluß von Klestil"
"v04"	"1"	"einen großen Einfluß"
"v04"	"2"	"einen gewissen Einfluß"
"v04"	"3"	"keinerlei Einfluß"
"v04"	"4"	"W.N./K.A."
"v05"	"Variable Label"	"Gefahr des russischen Imperialismus für Österreich"
"v05"	"1"	"eine sehr große Gefahr"
"v05"	"2"	"eine große Gefahr"
"v05"	"3"	"eine geringe Gefahr"
"v05"	"4"	"keine Gefahr"
"v05"	"5"	"W.N./K.A."
"v06"	"Variable Label"	"Sicherheit Österreichs als EU-Mitglied"
"v06"	"1"	"sicherer"
"v06"	"2"	"weniger sicher"
"v06"	"3"	"hätte keine Auswirkungen"
"v06"	"4"	"W.N./K.A."
"v07"	"Variable Label"	"Geschlecht"
"v07"	"1"	"Männlich"
"v07"	"2"	"Weiblich"
"v08"	"Variable Label"	"Alter"
"v08"	"1"	"16 bis 24 Jahre"
"v08"	"2"	"25 bis 39 Jahre"
"v08"	"3"	"40 bis 59 Jahre"
"v08"	"4"	"ab 60 Jahre"
"v09"	"Variable Label"	"Bildung"
"v09"	"1"	"Matura/Universität"
"v09"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v09"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v10"	"Variable Label"	"Beruf"
"v10"	"1"	"In Ausbildung"
"v10"	"2"	"Nicht berufstätig"
"v10"	"3"	"Pension"
"v10"	"4"	"Selbständig/Landwirt"
"v10"	"5"	"Arbeiter"
"v10"	"6"	"Angestellte"
"v11"	"Variable Label"	"Parteipräferenz"
"v11"	"1"	"SPÖ"
"v11"	"2"	"ÖVP"
"v11"	"3"	"FPÖ"
"v11"	"4"	"KPÖ"
"v11"	"5"	"GAL"
"v11"	"6"	"LIF"
"v11"	"7"	"Keine"
"v11"	"8"	"K.A."
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Niederösterreich"
"v12"	"3"	"Burgenland"
"v12"	"4"	"Steiermark"
"v12"	"5"	"Kärnten"
"v12"	"6"	"Oberösterreich"
"v12"	"7"	"Salzburg"
"v12"	"8"	"Tirol"
"v12"	"9"	"Vorarlberg"
"version"	"Variable Label"	"AUSSDA archive version"
