variable	value	Label
"A10"	"Variable Label"	"HEIZKOSTEN IM WOHN.AUFW.ENTHALTEN"
"A10"	"1"	"JA"
"A10"	"2"	"NEIN"
"A10"	"3"	"UNBEKANNT"
"A11"	"Variable Label"	"BETRIEBSKOSTEN IN SCHILLING"
"A11U"	"Variable Label"	"BETRIEBSKOSTEN UNBEKANNT"
"A11U"	"0"	"KEINE ANGABE"
"A11U"	"1"	"UNBEKANNT"
"A12"	"Variable Label"	"BADEZIMMER IN WOHNUNG"
"A12"	"1"	"JA"
"A12"	"2"	"NEIN"
"A12"	"3"	"UNBEKANNT"
"A13"	"Variable Label"	"DUSCHNISCHE IN WOHNUNG"
"A13"	"1"	"JA"
"A13"	"2"	"NEIN"
"A13"	"3"	"UNBEKANNT"
"A14"	"Variable Label"	"WC IN DER WOHNUNG"
"A14"	"1"	"JA"
"A14"	"2"	"NEIN"
"A14"	"3"	"UNBEKANNT"
"A15"	"Variable Label"	"WASSERANSCHLUSS IN WOHNUNG"
"A15"	"1"	"JA"
"A15"	"2"	"NEIN"
"A15"	"3"	"UNBEKANNT"
"A16"	"Variable Label"	"ART DER HEIZUNG"
"A16"	"1"	"FERNHEIZUNG"
"A16"	"2"	"HAUSZENTRALHEIZUNG"
"A16"	"3"	"GASKONVEKTOREN"
"A16"	"4"	"FEST VERBUNDENE E-HEIZUNG"
"A16"	"5"	"ZENTRALHEIZUNG FÜR EINE EINZELWOHNUNG ODER ETAGENHEIZUNG"
"A16"	"6"	"EINZELOFENHEIZUNG"
"A16"	"7"	"UNBEKANNT"
"A17"	"Variable Label"	"ÜBERWIEGEND VERWENDETER BRENNSTOFF"
"A17"	"1"	"Steinkohle"
"A17"	"2"	"Braunkohle"
"A17"	"3"	"Braunkohlenbriketts"
"A17"	"4"	"Koks"
"A17"	"5"	"Brennholz"
"A17"	"6"	"Ofenheizöl - rot"
"A17"	"7"	"Heizöl leicht - schwarz"
"A17"	"8"	"Flüssiggas - Propangas"
"A17"	"9"	"Elektr. Strom"
"A17"	"10"	"Stadtgas, Erdgas"
"A17"	"11"	"Sonstiger Energieträger"
"A18"	"Variable Label"	"ANZ.WOHNUNGEN / HAUS"
"A18"	"1"	"1   Wohnung"
"A18"	"2"	"2   Wohnungen"
"A18"	"3"	"3-9 Wohnungen"
"A18"	"4"	"> 9 Wohnungen"
"A18"	"5"	"unbekannt"
"A19A"	"Variable Label"	"GESCHOSS D.WOHNUNG"
"A19B"	"Variable Label"	"ANZ.GESCHOSSE / HAUS"
"A2"	"Variable Label"	"TAG DER BEFRAGUNG"
"A20"	"Variable Label"	"AUFZUG IM STIEG.HAUS"
"A20"	"1"	"ja"
"A20"	"2"	"nein"
"A20"	"3"	"unbekannt"
"A21A"	"Variable Label"	"KEIN PKW / WOHNUNG"
"A21A"	"1"	"ja"
"A21A"	"2"	"unbekannt"
"A21B"	"Variable Label"	"ANZ. PKW / WOHNUNG"
"A22A"	"Variable Label"	"KEIN GARAGENPL / WHG"
"A22A"	"1"	"ja"
"A22A"	"2"	"unbekannt"
"A22B"	"Variable Label"	"ANZ. GARAGENPL / WHG"
"A23A"	"Variable Label"	"KEIN ABSTELLPL / WHG"
"A23A"	"1"	"ja"
"A23A"	"2"	"unbekannt"
"A23B"	"Variable Label"	"ANZ. ABSTELLPL / WHG"
"A24A"	"Variable Label"	"GAR./ABST.KOSTEN UNBEKANNT"
"A24A"	"1"	"ja"
"A24A"	"2"	"ohne Angabe"
"A24B"	"Variable Label"	"GAR./ABST.KOSTEN/MONAT"
"A24C"	"Variable Label"	"Gar./Abst.KOSTEN IM WHG-AUFWAND"
"A24C"	"1"	"enthalten"
"A24C"	"2"	"nicht enthalten"
"A24C"	"3"	"unbekannt"
"A25A"	"Variable Label"	"MONAT DZ.MIET-ABSCHLUSS"
"A25B"	"Variable Label"	"JAHR  DZ.MIET-ABSCHLUSS"
"A3"	"Variable Label"	"GRUND FÜR LEERMELD."
"A3"	""	"KEINE LEERMELDUNG"
"A3"	"1"	"WOHNUNG UNAUFFINDBAR"
"A3"	"2"	"WOHNUNG ABGEBROCHEN"
"A3"	"3"	"UMWIDMUNG"
"A3"	"4"	"ZWEITE UNTERKUNFT"
"A3"	"5"	"UNBEWOHNT"
"A3"	"6"	"NIEMAND ANGETROFFEN"
"A3"	"7"	"AUSKUNFT VERWEIGERT"
"A4"	"Variable Label"	"PERSONEN HAUSHALT M. HAUPTWOHNSITZ (AMZ205...)"
"A5"	"Variable Label"	"WOHNUNGSINHABER-SONSTIGER HAUSHALT"
"A5"	"1"	"HAUSHALT D. WOHNUNGSINHABERS"
"A5"	"2"	"SONSTIGER HAUSHALT"
"A5"	"3"	"UNBEKANNT"
"A6"	"Variable Label"	"NUTZFLÄCHE IN QUADRATMETER"
"A7"	"Variable Label"	"ANZAHL DER WOHNRÄUME"
"A8"	"Variable Label"	"RECHTSVERHÄLTNIS AN DER WOHNUNG"
"A8"	"1"	"HAUSEIGENTÜMER"
"A8"	"2"	"VERWANDTER, VERSCHWÄGERTER DES HAUSEIGENTÜMERS"
"A8"	"3"	"WOHNUNGSEIGENTÜMER z.b.EIGENTUMSWHG."
"A8"	"4"	"HAUPTMIETER"
