variable	value	Label
"Aach"	"Variable Label"	"Achievement – mean of raw rating"
"Aben"	"Variable Label"	"Benevolence – mean of raw rating"
"Acon"	"Variable Label"	"Conformity – mean of raw rating"
"Ahed"	"Variable Label"	"Hedonism – mean of raw rating"
"Apow"	"Variable Label"	"Power – mean of raw rating"
"Asec"	"Variable Label"	"Security – mean of raw rating"
"Aself"	"Variable Label"	"Self-Direction – mean of raw rating"
"Asti"	"Variable Label"	"Stimulation – mean of raw rating"
"Atra"	"Variable Label"	"Tradition – mean of raw rating"
"Auni"	"Variable Label"	"Universalism – mean of raw rating"
"Cach"	"Variable Label"	"Achievement - Centred value score"
"Cben"	"Variable Label"	"Benevolence - Centred value score"
"Ccon"	"Variable Label"	"Conformity - Centred value score"
"Ched"	"Variable Label"	"Hedonism - Centred value score"
"CON"	"Variable Label"	"Conservation"
"conservation_c"	"Variable Label"	"Bewahrung der Ordnung (zentrierte Werte mit Skalenverwendungskorrektur)"
"Cpow"	"Variable Label"	"Power - Centred value score"
"Csec"	"Variable Label"	"Security - Centred value score"
"Cself"	"Variable Label"	"Self-Direction - Centred value score"
"Csti"	"Variable Label"	"Stimulation - Centred value score"
"Ctra"	"Variable Label"	"Tradition - Centred value score"
"Cuni"	"Variable Label"	"Universalism - Centred value score"
"doi"	"Variable Label"	"digital object identifier"
"ID_U0"	"Variable Label"	"Id-Nummer"
"Issue_Sum"	"Variable Label"	"Number of inconsistencies comparing single waves and data provided entering the online access panel"
"MRAT"	"Variable Label"	"Mean score on all answered value items"
"openness_c"	"Variable Label"	"Offenheit für Veränderung (zentrierte Werte mit Skalenverwendungskorrektur)"
"OTC"	"Variable Label"	"Openness to change"
"Q1"	"Variable Label"	"Geschlecht"
"Q1"	"1"	"Männlich"
"Q1"	"2"	"Weiblich"
"Q1"	"3"	"Keine Angabe"
"Q10A1"	"Variable Label"	"Erwachsene über 18 Jahre:"
"Q10A1"	"1"	"1"
"Q10A1"	"2"	"2"
"Q10A1"	"3"	"3"
"Q10A1"	"4"	"4"
"Q10A1"	"5"	"5 oder mehr"
"Q10A2"	"Variable Label"	"Jugendliche von 15-18 Jahren:"
"Q10A2"	"0"	"0"
"Q10A2"	"1"	"1"
"Q10A2"	"2"	"2 oder mehr"
"Q10A3"	"Variable Label"	"Kinder von 11-14 Jahren:"
"Q10A3"	"0"	"0"
"Q10A3"	"1"	"1"
"Q10A3"	"2"	"2 oder mehr"
"Q10A4"	"Variable Label"	"Kinder von 6-10 Jahren:"
"Q10A4"	"0"	"0"
"Q10A4"	"1"	"1"
"Q10A4"	"2"	"2 oder mehr"
"Q10A5"	"Variable Label"	"Kinder von 3-5 Jahren:"
"Q10A5"	"0"	"0"
"Q10A5"	"1"	"1 oder mehr"
"Q10A6"	"Variable Label"	"Kinder von 0-2 Jahren:"
"Q10A6"	"0"	"0"
"Q10A6"	"1"	"1 oder mehr"
"Q11"	"Variable Label"	"Nettohaushaltseinkommen (alle Quellen)"
"Q11"	"1"	"Unter 450 Euro bis 599 Euro"
"Q11"	"2"	"600 bis 749 Euro"
"Q11"	"3"	"750 bis 899 Euro"
"Q11"	"4"	"900 bis 1 124 Euro"
"Q11"	"5"	"1 125 bis 1 349 Euro"
"Q11"	"6"	"1 350 bis 1 649 Euro"
"Q11"	"7"	"1 650 bis 1 949 Euro"
"Q11"	"8"	"1 950 bis 2 249 Euro"
"Q11"	"9"	"2 250 bis 2 699 Euro"
"Q11"	"10"	"2 700 bis 3 149 Euro"
"Q11"	"11"	"3 150 bis 3 599 Euro"
"Q11"	"12"	"3 600 bis 4 049 Euro"
"Q11"	"13"	"4 050 bis 4 499 Euro"
"Q11"	"14"	"4 500 bis 5 499 Euro"
"Q11"	"15"	"5 500 bis 6 499 Euro"
"Q11"	"16"	"6 500 bis 7 999 Euro"
"Q11"	"17"	"8 000 Euro oder mehr"
"Q12"	"Variable Label"	"Sind Sie derzeit in erster Linie ...?"
"Q12"	"1"	"Beschäftigt/berufstätig"
"Q12"	"2"	"In Kurzarbeit"
"Q12"	"3"	"Lehrling"
"Q12"	"4"	"Arbeitslos"
"Q12"	"5"	"In Karenz"
"Q12"	"6"	"Pensionist/Rentner"
"Q12"	"7"	"Hausfrau"
"Q12"	"8"	"Schüler/Student"
"Q12"	"9"	"Andere Gründe"
"Q12"	"99"	"keine Antwort"
"Q13"	"Variable Label"	"Inwieweit, wenn überhaupt, machen Sie sich Sorgen, dass Sie eventuell Ihre Stelle verlieren könnten?"
"Q13"	"1"	"Ich mache mir große Sorgen"
"Q13"	"2"	"Ich mache mir etwas Sorgen"
"Q13"	"3"	"Ich mache mir nur wenige Sorgen"
"Q13"	"4"	"Ich mache mir gar keine Sorgen"
"Q14"	"Variable Label"	"Sind Sie österreichischer Staatsbürger/österreichische Staatsbürgerin?"
"Q14"	"1"	"Ja, seit der Geburt"
"Q14"	"2"	"Ja, später erworben"
"Q14"	"3"	"Nein"
"Q15"	"Variable Label"	"Wo sind Sie geboren?"
"Q15"	"1"	"In Österreich"
"Q15"	"2"	"Im ehemaligen Jugoslawien"
"Q15"	"3"	"In der Türkei"
"Q15"	"4"	"In Deutschland"
"Q15"	"5"	"In einem anderen Land"
"Q16"	"Variable Label"	"Wo wurde Ihr leiblicher Vater geboren?"
"Q16"	"1"	"In Österreich"
"Q16"	"2"	"Im ehemaligen Jugoslawien"
"Q16"	"3"	"In der Türkei"
"Q16"	"4"	"In Deutschland"
"Q16"	"5"	"In einem anderen Land"
"Q16"	"6"	"Weiß nicht"
"Q17"	"Variable Label"	"Und wo wurde Ihre leibliche Mutter geboren?"
"Q17"	"1"	"In Österreich"
"Q17"	"2"	"Im ehemaligen Jugoslawien"
"Q17"	"3"	"In der Türkei"
"Q17"	"4"	"In Deutschland"
"Q17"	"5"	"In einem anderen Land"
"Q17"	"6"	"Weiß nicht"
"Q18A2"	"Variable Label"	"Ich bin negativ auf das Corona-Virus getestet worden."
"Q18A2"	"1"	"JA, habe ich erlebt"
"Q18A2"	"2"	"NEIN, habe ich NICHT erlebt"
"Q18A3"	"Variable Label"	"Ich habe oder hatte leichte Symptome von COVID-19."
"Q18A3"	"1"	"JA, habe ich erlebt"
"Q18A3"	"2"	"NEIN, habe ich NICHT erlebt"
"Q18A4"	"Variable Label"	"Ich habe oder hatte schwere Symptome von COVID-19."
