variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"männlich"
"v10"	"2"	"weiblich"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"bis 25 Jahre"
"v11"	"2"	"26-35 Jahre"
"v11"	"3"	"36-50 Jahre"
"v11"	"4"	"51-65 Jahre"
"v11"	"5"	"ab 66 Jahre"
"v12"	"Variable Label"	"Schulbildung"
"v12"	"1"	"Hochschule"
"v12"	"2"	"Mittelschule"
"v12"	"3"	"Berufs- oder Handelsschule"
"v12"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v13"	"Variable Label"	"Tätigkeit"
"v13"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v13"	"2"	"Pension"
"v13"	"3"	"Nur im Haushalt tätig"
"v13"	"4"	"Arbeitslos"
"v13"	"5"	"Selbständig"
"v13"	"6"	"Landwirt"
"v13"	"7"	"Hilfsarbeiter"
"v13"	"8"	"Facharbeiter"
"v13"	"9"	"Angestellter"
"v13"	"10"	"Beamter"
"v13"	"11"	"Anderes"
"v14"	"Variable Label"	"Aktuelle Parteipräferenz"
"v14"	"1"	"SPÖ"
"v14"	"2"	"ÖVP"
"v14"	"3"	"Grüne"
"v14"	"4"	"BZÖ"
"v14"	"5"	"FPÖ"
"v14"	"6"	"Andere"
"v14"	"7"	"Keine"
"v14"	"8"	"K.A."
"v15"	"Variable Label"	"Parteipräferenz früher"
"v15"	"1"	"SPÖ"
"v15"	"2"	"ÖVP"
"v15"	"3"	"Grüne"
"v15"	"4"	"FPÖ"
"v15"	"5"	"Andere"
"v15"	"6"	"Keine"
"v15"	"7"	"K.A."
"v16"	"Variable Label"	"Bundesland"
"v16"	"1"	"Wien"
"v16"	"2"	"Burgenland"
"v16"	"3"	"Niederösterreich"
"v16"	"4"	"Oberösterreich"
"v16"	"5"	"Salzburg"
"v16"	"6"	"Tirol"
"v16"	"7"	"Vorarlberg"
"v16"	"8"	"Steiermark"
"v16"	"9"	"Kärnten"
"v1a"	"Variable Label"	"Vermeidung kriegerischer Auseinandersetzungen"
"v1a"	"1"	"EU kann viel erreichen"
"v1a"	"2"	"EU kann wenig erreichen"
"v1a"	"3"	"EU kann gar nichts erreichen"
"v1a"	"4"	"W.N./K.A."
"v1b"	"Variable Label"	"Stärkung und Stabilisierung der Demokratie"
"v1b"	"1"	"EU kann viel erreichen"
"v1b"	"2"	"EU kann wenig erreichen"
"v1b"	"3"	"EU kann gar nichts erreichen"
"v1b"	"4"	"W.N./K.A."
"v1c"	"Variable Label"	"Herstellung von Rechtssicherheit"
"v1c"	"1"	"EU kann viel erreichen"
"v1c"	"2"	"EU kann wenig erreichen"
"v1c"	"3"	"EU kann gar nichts erreichen"
"v1c"	"4"	"W.N./K.A."
"v1d"	"Variable Label"	"Wirtschaftlicher Aufschwung"
"v1d"	"1"	"EU kann viel erreichen"
"v1d"	"2"	"EU kann wenig erreichen"
"v1d"	"3"	"EU kann gar nichts erreichen"
"v1d"	"4"	"W.N./K.A."
"v2a"	"Variable Label"	"Bulgarien"
"v2a"	"1"	"begrüßen"
"v2a"	"2"	"ablehnen"
