variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Verhältnis von Gastarbeitern zu Österreichs Kultur"
"v01"	"1"	"Bereicherung"
"v01"	"2"	"Weder noch"
"v01"	"3"	"Bedrohung"
"v01"	"4"	"W.N./K.A."
"v02"	"Variable Label"	"Verhältnis von Zuwanderern zu Österreichs Kultur"
"v02"	"1"	"Bereicherung"
"v02"	"2"	"Weder noch"
"v02"	"3"	"Bedrohung"
"v02"	"4"	"W.N./K.A."
"v03a"	"Variable Label"	"Ausländer sollen sich voll assimilieren"
"v03a"	"1"	"Stimme zu"
"v03a"	"2"	"Stimme nicht zu"
"v03a"	"3"	"W.N./K.A."
"v03b"	"Variable Label"	"Ausländer sollen sich teilweise assimilieren"
"v03b"	"1"	"Stimme zu"
"v03b"	"2"	"Stimme nicht zu"
"v03b"	"3"	"W.N./K.A."
"v03c"	"Variable Label"	"Ausländer sollen sich nicht assimilieren"
"v03c"	"1"	"Stimme zu"
"v03c"	"2"	"Stimme nicht zu"
"v03c"	"3"	"W.N./K.A."
"v04a"	"Variable Label"	"Historischer Einfluß in Musik"
"v04a"	"1"	"Stark"
"v04a"	"2"	"Gering"
"v04a"	"3"	"Gar nicht"
"v04a"	"4"	"Weiß nicht"
"v04b"	"Variable Label"	"Historischer Einfluß in Medizin"
"v04b"	"1"	"Stark"
"v04b"	"2"	"Gering"
"v04b"	"3"	"Gar nicht"
"v04b"	"4"	"Weiß nicht"
"v04c"	"Variable Label"	"Historischer Einfluß in Küche"
"v04c"	"1"	"Stark"
"v04c"	"2"	"Gering"
"v04c"	"3"	"Gar nicht"
"v04c"	"4"	"Weiß nicht"
"v04d"	"Variable Label"	"Historischer Einfluß in Literatur"
"v04d"	"1"	"Stark"
"v04d"	"2"	"Gering"
"v04d"	"3"	"Gar nicht"
"v04d"	"4"	"Weiß nicht"
"v04e"	"Variable Label"	"Historischer Einfluß in Wissenschaft"
"v04e"	"1"	"Stark"
"v04e"	"2"	"Gering"
"v04e"	"3"	"Gar nicht"
"v04e"	"4"	"Weiß nicht"
"v04f"	"Variable Label"	"Historischer Einfluß beim Dialekt"
"v04f"	"1"	"Stark"
"v04f"	"2"	"Gering"
"v04f"	"3"	"Gar nicht"
"v04f"	"4"	"Weiß nicht"
"v04g"	"Variable Label"	"Historischer Einfluß in Kunst und Malerei"
"v04g"	"1"	"Stark"
"v04g"	"2"	"Gering"
"v04g"	"3"	"Gar nicht"
"v04g"	"4"	"Weiß nicht"
"v04h"	"Variable Label"	"Historischer Einfluß beim Theater"
"v04h"	"1"	"Stark"
"v04h"	"2"	"Gering"
"v04h"	"3"	"Gar nicht"
"v04h"	"4"	"Weiß nicht"
"v04i"	"Variable Label"	"Historischer Einfluß in Kleidung"
"v04i"	"1"	"Stark"
"v04i"	"2"	"Gering"
"v04i"	"3"	"Gar nicht"
"v04i"	"4"	"Weiß nicht"
"v04j"	"Variable Label"	"Historischer Einfluß bei Kinderspielen"
"v04j"	"1"	"Stark"
"v04j"	"2"	"Gering"
"v04j"	"3"	"Gar nicht"
"v04j"	"4"	"Weiß nicht"
"v04k"	"Variable Label"	"Historischer Einfluß im Sport"
"v04k"	"1"	"Stark"
"v04k"	"2"	"Gering"
"v04k"	"3"	"Gar nicht"
"v04k"	"4"	"Weiß nicht"
"v05a"	"Variable Label"	"Heutiger Einfluß in Musik"
"v05a"	"1"	"Stark"
"v05a"	"2"	"Gering"
"v05a"	"3"	"Gar nicht"
"v05a"	"4"	"Weiß nicht"
"v05b"	"Variable Label"	"Heutiger Einfluß in Medizin"
"v05b"	"1"	"Stark"
"v05b"	"2"	"Gering"
"v05b"	"3"	"Gar nicht"
"v05b"	"4"	"Weiß nicht"
"v05c"	"Variable Label"	"Heutiger Einfluß in Küche"
"v05c"	"1"	"Stark"
"v05c"	"2"	"Gering"
