variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v02"	"Variable Label"	"Handwerkliche Fähigkeiten"
"v02"	"1"	"ja, unbedingt"
"v02"	"2"	"nur dem, der sich dafür interessiert"
"v02"	"3"	"nein"
"v02"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Disziplin oder Eigenverantwortung"
"v04"	"1"	"Disziplin"
"v04"	"2"	"Eigenverantwortung"
"v04"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Einfluß der Lehrer"
"v05"	"1"	"zu groß"
"v05"	"2"	"gerade richtig"
"v05"	"3"	"zu gering"
"v05"	"4"	"W.N./K.A."
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Alter"
"v10"	"1"	"16 bis 24 Jahre"
"v10"	"2"	"25 bis 39 Jahre"
"v10"	"3"	"40 bis 59 Jahre"
"v10"	"4"	"Ab 60 Jahre"
"v11"	"Variable Label"	"Bildung"
"v11"	"1"	"Matura/Universität"
"v11"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v11"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v12"	"Variable Label"	"Tätigkeit"
"v12"	"1"	"In Ausbildung"
"v12"	"2"	"Nicht berufstätig"
"v12"	"3"	"Pension"
"v12"	"4"	"Selbständig"
"v12"	"5"	"Arbeiter"
"v12"	"6"	"Angestellte"
"v12"	"7"	"Beamte"
"v13"	"Variable Label"	"Parteipräferenz"
"v13"	"1"	"SPÖ"
"v13"	"2"	"ÖVP"
"v13"	"3"	"FPÖ"
"v13"	"4"	"KPÖ"
"v13"	"5"	"GAL"
"v13"	"6"	"LIF"
"v13"	"7"	"Keine"
"v13"	"8"	"K.A."
"v14"	"Variable Label"	"Bezirk"
"v14"	"1"	"1"
"v14"	"2"	"2"
"v14"	"3"	"3"
"v14"	"4"	"4"
"v14"	"5"	"5"
"v14"	"6"	"6"
"v14"	"7"	"7"
"v14"	"8"	"8"
"v14"	"9"	"9"
"v14"	"10"	"10"
"v14"	"11"	"11"
"v14"	"12"	"12"
