variable	value	Label
"a"	"Variable Label"	"Ihr Geschlecht?"
"a"	"1"	"männlich"
"a"	"2"	"weiblich"
"alter"	"Variable Label"	"Alter, 10-Jahresschritte"
"alter"	"1"	"14 bis 19 Jahre"
"alter"	"2"	"20 bis 29 Jahre"
"alter"	"3"	"30 bis 39 Jahre"
"alter"	"4"	"40 bis 49 Jahre"
"alter"	"5"	"50 bis 59 Jahre"
"alter"	"6"	"60 bis 69 Jahre"
"alter"	"7"	"70 Jahre und älter"
"alter4"	"Variable Label"	"Alter in vier Gruppen"
"alter4"	"1"	"bis 29 Jahre"
"alter4"	"2"	"30 bis 44 Jahre"
"alter4"	"3"	"45 bis 59 Jahre"
"alter4"	"4"	"60 Jahre und älter"
"bundesland"	"Variable Label"	"Bundesland"
"bundesland"	"1"	"Burgenland"
"bundesland"	"2"	"Kärnten"
"bundesland"	"3"	"Niederösterreich"
"bundesland"	"4"	"Oberösterreich"
"bundesland"	"5"	"Salzburg"
"bundesland"	"6"	"Steiermark"
"bundesland"	"7"	"Tirol"
"bundesland"	"8"	"Vorarlberg"
"bundesland"	"9"	"Wien"
"c"	"Variable Label"	"Ihre höchste abgeschlossene Schulbildung?"
"c"	"1"	"Pflichtschule"
"c"	"2"	"Lehre"
"c"	"3"	"berufsbildende mittlere Schule (ohne Matura)"
"c"	"4"	"allgemeine oder berufsbildende höhere Schule (AHS/BHS, mit Matura)"
"c"	"5"	"Universität, Fachhochschule"
"d"	"Variable Label"	"Soweit Sie wissen, hat Ihre Mutter/Ihr Vater Matura?"
"d"	"1"	"ja, meine Mutter"
"d"	"2"	"ja, mein Vater"
"d"	"3"	"ja, beide"
"d"	"4"	"nein, keiner von beiden"
"d"	"5"	"keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"e_rec"	"Variable Label"	"Sind Sie derzeit...?"
"e_rec"	"1"	"berufstätig (aber kein Lehrling)"
"e_rec"	"2"	"Schüler/in, Student/in, in Ausbildung"
"e_rec"	"3"	"in Pension"
"e_rec"	"4"	"Sonstiges"
"f"	"Variable Label"	"Beruf: Sind Sie derzeit...?"
"f"	"1"	"ArbeiterIn"
"f"	"2"	"Angestellte/r"
"f"	"3"	"Öffentlich Bedienstete/r"
"f"	"4"	"selbständig, freiberuflich"
"g"	"Variable Label"	"Kurzarbeit"
"g"	"1"	"ja"
"g"	"2"	"nein"
"g"	"3"	"keine Angabe"
"gew"	"Variable Label"	"Gewicht roh"
"gewcut"	"Variable Label"	"Gewicht zugeschnitten (windsored)"
"h"	"Variable Label"	"Arbeiten Sie Voll- oder Teilzeit?"
"h"	"1"	"Vollzeit"
"h"	"2"	"Teilzeit"
"h"	"3"	"keine Angabe"
"i"	"Variable Label"	"Aussagen zu Geld"
"i"	"1"	"Ich habe genug Geld, um mir immer alles leisten zu können, was ich möchte."
"i"	"2"	"Ab und an muss ich nachdenken, wofür genau ich Geld ausgebe."
"i"	"3"	"Ich muss mir mein Geld genau einteilen."
"i"	"4"	"keine Angabe"
"id"	"Variable Label"	"Identifikationsnummer des Interviews"
"k"	"Variable Label"	"Sind Sie Mitglied einer politischen Partei?"
"k"	"1"	"ja"
"k"	"2"	"nein"
"k"	"3"	"keine Angabe"
"l"	"Variable Label"	"Sind Sie Mitglied der Gewerkschaft?"
"l"	"1"	"ja"
"l"	"2"	"nein"
"l"	"3"	"keine Angabe"
"m"	"Variable Label"	"Sind Sie in Ihrer Freizeit in irgendeinem Verein aktiv?"
"m"	"1"	"ja"
"m"	"2"	"nein"
"m"	"3"	"keine Angabe"
"n_rec"	"Variable Label"	"Welcher Glaubensgemeinschaft gehören Sie an?"
"n_rec"	"1"	"römisch-katholisch"
"n_rec"	"2"	"evangelisch"
"n_rec"	"3"	"islamisch"
"n_rec"	"4"	"anderer"
"n_rec"	"5"	"keiner, ohne Bekenntnis"
"n_rec"	"6"	"keine Angabe"
"o"	"Variable Label"	"Wie häufig gehen Sie in ein Gebetshaus Ihrer Religion?"
"o"	"1"	"praktisch nie"
"o"	"2"	"einmal im Jahr oder seltener"
"o"	"3"	"ein paar Mal im Jahr"
"o"	"4"	"zumindest einmal pro Monat"
"o"	"5"	"zumindest einmal pro Woche"
"o"	"6"	"häufiger"
"o"	"7"	"keine Angabe"
"p"	"Variable Label"	"Sind Sie in Österreich geboren?"
"p"	"1"	"ja"
"p"	"2"	"nein"
"p"	"3"	"keine Angabe"
"q1"	"Variable Label"	"Wie hat sich Österreich in den vergangenen zwölf Monaten entwickelt?"
"q1"	"1"	"eher positiv"
"q1"	"2"	"eher negativ"
"q1"	"3"	"es hat sich nichts verändert"
"q1"	"4"	"keine Angabe"
"q10"	"Variable Label"	"Waren Sie bei der Nationalratswahl 2019 wahlberechtigt?"
"q10"	"1"	"ja"
"q10"	"2"	"nein"
"q10"	"3"	"keine Angabe"
"q11"	"Variable Label"	"Welcher Partei haben Sie da Ihre Stimme gegeben?"
"q11"	"1"	"ÖVP"
"q11"	"2"	"SPÖ"
"q11"	"3"	"FPÖ"
"q11"	"4"	"GRÜNE"
"q11"	"5"	"NEOS"
"q11"	"6"	"Jetzt/Liste Pilz"
"q11"	"7"	"KPÖ"
"q11"	"8"	"andere Partei"
"q11"	"9"	"ungültig gewählt"
"q11"	"10"	"war nicht wählen"
"q11"	"11"	"keine Angabe"
"q12"	"Variable Label"	"Stehen Sie im Allgemeinen einer politischen Partei nahe?"
"q12"	"1"	"ja"
"q12"	"2"	"nein"
"q12"	"3"	"keine Angabe"
"q13"	"Variable Label"	"Stehen Sie einer Partei ein näher als den anderen Parteien?"
"q13"	"1"	"ja"
"q13"	"2"	"nein"
"q13"	"3"	"keine Angabe"
"q14"	"Variable Label"	"Welche Partei ist das?"
"q14"	"1"	"ÖVP"
"q14"	"2"	"SPÖ"
"q14"	"3"	"FPÖ"
"q14"	"4"	"GRÜNE"
"q14"	"5"	"NEOS"
"q14"	"6"	"KPÖ"
"q14"	"7"	"andere Partei"
"q14"	"8"	"keine Angabe"
"q15"	"Variable Label"	"Stehen Sie dieser Partei sehr, ziemlich oder nicht sehr nahe?"
"q15"	"1"	"sehr nahe"
"q15"	"2"	"ziemlich nahe"
"q15"	"3"	"nicht sehr nahe"
"q15"	"4"	"keine Angabe"
"q16"	"Variable Label"	"Persönlich wichtig dieser Partei nahezustehen"
"q16"	"1"	"sehr wichtig"
"q16"	"2"	"eher wichtig"
"q16"	"3"	"eher nicht wichtig"
"q16"	"4"	"gar nicht wichtig"
"q16"	"5"	"keine Angabe"
"q17"	"Variable Label"	"Partei, wie oft sagen Sie dann „wir“ statt „die“?"
"q17"	"1"	"praktisch immer"
"q17"	"2"	"häufig"
"q17"	"3"	"selten"
"q17"	"4"	"praktisch nie"
"q17"	"5"	"keine Angabe"
"q18_1_o"	"Variable Label"	"Gruppe 2: Wahrscheinlichkeit ÖVP/SPÖ Bundesregierung"
"q18_1_o"	"0"	"sehr unwahrscheinlich"
"q18_1_o"	"10"	"sehr wahrscheinlich"
"q18_2_o"	"Variable Label"	"Gruppe 2: Persönliche Bewertung ÖVP/SPÖ Bundesregierung"
"q18_2_o"	"0"	"sehr schlecht"
"q18_2_o"	"10"	"sehr gut"
"q19_1_o"	"Variable Label"	"Gruppe 3: Wahrscheinlichkeit ÖVP/FPÖ Bundesregierung"
"q19_1_o"	"0"	"sehr unwahrscheinlich"
"q19_1_o"	"10"	"sehr wahrscheinlich"
"q19_2_o"	"Variable Label"	"Gruppe 3: Persönliche Bewertung ÖVP/FPÖ Bundesregierung"
"q19_2_o"	"0"	"sehr schlecht"
"q19_2_o"	"10"	"sehr gut"
"q2"	"Variable Label"	"Was erwarten Sie, wie wird sich Österreich in den kommenden Jahren entwickeln?"
"q2"	"1"	"eher positiv"
"q2"	"2"	"eher negativ"
"q2"	"3"	"es wird sich nur wenig ändern"
"q2"	"4"	"keine Angabe"
"q20_1_o"	"Variable Label"	"Gruppe 4: Wahrscheinlichkeit SPÖ/FPÖ Bundesregierung"
"q20_1_o"	"0"	"sehr unwahrscheinlich"
"q20_1_o"	"10"	"sehr wahrscheinlich"
"q20_2_o"	"Variable Label"	"Gruppe 4: Persönliche Bewertung SPÖ/FPÖ Bundesregierung"
"q20_2_o"	"0"	"sehr schlecht"
"q20_2_o"	"10"	"sehr gut"
"q21_1_o"	"Variable Label"	"Sympathie Wählergruppe ÖVP"
"q21_1_o"	"0"	"gar nicht sympathisch"
"q21_1_o"	"10"	"sehr sympathisch"
"q21_2_o"	"Variable Label"	"Sympathie Wählergruppe SPÖ"
"q21_2_o"	"0"	"gar nicht sympathisch"
"q21_2_o"	"10"	"sehr sympathisch"
"q21_3_o"	"Variable Label"	"Sympathie Wählergruppe FPÖ"
"q21_3_o"	"0"	"gar nicht sympathisch"
"q21_3_o"	"10"	"sehr sympathisch"
"q21_4_o"	"Variable Label"	"Sympathie Wählergruppe GRÜNE"
"q21_4_o"	"0"	"gar nicht sympathisch"
"q21_4_o"	"10"	"sehr sympathisch"
"q21_5_o"	"Variable Label"	"Sympathie Wählergruppe NEOS"
"q21_5_o"	"0"	"gar nicht sympathisch"
"q21_5_o"	"10"	"sehr sympathisch"
"q22_1"	"Variable Label"	"Heirat eines Familienmitgliedes mit ÖVP-Wähler"
"q22_1"	"0"	"würde mich überhaupt nicht stören"
"q22_1"	"10"	"würde mich sehr stören"
"q22_2"	"Variable Label"	"Heirat eines Familienmitgliedes mit SPÖ-Wähler"
"q22_2"	"0"	"würde mich überhaupt nicht stören"
"q22_2"	"10"	"würde mich sehr stören"
"q22_3"	"Variable Label"	"Heirat eines Familienmitgliedes mit FPÖ-Wähler"
"q22_3"	"0"	"würde mich überhaupt nicht stören"
"q22_3"	"10"	"würde mich sehr stören"
"q22_4"	"Variable Label"	"Heirat eines Familienmitgliedes mit GRÜNE-Wähler"
"q22_4"	"0"	"würde mich überhaupt nicht stören"
"q22_4"	"10"	"würde mich sehr stören"
