variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Haben Sie sich an den EURO schon......?"
"v1"	"1"	"ganz gewöhnt"
"v1"	"2"	"ziemlich gewöhnt"
"v1"	"3"	"noch nicht recht gewöhnt"
"v1"	"4"	"gar nicht gewöhnt"
"v1"	"5"	"W.N./K.A."
"v10"	"Variable Label"	"Einschätzung der Auswirkung der Mitbestimmung auf Betriebsebene auf das Betriebsklima"
"v10"	"1"	"Betriebsklima wird verbessert"
"v10"	"2"	"Betriebsklima bleibt gleich"
"v10"	"3"	"Betriebsklima wird verschlechtert"
"v10"	"4"	"W.N./K.A."
"v11"	"Variable Label"	"Einschätzung des Stellenwerts von Betriebsräten in der Zukunft"
"v11"	"1"	"steigen"
"v11"	"2"	"gleichbleiben"
"v11"	"3"	"sinken"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Befürchten Sie Auswirkungen auf Österreich, wenn es zu einem Krieg gegen den Irak kommt?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Befürchten Sie im Falle eines Krieges gegen den Irak eine Versorgungskrise bei Erdöl oder Nahrungsmitteln in Österreich?"
"v13"	"1"	"Ja"
"v13"	"2"	"Nein"
"v13"	"3"	"W.N./K.A."
"v14"	"Variable Label"	"Befürchten Sie Im Falle eines Krieges gegen den Irak einen allgemeinen Rückschlag in der Weltwirtschaft?"
"v14"	"1"	"Ja"
"v14"	"2"	"Nein"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Kann eine österreichische Regierung bei einem Krieg gegen den Irak Schaden für Österreich abwehren?"
"v15"	"1"	"Ja"
"v15"	"2"	"Nein"
"v15"	"3"	"W.N./K.A."
"v16"	"Variable Label"	"Welche Regierungsform könnte am ehesten bei einem Krieg gegen den Irak Schaden für Österreich abwehren?"
"v16"	"1"	"Große Koalition ÖVP/SPÖ"
"v16"	"2"	"Alleinregierung ÖVP"
"v16"	"3"	"Kleine Koalition ÖVP/FPÖ"
"v16"	"4"	"Kleine Koalition ÖVP/Grüne"
"v16"	"5"	"Alle gleich viel"
"v16"	"6"	"Keine"
"v16"	"7"	"W.N./K.A."
"v17"	"Variable Label"	"Wie beurteilen Sie diese Entscheidung der deutschen Regierung?"
"v17"	"1"	"sehr gut"
"v17"	"2"	"gut"
"v17"	"3"	"weniger gut"
"v17"	"4"	"schlecht"
"v17"	"5"	"W.N./K.A."
"v18"	"Variable Label"	"Geschlecht"
"v18"	"1"	"männlich"
"v18"	"2"	"weiblich"
"v19"	"Variable Label"	"Alter"
"v19"	"1"	"bis 25 Jahre"
"v19"	"2"	"26-35 Jahre"
"v19"	"3"	"36-50 Jahre"
"v19"	"4"	"51-65 Jahre"
"v19"	"5"	"ab 66 Jahre"
"v2"	"Variable Label"	"Werden Preiserhöhungen zu Recht oder zu Unrecht dem EURO angelastet?"
"v2"	"1"	"Zu Recht angelastet"
"v2"	"2"	"Teil-Teils"
"v2"	"3"	"Zu Unrecht angelastet"
"v2"	"4"	"W.N./K.A."
"v20"	"Variable Label"	"Schulbildung"
"v20"	"1"	"Hochschule"
"v20"	"2"	"Mittelschule"
"v20"	"3"	"Berufs- oder Handelsschule"
"v20"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v21"	"Variable Label"	"Tätigkeit"
"v21"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v21"	"2"	"Pension"
"v21"	"3"	"Nur im Haushalt tätig"
"v21"	"4"	"Arbeitslos"
"v21"	"5"	"Selbständig"
"v21"	"6"	"Landwirt"
"v21"	"7"	"Hilfsarbeiter"
"v21"	"8"	"Facharbeiter"
"v21"	"9"	"Angestellter"
"v21"	"10"	"Beamter"
"v21"	"11"	"Anderes"
"v22"	"Variable Label"	"Aktuelle Parteipräferenz"
"v22"	"1"	"SPÖ"
"v22"	"2"	"FPÖ"
"v22"	"3"	"ÖVP"
"v22"	"4"	"Grüne"
"v22"	"5"	"LIF"
"v22"	"6"	"KPÖ"
"v22"	"7"	"Keine"
"v22"	"8"	"K.A."
"v23"	"Variable Label"	"Parteipräferenz früher"
"v23"	"1"	"SPÖ"
"v23"	"2"	"FPÖ"
"v23"	"3"	"ÖVP"
"v23"	"4"	"Grüne"
"v23"	"5"	"LIF"
"v23"	"6"	"KPÖ"
"v23"	"7"	"Keine"
"v23"	"8"	"K.A."
"v24"	"Variable Label"	"Bundesland"
"v24"	"1"	"Wien"
"v24"	"2"	"Burgenland"
"v24"	"3"	"Niederösterreich"
"v24"	"4"	"Oberösterreich"
"v24"	"5"	"Salzburg"
"v24"	"6"	"Tirol"
"v24"	"7"	"Vorarlberg"
"v24"	"8"	"Steiermark"
"v24"	"9"	"Kärnten"
"v24a"	"Variable Label"	"Weil die Partei meine Berufsgruppe nicht mehr vertritt"
"v24a"	"Variable Label"	"nicht genannt"
"v24a"	"1"	"genannt"
"v24b"	"Variable Label"	"Weil die Partei die Ausländerproblematik nicht ernst nimmt"
"v24b"	"Variable Label"	"nicht genannt"
"v24b"	"1"	"genannt"
"v24c"	"Variable Label"	"Weil die Partei die Jugend nicht vertritt"
"v24c"	"Variable Label"	"nicht genannt"
"v24c"	"1"	"genannt"
"v24d"	"Variable Label"	"Weil in der Partei so viel gestritten wird"
"v24d"	"Variable Label"	"nicht genannt"
"v24d"	"1"	"genannt"
"v24e"	"Variable Label"	"Weil die Partei nichts zu bieten hat, wofür man sich begeistern kann"
"v24e"	"Variable Label"	"nicht genannt"
"v24e"	"1"	"genannt"
"v24f"	"Variable Label"	"Weil die Partei die Pensionisten schlechter stellen will"
"v24f"	"Variable Label"	"nicht genannt"
"v24f"	"1"	"genannt"
"v24g"	"Variable Label"	"Weil sich die Funktionäre der Partei schlecht aufführen"
"v24g"	"Variable Label"	"nicht genannt"
"v24g"	"1"	"genannt"
"v24h"	"Variable Label"	"Weil ich einige Spitzenkandidaten als Person ablehne"
"v24h"	"Variable Label"	"nicht genannt"
"v24h"	"1"	"genannt"
"v24i"	"Variable Label"	"Weil die Partei ihre Grundsätze vernachlässigt hat"
"v24i"	"Variable Label"	"nicht genannt"
"v24i"	"1"	"genannt"
"v24j"	"Variable Label"	"Weil man sich nicht mehr auskennt, welche Ziele die Politiker tatsächlich verfolgen"
"v24j"	"Variable Label"	"nicht genannt"
"v24j"	"1"	"genannt"
"v24k"	"Variable Label"	"Weil beim Budget die Ärmeren benachteiligt werden, und zwar zu Gunsten der Reicheren"
"v24k"	"Variable Label"	"nicht genannt"
"v24k"	"1"	"genannt"
"v24l"	"Variable Label"	"Weil Politiker, die ich hoch schätze, sich zurückgezogen haben"
"v24l"	"Variable Label"	"nicht genannt"
"v24l"	"1"	"genannt"
"v24m"	"Variable Label"	"Anderes"
"v24m"	"Variable Label"	"nicht genannt"
"v24m"	"1"	"genannt"
"v24n"	"Variable Label"	"W.N./K.A."
"v24n"	"Variable Label"	"nicht genannt"
"v24n"	"1"	"genannt"
"v3"	"Variable Label"	"Sollten wir aus dem EURO aussteigen und zum Schilling zurückkehren?"
"v3"	"1"	"Ja"
"v3"	"2"	"Nein"
"v3"	"3"	"W.N./K.A."
"v4a"	"Variable Label"	"Sie wollten keine rot/grüne Koalitionsregierung"
"v4a"	"1"	"sehr wichtig"
"v4a"	"2"	"weniger wichtig"
"v4a"	"3"	"gar nicht wichtig"
"v4a"	"4"	"W.N./K.A."
"v4b"	"Variable Label"	"Sie folgten Minister Grasser, der zur ÖVP überlief"
"v4b"	"1"	"sehr wichtig"
"v4b"	"2"	"weniger wichtig"
"v4b"	"3"	"gar nicht wichtig"
"v4b"	"4"	"W.N./K.A."
"v4c"	"Variable Label"	"Sie wollten keine Neuverschuldung"
"v4c"	"1"	"sehr wichtig"
"v4c"	"2"	"weniger wichtig"
"v4c"	"3"	"gar nicht wichtig"
"v4c"	"4"	"W.N./K.A."
"v4d"	"Variable Label"	"Sie wählten Schüssel, weil er Führungsqualitäten bewies"
"v4d"	"1"	"sehr wichtig"
"v4d"	"2"	"weniger wichtig"
"v4d"	"3"	"gar nicht wichtig"
"v4d"	"4"	"W.N./K.A."
"v4e"	"Variable Label"	"Sie fanden, dass die SPÖ keine Wirtschaftskompetenz hat"
"v4e"	"1"	"sehr wichtig"
"v4e"	"2"	"weniger wichtig"
"v4e"	"3"	"gar nicht wichtig"
"v4e"	"4"	"W.N./K.A."
"v4f"	"Variable Label"	"Sie fanden die Kandidaten der SPÖ nicht attraktiv"
"v4f"	"1"	"sehr wichtig"
"v4f"	"2"	"weniger wichtig"
"v4f"	"3"	"gar nicht wichtig"
"v4f"	"4"	"W.N./K.A."
"v4g"	"Variable Label"	"Sie fühlten von der SPÖ und den Grünen mit dem Vorwurf ausgegrenzt, Nazisympathien zu haben"
"v4g"	"1"	"sehr wichtig"
"v4g"	"2"	"weniger wichtig"
"v4g"	"3"	"gar nicht wichtig"
"v4g"	"4"	"W.N./K.A."
"v4h"	"Variable Label"	"Wegen des Streits um die Wehrmachtsausstellung"
"v4h"	"1"	"sehr wichtig"
"v4h"	"2"	"weniger wichtig"
"v4h"	"3"	"gar nicht wichtig"
"v4h"	"4"	"W.N./K.A."
"v5a"	"Variable Label"	"Die Funktionäre fürchten die Verantwortung"
"v5a"	"1"	"stimmt"
"v5a"	"2"	"stimmt nicht"
