variable	value	Label
Date	Variable Label	Date of event
doi	Variable Label	digital object identifier
gu7d	Variable Label	I am interested in contemporary art music
gu7d	0	not answered
gu7d	1	answered
gu7e	Variable Label	The programme
gu7e	0	not answered
gu7e	1	answered
id	Variable Label	unique identifier
Language	Variable Label	Language
Language	1	English
Language	2	Polish
Language	3	German
Language	4	France
Number	Variable Label	Number of Questionnaire
Place	Variable Label	City of event
Place	1	Warsaw
Place	2	Paris
Place	3	Vienna
qu1	Variable Label	Did you know that this event is part of the festival?
qu1	1	Yes
qu1	2	No
qu10	Variable Label	Do you plan to visit the festival again in the future?
qu10	1	Yes
qu10	2	Yes, maybe
qu10	3	I don't know
qu10	4	Rather not
qu10	5	No
qu11	Variable Label	Will you recommend the festival to others?
qu11	1	Yes
qu11	2	Yes, maybe
qu11	3	I don't know
qu11	4	Rather not
qu11	5	No
qu12a	Variable Label	I sing in a choir
qu12a	1	yes
qu12a	2	no
qu12b	Variable Label	I play in a band/orchestra/with friends
qu12b	1	yes
qu12b	2	no
qu12c	Variable Label	I play/sing only for myself
qu12c	1	yes
qu12c	2	no
qu13a	Variable Label	“Classical“ music concerts
qu13a	1	never
qu13a	2	sometimes
qu13a	3	frequently
qu13b	Variable Label	Early music concerts (on “historical” instruments)
qu13b	1	never
qu13b	2	sometimes
qu13b	3	frequently
qu13c	Variable Label	Contemporary art music concerts
qu13c	1	never
qu13c	2	sometimes
qu13c	3	frequently
qu13d	Variable Label	Rock and pop concerts
qu13d	1	never
qu13d	2	sometimes
qu13d	3	frequently
qu13e	Variable Label	 Jazz concerts
qu13e	1	never
qu13e	2	sometimes
qu13e	3	frequently
qu13f	Variable Label	Traditional dance music/dance events
qu13f	1	never
qu13f	2	sometimes
qu13f	3	frequently
qu13g	Variable Label	Opera
qu13g	1	never
qu13g	2	sometimes
qu13g	3	frequently
qu13h	Variable Label	Musical, operetta
qu13h	1	never
qu13h	2	sometimes
qu13h	3	frequently
qu13i	Variable Label	Ballet, Dance
qu13i	1	never
qu13i	2	sometimes
qu13i	3	frequently
qu13j	Variable Label	Theatre
qu13j	1	never
qu13j	2	sometimes
qu13j	3	frequently
qu13k	Variable Label	Cabaret
qu13k	1	never
qu13k	2	sometimes
qu13k	3	frequently
qu13l	Variable Label	Exhibitions
qu13l	1	never
qu13l	2	sometimes
qu13l	3	frequently
qu13m	Variable Label	Sound art and installations
qu13m	1	never
qu13m	2	sometimes
qu13m	3	frequently
qu13n	Variable Label	Movies
qu13n	1	never
qu13n	2	sometimes
qu13n	3	frequently
qu13o	Variable Label	Electronic dance music
qu13o	1	never
qu13o	2	sometimes
qu13o	3	frequently
qu13p	Variable Label	Other
qu13p	2	sometimes
qu13p	3	frequently
qu13p	88	never ("question was not asked")
qu14a	Variable Label	Wien Modern (A)
qu14a	1	I’ve heard about it
qu14a	2	I like to see what’s on there
qu14a	3	I attend
qu14a	88	Question was not asked
qu14b	Variable Label	Warsaw Autumn (PL)
qu14b	1	I’ve heard about it
qu14b	2	I like to see what’s on there
qu14b	3	I attend
qu14b	88	Question was not asked
qu14c	Variable Label	Festival d'Automne á Paris (FR)
qu14c	1	I’ve heard about it
