variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Meinung zur Einführung des EURO"
"v01"	"1"	"sinnvoll"
"v01"	"2"	"sinnlos"
"v01"	"3"	"weder noch"
"v01"	"4"	"W.N./K.A."
"v02"	"Variable Label"	"Teilnahme Österreichs von Anfang an"
"v02"	"1"	"richtig"
"v02"	"2"	"falsch"
"v02"	"3"	"W.N./K.A."
"v03"	"Variable Label"	"Über EU-Präsidentschaft Österreichs gehört oder gelesen?"
"v03"	"1"	"ja"
"v03"	"2"	"nein"
"v03"	"3"	"W.N./K.A."
"v04"	"Variable Label"	"War Österreich der EU-Präsidentschaft gewachsen?"
"v04"	"1"	"sehr gut"
"v04"	"2"	"eher gut"
"v04"	"3"	"eher nicht"
"v04"	"4"	"gar nicht"
"v04"	"5"	"W.N./K.A."
"v05"	"Variable Label"	"Hat Österreich nur Gastgeber gespielt?"
"v05"	"1"	"Nur Gastgeber gespielt"
"v05"	"2"	"Für Themen eingesetzt"
"v05"	"3"	"W.N./K.A."
"v07"	"Variable Label"	"Auswirkung der EU-Präsidentschaft auf Fremdenverkehr"
"v07"	"1"	"positiv"
"v07"	"2"	"negativ"
"v07"	"3"	"hat keinen Einfluß"
"v07"	"4"	"W.N./K.A."
"v08"	"Variable Label"	"Auswirkung der EU-Präsidentschaft auf Ansehen"
"v08"	"1"	"positiv"
"v08"	"2"	"negativ"
"v08"	"3"	"hat keinen Einfluß"
"v08"	"4"	"W.N./K.A."
"v09"	"Variable Label"	"Auswirkung der EU-Präsidentschaft auf Wirtschaft"
"v09"	"1"	"positiv"
"v09"	"2"	"negativ"
"v09"	"3"	"hat keinen Einfluß"
"v09"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Waren 300 Millionen an Aufwand gerechtfertigt?"
"v10"	"1"	"ja"
"v10"	"2"	"nein"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Sollte Österreich Mitglied der EU bleiben?"
"v11"	"1"	"Bei der EU bleiben"
"v11"	"2"	"Wieder austreten"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Soll Österreich der Slowakei Brücke zur EU bauen?"
"v12"	"1"	"ja"
"v12"	"2"	"nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Ist Türkei für Mitgliedschaft in der EU geeignet?"
"v13"	"1"	"ja"
"v13"	"2"	"nein"
"v13"	"3"	"W.N./K.A."
"v14a"	"Variable Label"	"Weil Türkei islamischer Staat ist"
"v14a"	"Variable Label"	"nicht genannt"
"v14a"	"1"	"genannt"
"v14b"	"Variable Label"	"Weil es Konflikt mit den Kurden gibt"
"v14b"	"Variable Label"	"nicht genannt"
"v14b"	"1"	"genannt"
"v14c"	"Variable Label"	"Weil die Türkei mit ihren Sitten nicht zu Europa paßt"
"v14c"	"Variable Label"	"nicht genannt"
"v14c"	"1"	"genannt"
"v14d"	"Variable Label"	"Weil die Türkei in Konflikt mit EU-Mitglied Griechenland ist"
"v14d"	"Variable Label"	"nicht genannt"
"v14d"	"1"	"genannt"
"v15"	"Variable Label"	"Geschlecht"
"v15"	"1"	"Männlich"
"v15"	"2"	"Weiblich"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"16 bis 24 Jahre"
"v16"	"2"	"25 bis 39 jahre"
"v16"	"3"	"40 bis 59 Jahre"
"v16"	"4"	"Ab 60 Jahre"
"v17"	"Variable Label"	"Bildung"
"v17"	"1"	"Matura/Universität"
"v17"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v17"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v18"	"Variable Label"	"Tätigkeit"
"v18"	"1"	"In Ausbildung"
"v18"	"2"	"Nicht berufstätig"
"v18"	"3"	"Pension"
"v18"	"4"	"Selbständig/Landwirt"
"v18"	"5"	"Arbeiter"
"v18"	"6"	"Angestellte"
"v18"	"7"	"Beamte"
"v19"	"Variable Label"	"Parteipräferenz"
"v19"	"1"	"SPÖ"
"v19"	"2"	"ÖVP"
