variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"11.10.-13.10.1993"
"datum"	"2"	"14.10.-17.10.1993"
"datum"	"3"	"18.10.-20.10.1993"
"datum"	"4"	"21.10.-24.10.1993"
"datum"	"5"	"25.10.-28.10.1993"
"datum"	"6"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v03"	"Variable Label"	"Verfolgen Sie die Arbeit des Parlaments ..."
"v03"	"1"	"regelmäßig"
"v03"	"2"	"eigentlich selten"
"v03"	"3"	"so gut wie nie"
"v03"	"4"	"k.A."
"v04"	"Variable Label"	"Bedeutung des Parlaments"
"v04"	"1"	"An Bedeutung gewonnen"
"v04"	"2"	"Es hat sich nichts verändert"
"v04"	"3"	"An Bedeutung verloren"
"v04"	"4"	"Weiß nicht"
"v05"	"Variable Label"	"Verhalten bei Bedrohung des Parlaments"
"v05"	"1"	"Es wäre mir egal"
"v05"	"2"	"Würde mit allen Mitteln dagegegen vorgehen"
"v05"	"3"	"Wäre dagegen, würde mich aber heraushalten"
"v05"	"4"	"Würde diese Gruppe unterstützen"
"v05"	"5"	"Andere Antworten"
"v05"	"6"	"Weiß nicht"
"v08"	"Variable Label"	"Primäres Kriterium für Abgeordnetenwahl"
"v08"	"1"	"daß die Fähigsten ausgewählt werden"
"v08"	"2"	"daß jeder Wahlkreis seinen Vertreter hat"
"v08"	"3"	"weiß nicht"
"v10"	"Variable Label"	"Eigene Meinung über das Parlament"
"v10"	"1"	"verbessert"
"v10"	"2"	"ist gleich geblieben"
"v10"	"3"	"verschlechtert"
"v10"	"4"	"weiß nicht"
"v11"	"Variable Label"	"Geschlecht"
"v11"	"1"	"Männlich"
"v11"	"2"	"Weiblich"
"v12"	"Variable Label"	"Beruf"
"v12"	"Variable Label"	"Andere"
"v12"	"1"	"Hilfsarbeiter"
"v12"	"2"	"Facharbeiter"
"v12"	"3"	"Leitende Ang./Beamte"
"v12"	"4"	"Angestellte"
"v12"	"5"	"Beamte"
"v12"	"6"	"Rentner/Pensionisten"
"v12"	"7"	"Hausfrauen"
"v12"	"8"	"Selbständige"
"v12"	"9"	"Landwirte"
"v13"	"Variable Label"	"Bundesland"
"v13"	"1"	"Wien"
"v13"	"2"	"Burgenland"
"v13"	"3"	"Niederösterreich"
"v13"	"4"	"Oberösterreich"
"v13"	"5"	"Salzburg"
"v13"	"6"	"Tirol"
"v13"	"7"	"Vorarlberg"
"v13"	"8"	"Steiermark"
"v13"	"9"	"Kärnten"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"Unter 20 Jahren"
"v14"	"2"	"20 bis 25 Jahre"
"v14"	"3"	"26 bis 35 Jahre"
"v14"	"4"	"36 bis 50 Jahre"
"v14"	"5"	"51 bis 65 Jahre"
"v14"	"6"	"Über 65 Jahre"
"v15"	"Variable Label"	"Bildung"
"v15"	"1"	"Volksschule"
"v15"	"2"	"Hauptschule"
"v15"	"3"	"Berufs-/Handelsschule"
"v15"	"4"	"Matura"
"v15"	"5"	"Abg.Hochschule"
"v16"	"Variable Label"	"Parteipräferenz"
"v16"	"1"	"FPÖ"
"v16"	"2"	"KPÖ"
"v16"	"3"	"ÖVP"
"v16"	"4"	"SPÖ"
"v16"	"5"	"GAL"
"v16"	"6"	"LIF"
"v16"	"7"	"Keine"
"v17a"	"Variable Label"	"Kronen-Zeitung"
"v17a"	"Variable Label"	"Nicht genannt"
"v17a"	"1"	"Genannt"
"v17b"	"Variable Label"	"Täglich Alles"
"v17b"	"Variable Label"	"Nicht genannt"
"v17b"	"1"	"Genannt"
"v17c"	"Variable Label"	"Kurier"
"v17c"	"Variable Label"	"Nicht genannt"
"v17c"	"1"	"Genannt"
"v17d"	"Variable Label"	"Presse"
"v17d"	"Variable Label"	"Nicht genannt"
"v17d"	"1"	"Genannt"
"v17e"	"Variable Label"	"Salzburger Nachrichten"
"v17e"	"Variable Label"	"Nicht genannt"
"v17e"	"1"	"Genannt"
"v17f"	"Variable Label"	"Standard"
"v17f"	"Variable Label"	"Nicht genannt"
"v17f"	"1"	"Genannt"
"v17g"	"Variable Label"	"Kleine Zeitung"
"v17g"	"Variable Label"	"Nicht genannt"
"v17g"	"1"	"Genannt"
"v17h"	"Variable Label"	"Andere"
"v17h"	"Variable Label"	"Nicht genannt"
"v17h"	"1"	"Genannt"
"v17i"	"Variable Label"	"Keine"
"v17i"	"Variable Label"	"Nicht genannt"
"v17i"	"1"	"Genannt"
"v17j"	"Variable Label"	"K.A."
"v17j"	"Variable Label"	"Nicht genannt"
"v17j"	"1"	"Genannt"
"v1a0"	"Variable Label"	"Weiß nicht/Keine Angabe"
"v1a0"	"Variable Label"	"Nicht genannt"
"v1a0"	"1"	"Genannt"
"v1a1"	"Variable Label"	"Niemand"
"v1a1"	"Variable Label"	"Nicht genannt"
"v1a1"	"1"	"Genannt"
"v1a2"	"Variable Label"	"Andere"
"v1a2"	"Variable Label"	"Nicht genannt"
"v1a2"	"1"	"Genannt"
"v1a3"	"Variable Label"	"Ausserwinkler"
"v1a3"	"Variable Label"	"Nicht genannt"
"v1a3"	"1"	"Genannt"
"v1a4"	"Variable Label"	"Benya"
"v1a4"	"Variable Label"	"Nicht genannt"
"v1a4"	"1"	"Genannt"
"v1a5"	"Variable Label"	"Busek"
"v1a5"	"Variable Label"	"Nicht genannt"
"v1a5"	"1"	"Genannt"
"v1a6"	"Variable Label"	"Cap"
"v1a6"	"Variable Label"	"Nicht genannt"
"v1a6"	"1"	"Genannt"
"v1a7"	"Variable Label"	"Dohnal"
"v1a7"	"Variable Label"	"Nicht genannt"
"v1a7"	"1"	"Genannt"
"v1a8"	"Variable Label"	"Ederer"
"v1a8"	"Variable Label"	"Nicht genannt"
"v1a8"	"1"	"Genannt"
"v1a9"	"Variable Label"	"Fasslabend"
"v1a9"	"Variable Label"	"Nicht genannt"
"v1a9"	"1"	"Genannt"
"v1am"	"Variable Label"	"Fischer"
"v1am"	"Variable Label"	"Nicht genannt"
"v1am"	"1"	"Genannt"
"v1ap"	"Variable Label"	"Fischler"
