variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"7. -10.September"
"datum"	"2"	"11.-13.September"
"datum"	"3"	"14.-17.September"
"datum"	"4"	"18.-20.September"
"datum"	"5"	"21.-24.September"
"datum"	"6"	"25.-27.September"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Bewertung des österreichischen Fernsehens"
"v01"	"1"	"Sehr zufrieden"
"v01"	"2"	"Zufrieden"
"v01"	"3"	"Es geht"
"v01"	"4"	"Nicht zufrieden"
"v02"	"Variable Label"	"Bewertung des österreichischen Rundfunks"
"v02"	"1"	"Sehr zufrieden"
"v02"	"2"	"Zufrieden"
"v02"	"3"	"Es geht"
"v02"	"4"	"Nicht zufrieden"
"v03"	"Variable Label"	"Verbesserung des Programms durch neuen Generalintendanten?"
"v03"	"1"	"Ja"
"v03"	"2"	"Nein"
"v03"	"3"	"Weiß nicht"
"v04"	"Variable Label"	"Verbesserung der Prgramme durch privates Radio?"
"v04"	"1"	"Ja"
"v04"	"2"	"Nein"
"v04"	"3"	"Weiß nicht"
"v05"	"Variable Label"	"Verbesserung der Programme durch privates Fernsehen?"
"v05"	"1"	"Ja"
"v05"	"2"	"Nein"
"v05"	"3"	"Weiß nicht"
"v06"	"Variable Label"	"Soll Wien Weltausstellung allenfalls allein durchführen?"
"v06"	"1"	"Wien soll Projekt allein durchführen"
"v06"	"2"	"Wien soll Projekt fallenlassen"
"v06"	"3"	"Weiß nicht"
"v07"	"Variable Label"	"Kann Österreich Kriegsmaterial in Kriegsgebiete liefern?"
"v07"	"1"	"Ja"
"v07"	"2"	"Nein"
"v07"	"3"	"Nur wenn es beide Staaten mit Kriegsmaterial beliefert"
"v07"	"4"	"Weiß nicht"
"v08a1"	"Variable Label"	"Kann Österreich an militärischen Bündnissen teilnehmen?"
"v08a1"	"1"	"Ja"
"v08a1"	"2"	"Nein"
"v08a1"	"3"	"Weiß nicht"
"v08a2"	"Variable Label"	"Kann Österr. anderen Staaten militär.Stützpunkte einräumen?"
"v08a2"	"1"	"Ja"
"v08a2"	"2"	"Nein"
"v08a2"	"3"	"Weiß nicht"
"v08a3"	"Variable Label"	"Kann Österr.Waffen außerhalb von Kriegsgebieten liefern?"
"v08a3"	"1"	"Ja"
"v08a3"	"2"	"Nein"
"v08a3"	"3"	"Weiß nicht"
"v08a4"	"Variable Label"	"Kann Österreich an Wirtschaftssanktionen teilnehmen?"
"v08a4"	"1"	"Ja"
"v08a4"	"2"	"Nein"
"v08a4"	"3"	"Weiß nicht"
"v08a5"	"Variable Label"	"Kann Österr. an außenpolitischen Aktionen der EG teilnehmen?"
"v08a5"	"1"	"Ja"
"v08a5"	"2"	"Nein"
"v08a5"	"3"	"Weiß nicht"
"v09"	"Variable Label"	"Muß neutraler Staat militärische Verteidigung haben?"
"v09"	"1"	"Ja"
"v09"	"2"	"Nein"
"v09"	"3"	"Weiß nicht"
"v10a0"	"Variable Label"	"Weiß nicht/Keine Angabe"
