variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"27.10.-29.10.1997"
"datum"	"2"	"30.10.- 2.11.1997"
"datum"	"3"	"3.11.- 5.11.1997"
"datum"	"4"	"6.11.- 9.11.1997"
"datum"	"5"	"10.11.-14.11.1997"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Pensionsreform erforderlich?"
"v01"	"1"	"überflüssig"
"v01"	"2"	"erforderlich"
"v01"	"3"	"W.N./K.A."
"v02"	"Variable Label"	"Vorschläge zur Pensionsreform"
"v02"	"1"	"Basispension"
"v02"	"2"	"Erhöhung nur im Ausmaß der Inflationsrate"
"v02"	"3"	"Hinaufsetzen des Pensionsalters um 5 Jahre"
"v02"	"4"	"W.N./K.A."
"v05"	"Variable Label"	"Berechnung der Pensionshöhe"
"v05"	"1"	"streng nach Beitragsleistungen"
"v05"	"2"	"auch andere Faktoren berücksichtigen"
"v05"	"3"	"W.N./K.A."
"v06"	"Variable Label"	"Sicherung der Pensionen durch Vollbeschäftigung"
"v06"	"1"	"ja"
"v06"	"2"	"nein"
"v06"	"3"	"W.N./K.A."
"v08"	"Variable Label"	"Von Arbeitslosigkeit betroffene Altersgruppe"
"v08"	"1"	"15 bis 18jährige"
"v08"	"2"	"19 bis 30jährige"
"v08"	"3"	"31 bis 45jährige"
"v08"	"4"	"über 45jährige"
"v08"	"5"	"alle gleich"
"v08"	"6"	"W.N./K.A."
"v09"	"Variable Label"	"Von Arbeitslosigkeit betroffene Bildungsgruppe"
"v09"	"1"	"Pflichtschulabsolventen"
"v09"	"2"	"Schulabgänger"
"v09"	"3"	"Schulabbrecher"
"v09"	"4"	"Absolventen einer Lehre"
"v09"	"5"	"Maturanten"
"v09"	"6"	"Akademiker"
"v09"	"7"	"Alle gleich"
"v09"	"8"	"W.N./K.A."
"v10"	"Variable Label"	"Wird genug im Kampf gegen Arbeitslosigkeit getan?"
"v10"	"1"	"ja, es wird sehr viel getan"
"v10"	"2"	"die Maßnahmen reichen nicht aus"
"v10"	"3"	"nein, es wird nicht genügend getan"
"v10"	"4"	"W.N./K.A."
"v11a"	"Variable Label"	"Steuerliche Belastung von Überstunden"
"v11a"	"1"	"sehr großen"
"v11a"	"2"	"großen"
"v11a"	"3"	"geringen"
"v11a"	"4"	"keinen"
"v11a"	"5"	"W.N."
"v11b"	"Variable Label"	"Generelle Arbeitszeitverkürzung"
"v11b"	"1"	"sehr großen"
"v11b"	"2"	"großen"
"v11b"	"3"	"geringen"
"v11b"	"4"	"keinen"
"v11b"	"5"	"W.N."
"v11c"	"Variable Label"	"Flexible Arbeitszeitmodelle"
"v11c"	"1"	"sehr großen"
"v11c"	"2"	"großen"
"v11c"	"3"	"geringen"
"v11c"	"4"	"keinen"
"v11c"	"5"	"W.N."
"v11d"	"Variable Label"	"Schaffung von Teilzeitarbeitsplätzen"
"v11d"	"1"	"sehr großen"
"v11d"	"2"	"großen"
"v11d"	"3"	"geringen"
"v11d"	"4"	"keinen"
"v11d"	"5"	"W.N."
"v11e"	"Variable Label"	"Mehr Kinderbetreuungsplätzen"
"v11e"	"1"	"sehr großen"
"v11e"	"2"	"großen"
"v11e"	"3"	"geringen"
"v11e"	"4"	"keinen"
"v11e"	"5"	"W.N."
"v11f"	"Variable Label"	"Umschulung von Arbeitnehmern"
"v11f"	"1"	"sehr großen"
"v11f"	"2"	"großen"
"v11f"	"3"	"geringen"
"v11f"	"4"	"keinen"
"v11f"	"5"	"W.N."
"v11g"	"Variable Label"	"Förderung von Exporten"
"v11g"	"1"	"sehr großen"
"v11g"	"2"	"großen"
"v11g"	"3"	"geringen"
"v11g"	"4"	"keinen"
"v11g"	"5"	"W.N."
"v11h"	"Variable Label"	"Forschung und Entwicklung"
"v11h"	"1"	"sehr großen"
"v11h"	"2"	"großen"
"v11h"	"3"	"geringen"
"v11h"	"4"	"keinen"
"v11h"	"5"	"W.N."
"v11i"	"Variable Label"	"Staatliche Investitionen"
"v11i"	"1"	"sehr großen"
"v11i"	"2"	"großen"
"v11i"	"3"	"geringen"
"v11i"	"4"	"keinen"
"v11i"	"5"	"W.N."
"v11j"	"Variable Label"	"Technologieförderungen"
"v11j"	"1"	"sehr großen"
"v11j"	"2"	"großen"
"v11j"	"3"	"geringen"
"v11j"	"4"	"keinen"
"v11j"	"5"	"W.N."
"v11k"	"Variable Label"	"Frühpensionierungen"
"v11k"	"1"	"sehr großen"
"v11k"	"2"	"großen"
"v11k"	"3"	"geringen"
"v11k"	"4"	"keinen"
