variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v0"	"Variable Label"	"Article ID"
"v1"	"Variable Label"	"Headline"
"v10"	"Variable Label"	"Perspective on the main issue"
"v10"	"-1"	"Negative"
"v10"	"0"	"Neutral"
"v10"	"1"	"Positive"
"v11a"	"Variable Label"	"Job market and Employment"
"v11a"	"0"	"not mentioned"
"v11a"	"1"	"mentioned"
"v11b"	"Variable Label"	"Housing"
"v11b"	"0"	"not mentioned"
"v11b"	"1"	"mentioned"
"v11c"	"Variable Label"	"Pensions"
"v11c"	"0"	"not mentioned"
"v11c"	"1"	"mentioned"
"v11d"	"Variable Label"	"Animal welfare and Environment"
"v11d"	"0"	"not mentioned"
"v11d"	"1"	"mentioned"
"v11e"	"Variable Label"	"European Integration"
"v11e"	"0"	"not mentioned"
"v11e"	"1"	"mentioned"
"v11f"	"Variable Label"	"Health and Foster Care"
"v11f"	"0"	"not mentioned"
"v11f"	"1"	"mentioned"
"v11g"	"Variable Label"	"Security, Crime and Terrorism"
"v11g"	"0"	"not mentioned"
"v11g"	"1"	"mentioned"
"v11h"	"Variable Label"	"Economy, Budget and Taxes"
"v11h"	"0"	"not mentioned"
"v11h"	"1"	"mentioned"
"v11i"	"Variable Label"	"Corruption and Fight against Corruption"
"v11i"	"0"	"not mentioned"
"v11i"	"1"	"mentioned"
"v11j"	"Variable Label"	"Migration and Asylum"
"v11j"	"0"	"not mentioned"
"v11j"	"1"	"mentioned"
"v11k"	"Variable Label"	"Protection of Minors, Children and Family"
"v11k"	"0"	"not mentioned"
"v11k"	"1"	"mentioned"
"v11l"	"Variable Label"	"Education and Research"
"v11l"	"0"	"not mentioned"
"v11l"	"1"	"mentioned"
"v12_i"	"Variable Label"	"Main Actor I"
"v12_i"	"1"	"no individual actor"
"v12_i"	"2"	"Deutsch, Christian"
"v12_i"	"3"	"Pilz, Sigrid"
"v12_i"	"4"	"Matznetter, Christoph"
"v12_i"	"5"	"Haubner, Peter"
"v12_i"	"6"	"Darabos, Norbert"
"v12_i"	"7"	"Faymann, Werner"
"v12_i"	"9"	"Vilimsky, Harald"
"v12_i"	"10"	"Strache, Heinz-Christian"
"v12_i"	"11"	"Molterer, Wilhelm"
"v12_i"	"13"	"Karas, Othmar"
"v12_i"	"18"	"Schmied, Claudia"
"v12_i"	"19"	"Hahn, Johannes"
"v12_i"	"20"	"Korun, Alev"
"v12_i"	"21"	"Haimbuchner, Manfred"
"v12_i"	"27"	"Mölzer, Andreas"
"v12_i"	"28"	"Niessl, Hans"
"v12_i"	"30"	"Gerstl, Wolfgang"
"v12_i"	"33"	"Rübig, Paul"
"v12_i"	"38"	"Haider, Jörg"
"v12_i"	"41"	"Häupl, Michael"
"v12_i"	"46"	"Rädler, Johann"
"v12_i"	"50"	"Zinggl, Wolfgang"
"v12_i"	"53"	"Hofer, Norbert"
"v12_i"	"54"	"Öllinger, Karl"
"v12_i"	"56"	"Fekter, Maria"
"v12_i"	"57"	"Amon, Werner"
"v12_i"	"62"	"Pröll, Erwin"
"v12_i"	"65"	"Schmidt, Heide"
"v12_i"	"66"	"Plassnik, Ursula"
"v12_i"	"68"	"Schock, Eduard"
"v12_i"	"71"	"Kickl, Herbert"
"v12_i"	"73"	"Van der Bellen, Alexander"
"v12_i"	"75"	"Darmann, Gernot"
"v12_i"	"76"	"Lunacek, Ulrike"
"v12_i"	"77"	"Karl, Beatrix"
"v12_i"	"80"	"Gahr, Hermann"
"v12_i"	"81"	"Lopatka, Reinhold"
"v12_i"	"83"	"Moser, Josef"
"v12_i"	"86"	"Guggenbichler, Udo"
"v12_i"	"87"	"Ludwig, Michael"
"v12_i"	"89"	"Eßl, Franz"
"v12_i"	"91"	"Kopf, Karlheinz"
"v12_i"	"92"	"Cap, Josef"
"v12_i"	"93"	"Krainer, Kai Jan"
"v12_i"	"94"	"Wohlmuth, Andreas"
"v12_i"	"96"	"Yilmaz, Nurten"
"v12_i"	"100"	"Mahdalik, Anton"
"v12_i"	"102"	"Lockl, Lothar"
"v12_i"	"103"	"Tamandl, Gabriele"
"v12_i"	"116"	"Zanger, Wolfgang"
"v12_i"	"117"	"Grillitsch, Fritz"
"v12_i"	"128"	"Kräuter, Günther"
"v12_i"	"132"	"Haslauer, Wilfried"
"v12_i"	"134"	"Brosz, Dieter"
"v12_i"	"136"	"Lichtenecker, Ruperta"
"v12_i"	"139"	"Huainigg, Franz-Joseph"
"v12_i"	"140"	"Kaiser, Peter"
"v12_i"	"145"	"Leitl, Christoph"
"v12_i"	"148"	"Bures, Doris"
"v12_i"	"152"	"Anschober, Rudolf"
"v12_i"	"153"	"Brauner, Renate"
"v12_i"	"157"	"Kopietz, Harald"
"v12_i"	"158"	"Petzner, Stefan"
"v12_i"	"166"	"Moser, Gabriela"
"v12_i"	"170"	"Kdolsky, Andrea"
"v12_i"	"171"	"Bohuslav, Petra"
"v12_i"	"174"	"Steinhauser, Albert"
"v12_i"	"177"	"Juncker, Jean-Claude"
"v12_i"	"179"	"Schüssel, Wolfgang"
"v12_i"	"187"	"Sima, Ulrike"
"v12_i"	"188"	"Kogler, Werner"
"v12_i"	"189"	"Mitterlehner, Reinhold"
"v12_i"	"192"	"Mikl-Leitner, Johanna"
"v12_i"	"196"	"Gudenus, Johann"
"v12_i"	"202"	"Belakowitsch-Jenewein, Dagmar"
"v12_i"	"208"	"Leichtfried, Jörg"
"v12_i"	"210"	"Haselsteiner, Hans Peter"
"v12_i"	"211"	"Schnedl, Norbert"
"v12_i"	"213"	"Schieder, Andreas"
"v12_i"	"214"	"Pilz, Peter"
"v12_i"	"218"	"Frauenberger, Sandra"
"v12_i"	"219"	"Dörfler, Gerhard"
"v12_i"	"220"	"Gusenbauer, Alfred"
"v12_i"	"221"	"Vassilakou, Maria"
"v12_i"	"228"	"Platter, Günther"
"v12_i"	"231"	"Schratzenstaller, Margit"
"v12_i"	"234"	"Waldhäusl, Gottfried"
"v12_i"	"243"	"Westenthaler, Peter"
"v12_i"	"246"	"Walser, Harald"
"v12_i"	"247"	"Fuhrmann, Silvia"
"v12_i"	"248"	"Ellensohn, David"
"v12_i"	"249"	"Aubauer, Gertrude"
"v12_i"	"252"	"Hundstorfer, Rudolf"
"v12_i"	"256"	"Schaden, Heinz"
"v12_i"	"258"	"Korosec, Ingrid"
"v12_i"	"259"	"Krismer, Helga"
"v12_i"	"260"	"Sobotka, Wolfgang"
"v12_i"	"262"	"Steinbichler, Leopold"
