variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"8.3.-10.3.1993"
"datum"	"2"	"11.3.-14.3.1993"
"datum"	"3"	"15.3.-17.3.1993"
"datum"	"4"	"18.3.-21.3.1993"
"datum"	"5"	"22.3.-24.3.1993"
"datum"	"6"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v07"	"Variable Label"	"Wählbarkeit der FPÖ"
"v07"	"1"	"Ist wählbar"
"v07"	"2"	"Ist nicht wählbar"
"v07"	"3"	"Weiß nicht"
"v08"	"Variable Label"	"Wählbarkeit des Liberalen Forums"
"v08"	"1"	"Ist wählbar"
"v08"	"2"	"Ist nicht wählbar"
"v08"	"3"	"Weiß nicht"
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Beruf"
"v10"	"Variable Label"	"Andere"
"v10"	"1"	"Hilfsarbeiter"
"v10"	"2"	"Facharbeiter"
"v10"	"3"	"Leitende Ang./Beamte"
"v10"	"4"	"Angestellte"
"v10"	"5"	"Beamte"
"v10"	"6"	"Rentner/Pensionisten"
"v10"	"7"	"Hausfrauen"
"v10"	"8"	"Selbständige"
"v10"	"9"	"Landwirte"
"v11"	"Variable Label"	"Bundesland"
"v11"	"1"	"Wien"
"v11"	"2"	"Burgenland"
"v11"	"3"	"Niederösterreich"
"v11"	"4"	"Oberösterreich"
"v11"	"5"	"Salzburg"
"v11"	"6"	"Tirol"
"v11"	"7"	"Vorarlberg"
"v11"	"8"	"Steiermark"
"v11"	"9"	"Kärnten"
"v12"	"Variable Label"	"Alter"
"v12"	"1"	"Unter 20 Jahren"
"v12"	"2"	"20 bis 25 Jahre"
"v12"	"3"	"26 bis 35 Jahre"
"v12"	"4"	"36 bis 50 Jahre"
"v12"	"5"	"51 bis 65 Jahre"
"v12"	"6"	"Über 65 Jahre"
"v13"	"Variable Label"	"Bildung"
"v13"	"1"	"Volksschule"
"v13"	"2"	"Hauptschule"
"v13"	"3"	"Berufs-/Handelsschule"
"v13"	"4"	"Matura"
"v13"	"5"	"Abg.Hochschule"
"v14"	"Variable Label"	"Parteipräferenz"
"v14"	"1"	"FPÖ"
"v14"	"2"	"KPÖ"
"v14"	"3"	"ÖVP"
"v14"	"4"	"SPÖ"
"v14"	"5"	"GAL"
"v14"	"6"	"Liberales Forum"
"v14"	"7"	"Keine"
"v1a"	"Variable Label"	"Abbau von Privilegien"
"v1a"	"Variable Label"	"Nicht genannt"
"v1a"	"1"	"Genannt"
"v1b"	"Variable Label"	"Sicherung von Arbeitsplätzen"
"v1b"	"Variable Label"	"Nicht genannt"
"v1b"	"1"	"Genannt"
"v1c"	"Variable Label"	"Umweltschutz"
"v1c"	"Variable Label"	"Nicht genannt"
"v1c"	"1"	"Genannt"
"v1d"	"Variable Label"	"Schaffung von Wohnraum"
"v1d"	"Variable Label"	"Nicht genannt"
"v1d"	"1"	"Genannt"
"v1e"	"Variable Label"	"Sicherung der Pensionen"
"v1e"	"Variable Label"	"Nicht genannt"
"v1e"	"1"	"Genannt"
"v1f"	"Variable Label"	"Kampf gegen Verbrechen"
"v1f"	"Variable Label"	"Nicht genannt"
"v1f"	"1"	"Genannt"
"v1g"	"Variable Label"	"Ausländerfrage"
"v1g"	"Variable Label"	"Nicht genannt"
"v1g"	"1"	"Genannt"
"v1h"	"Variable Label"	"Kampf gegen Preissteigerungen"
"v1h"	"Variable Label"	"Nicht genannt"
"v1h"	"1"	"Genannt"
"v1i"	"Variable Label"	"Anderes"
