variable	value	Label
"bl_name"	"Variable Label"	"bl_name"
"doi"	"Variable Label"	"digital object identifier"
"election_year"	"Variable Label"	"election_year"
"gem_code"	"Variable Label"	"gem_code"
"gem_mand_all"	"Variable Label"	"gem_mand_all"
"gem_mand_BZOE"	"Variable Label"	"gem_mand_BZOE"
"gem_mand_FPOE"	"Variable Label"	"gem_mand_FPOE"
"gem_mand_GRUE"	"Variable Label"	"gem_mand_GRUE"
"gem_mand_KPOE"	"Variable Label"	"gem_mand_KPOE"
"gem_mand_LBL"	"Variable Label"	"gem_mand_LBL"
"gem_mand_m"	"Variable Label"	"gem_mand_m"
"gem_mand_NEOS"	"Variable Label"	"gem_mand_NEOS"
"gem_mand_OEVP"	"Variable Label"	"gem_mand_OEVP"
"gem_mand_other"	"Variable Label"	"gem_mand_other"
"gem_mand_SPOE"	"Variable Label"	"gem_mand_SPOE"
"gem_mand_w"	"Variable Label"	"gem_mand_w"
"gem_mayor_gender"	"Variable Label"	"gem_mayor_gender"
"gem_mayor_party"	"Variable Label"	"gem_mayor_party"
"gem_mayor_party_FPOE"	"Variable Label"	"gem_mayor_party_FPOE"
"gem_mayor_party_FPOE_BZOE"	"Variable Label"	"gem_mayor_party_FPOE_BZOE"
"gem_mayor_party_OEVP"	"Variable Label"	"gem_mayor_party_OEVP"
"gem_mayor_party_other"	"Variable Label"	"gem_mayor_party_other"
"gem_mayor_party_SPOE"	"Variable Label"	"gem_mayor_party_SPOE"
"gem_tourismus"	"Variable Label"	"gem_tourismus"
"gem_urban_rural"	"Variable Label"	"gem_urban_rural"
"version"	"Variable Label"	"AUSSDA archive version"
"year"	"Variable Label"	"year"
