variable	value	Label
"alter3"	"Variable Label"	"Alter"
"alter3"	"1"	"16-39 Jahre"
"alter3"	"2"	"40-59 Jahre"
"alter3"	"3"	"ab 60 Jahre"
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewbild"	"Variable Label"	"<keine>"
"gewsex"	"Variable Label"	"<keine>"
"gewtest"	"Variable Label"	"<keine>"
"gtest"	"Variable Label"	"<keine>"
"gtest2"	"Variable Label"	"<keine>"
"gtestfin"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Einschätzung des Erfolges der Auseinandersetzungen zwischen der öst. und der tschech. Regierung bzgl. des AKW Temelin für Österreich"
"v1"	"1"	"ein großer Erfolg"
"v1"	"2"	"ein geringer Erfolg"
"v1"	"3"	"eher ein Misserfolg"
"v1"	"4"	"ein großer Misserfolg"
"v1"	"5"	"weder ein Erfolg noch ein Misserfolg"
"v1"	"6"	"W.N./K.A."
"v10"	"Variable Label"	"Bildung"
"v10"	"1"	"Matura, Universität"
"v10"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v10"	"3"	"Pflichtschule ohne weitere Ausbildung"
"v11"	"Variable Label"	"Tätigkeit"
"v11"	"1"	"in Ausbildung"
"v11"	"2"	"nicht berufstätig"
"v11"	"3"	"Pension"
"v11"	"4"	"selbständig (auch Landwirte)"
"v11"	"5"	"Arbeiter"
"v11"	"6"	"Angestellte"
"v11"	"7"	"Beamte"
"v12"	"Variable Label"	"Parteipräferenz"
"v12"	"1"	"SPÖ"
"v12"	"2"	"ÖVP"
"v12"	"3"	"FPÖ"
"v12"	"4"	"KPÖ"
"v12"	"5"	"GAL"
"v12"	"6"	"LIF"
"v12"	"7"	"Keine"
"v12"	"8"	"Keine Angabe"
"v13"	"Variable Label"	"Bundesland"
"v13"	"1"	"Wien"
"v13"	"2"	"Niederösterreich"
"v13"	"3"	"Burgenland"
"v13"	"4"	"Steiermark"
"v13"	"5"	"Kärnten"
"v13"	"6"	"Oberösterreich"
"v13"	"7"	"Salzburg"
"v13"	"8"	"Tirol"
"v13"	"9"	"Vorarlberg"
"v2"	"Variable Label"	"Kann Österreich die Stilllegung des AKW Temelin erzwingen?"
"v2"	"1"	"ja"
"v2"	"2"	"nein"
"v2"	"3"	"W.N./K.A."
"v3"	"Variable Label"	"Soll das öst. Parlament ein Veto gegen den EU-Beitritt Tschechiens einlegen, falls Tschechien des AKW Temelin nicht stilllegt?"
"v3"	"1"	"Ja, das Parlament soll ein Veto einlegen"
"v3"	"2"	"Nein, das Parlament soll kein Veto einlegen"
"v3"	"3"	"W.N./K.A."
"v4a1"	"Variable Label"	"Wasserkraft: \"Sicherheit\""
"v4a1"	"1"	"1"
"v4a1"	"2"	"2"
"v4a1"	"3"	"3"
"v4a1"	"4"	"4"
"v4a1"	"5"	"5"
"v4a1"	"6"	"W.N./K.A."
"v4a2"	"Variable Label"	"Wasserkraft: \"Umweltbelastung\""
"v4a2"	"1"	"1"
"v4a2"	"2"	"2"
"v4a2"	"3"	"3"
"v4a2"	"4"	"4"
"v4a2"	"5"	"5"
"v4a2"	"6"	"W.N./K.A."
"v4a3"	"Variable Label"	"Wasserkraft: \"Verfügbarkeit\""
