variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"pers"	"Variable Label"	"Person"
"aget1"	"Variable Label"	"Alter t1"
"aget1"	"10"	"10 Jahre"
"aget1"	"11"	"11 Jahre"
"aget1"	"12"	"12 Jahre"
"aget1"	"13"	"13 Jahre"
"aget1"	"14"	"14 Jahre und älter"
"aget2"	"Variable Label"	"Alter t2"
"aget2"	"11"	"11 Jahre und jünger"
"aget2"	"12"	"12 Jahre"
"aget2"	"13"	"13 Jahre"
"aget2"	"14"	"14 Jahre und älter"
"aget3"	"Variable Label"	"Alter t3"
"aget3"	"12"	"12 Jahre und jünger"
"aget3"	"13"	"13 Jahre"
"aget3"	"14"	"14 Jahre"
"aget3"	"15"	"15 Jahre und älter"
"aget4"	"Variable Label"	"Alter t4"
"aget4"	"12"	"12 Jahre"
"aget4"	"13"	"13 Jahre"
"aget4"	"14"	"14 Jahre"
"aget4"	"15"	"15 Jahre und älter"
"gendert1"	"Variable Label"	"Geschlecht t1"
"gendert1"	"0"	"Männlich"
"gendert1"	"1"	"Weiblich"
"gendert2"	"Variable Label"	"Geschlecht t2"
"gendert2"	"0"	"Männlich"
"gendert2"	"1"	"Weiblich"
"schooltype"	"Variable Label"	"Schultyp"
"schooltype"	"0"	"Volksschule"
"schooltype"	"1"	"Mittelschule"
"schooltype"	"2"	"Allgemeinbildende höhere Schulen (AHS)"
"subjt1"	"Variable Label"	"Schulfach"
"subjt1"	"0"	"Sonstige"
"subjt1"	"1"	"Biologie"
"subjt1"	"2"	"Physik / Chemie"
"subjt1"	"3"	"Mathematik"
"subjt1"	"4"	"Geografie und Wirtschaftskunde"
"subjt1"	"5"	"Sachunterricht"
"subjt3"	"Variable Label"	"Schulfach t3"
"subjt3"	"0"	"Sonstige"
"subjt3"	"1"	"Biologie"
"subjt3"	"2"	"Physik / Chemie"
"subjt3"	"3"	"Mathematik"
"subjt3"	"4"	"Geografie und Wirtschaftskunde"
"subjt3"	"5"	"Sachunterricht"
"subjt4"	"Variable Label"	"Schulfach t4"
"subjt4"	"0"	"Sonstige"
"subjt4"	"1"	"Biologie"
"subjt4"	"2"	"Physik / Chemie"
"subjt4"	"3"	"Mathematik"
"subjt4"	"4"	"Geografie und Wirtschaftskunde"
"subjt4"	"5"	"Sachunterricht"
"Klasse"	"Variable Label"	"Klassenzugehörigkeit"
"langt1_1"	"Variable Label"	"In welcher Sprache hast du zuerst Lesen und Schreiben gelernt?"
"langt1_1"	"0"	"Beide gleichzeitig"
"langt1_1"	"1"	"andere Sprache"
"langt1_1"	"2"	"Deutsch"
"langt1_2_1"	"Variable Label"	"Welche Sprache(n) sprichst du zu Hause? Deutsch"
"langt1_2_1"	"0"	"nie"
"langt1_2_1"	"1"	"manchmal"
"langt1_2_1"	"2"	"fast immer"
"langt1_2_1"	"3"	"immer"
"langt1_2_2"	"Variable Label"	"Welche Sprache(n) sprichst du zu Hause? Andere Sprachen"
"langt1_2_2"	"0"	"immer"
"langt1_2_2"	"1"	"fast immer"
"langt1_2_2"	"2"	"manchmal"
"langt1_2_2"	"3"	"nie"
"langt1_3_1"	"Variable Label"	"Wie gut andere Sprache im Vergleich zu Deutsch: Sprechen"
"langt1_3_1"	"0"	"schlechter"
"langt1_3_1"	"1"	"gleich gut"
"langt1_3_1"	"2"	"besser"
"langt1_3_2"	"Variable Label"	"Wie gut andere Sprache im Vergleich zu Deutsch: Lesen"
"langt1_3_2"	"0"	"schlechter"
"langt1_3_2"	"1"	"gleich gut"
"langt1_3_2"	"2"	"besser"
"langt1_3_3"	"Variable Label"	"Wie gut andere Sprache im Vergleich zu Deutsch: Schreiben"
"langt1_3_3"	"0"	"schlechter"
"langt1_3_3"	"1"	"gleich gut"
"langt1_3_3"	"2"	"besser"
"sozt1_1"	"Variable Label"	"Wie viele Computer/Laptops/Tablets habt ihr zuhause?"
"sozt1_1"	"0"	"keinen"
"sozt1_1"	"1"	"einen"
"sozt1_1"	"2"	"zwei"
"sozt1_1"	"3"	"drei oder mehr"
"sozt1_2"	"Variable Label"	"Wie viele Apple Mac-Geräte habt ihr zu Hause?"
"sozt1_2"	"0"	"keinen"
"sozt1_2"	"1"	"einen"
"sozt1_2"	"2"	"zwei"
"sozt1_2"	"3"	"drei oder mehr"
"sozt1_3"	"Variable Label"	"Wie viele Autos habt ihr zu Hause?"
"sozt1_3"	"0"	"keines"
"sozt1_3"	"1"	"eines"
"sozt1_3"	"2"	"zwei oder mehr"
"sozt1_4"	"Variable Label"	"Wie häufig im letzten Jahr in Urlaub gefahren"
"sozt1_4"	"0"	"überhaupt nicht"
"sozt1_4"	"1"	"einmal"
"sozt1_4"	"2"	"zweimal"
"sozt1_4"	"3"	"dreimal oder öfter"
"sozt1_5"	"Variable Label"	"Gibt es bei dir zu Hause ein eigenes Zimmer für dich?"
"sozt1_5"	"0"	"Nein"
"sozt1_5"	"1"	"Ja"
"sozt1_6"	"Variable Label"	"Wie viele Badezimmer habt ihr zu Hause?"
"sozt1_6"	"0"	"keines"
"sozt1_6"	"1"	"eines"
"sozt1_6"	"2"	"zwei oder mehr"
"sozt1_7"	"Variable Label"	"Hat deine Familie eine Geschirrspülmaschine zu Hause?"
"sozt1_7"	"0"	"Nein"
"sozt1_7"	"1"	"Ja"
"sozt1_10"	"Variable Label"	"In welcher Gegend wohnst du?"
"sozt1_10"	"1"	"nicht reich"
"sozt1_10"	"2"	"mittelmäßig"
"sozt1_10"	"3"	"reich"
"sozt1_11"	"Variable Label"	"Wie viele Zimmer hat eure Wohnung/euer Haus?"
"sozt1_11"	"3"	"drei oder weniger"
"sozt1_11"	"4"	"vier"
"sozt1_11"	"5"	"fünf oder mehr"
"sozt1_12"	"Variable Label"	"Wie neu ist eure Einrichtung?"
"sozt1_12"	"1"	"Alt"
"sozt1_12"	"2"	"Mittel"
"sozt1_12"	"3"	"Relativ neu"
"sozt1_13"	"Variable Label"	"Haben deine Eltern studiert?"
"sozt1_13"	"0"	"Ja, meine Mutter."
"sozt1_13"	"1"	"Ja, mein Vater."
"sozt1_13"	"2"	"Ja, beide"
"sozt1_13"	"3"	"Weiß ich nicht."
"sozt1_13"	"4"	"Nein."
"sozt1_14"	"Variable Label"	"Welchen Beruf hat dein Vater?"
"sozt1_14"	"1"	"Selbstständig"
"sozt1_14"	"2"	"Unselbstständig"
"sozt1_14"	"10"	"Nicht erwerbstätig"
"sozt1_15"	"Variable Label"	"Welchen Beruf hat deine Mutter?"
"sozt1_15"	"1"	"Selbstständig"
"sozt1_15"	"2"	"Unselbstständig"
"sozt1_15"	"10"	"Nicht erwerbstätig"
"expt1_1"	"Variable Label"	"Computerspiele"
"expt1_1"	"0"	"Nie"
"expt1_1"	"1"	"Selten"
"expt1_1"	"2"	"Manchmal"
"expt1_1"	"3"	"Oft"
"expt1_1"	"4"	"Sehr oft"
"expt1_2"	"Variable Label"	"Programmieren"
"expt1_2"	"0"	"Nie"
"expt1_2"	"1"	"Selten"
"expt1_2"	"2"	"Manchmal"
"expt1_2"	"3"	"Oft"
"expt1_2"	"4"	"Sehr oft"
"expt1_3"	"Variable Label"	"Ferngesteuerte Autos/Flugzeuge/Modelle"
"expt1_3"	"0"	"Nie"
"expt1_3"	"1"	"Selten"
"expt1_3"	"2"	"Manchmal"
"expt1_3"	"3"	"Oft"
"expt1_3"	"4"	"Sehr oft"
"expt1_4"	"Variable Label"	"Modellbahn"
"expt1_4"	"0"	"Nie"
"expt1_4"	"1"	"Selten"
"expt1_4"	"2"	"Manchmal"
"expt1_4"	"3"	"Oft"
"expt1_4"	"4"	"Sehr oft"
"expt1_5"	"Variable Label"	"Zerlegen/Auseinanderbauen von Geräten"
"expt1_5"	"0"	"Nie"
"expt1_5"	"1"	"Selten"
"expt1_5"	"2"	"Manchmal"
"expt1_5"	"3"	"Oft"
"expt1_5"	"4"	"Sehr oft"
"expt1_6"	"Variable Label"	"Elektrische Schaltungen/Löten"
"expt1_6"	"0"	"Nie"
"expt1_6"	"1"	"Selten"
"expt1_6"	"2"	"Manchmal"
"expt1_6"	"3"	"Oft"
"expt1_6"	"4"	"Sehr oft"
"expt1_7"	"Variable Label"	"Werken"
"expt1_7"	"0"	"Nie"
"expt1_7"	"1"	"Selten"
"expt1_7"	"2"	"Manchmal"
