variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"11.1.-13.1.1991"
"datum"	"2"	"14.1.-16.1.1991"
"datum"	"3"	"17.1.-20.1.1991"
"datum"	"4"	"21.1.-23.1.1991"
"datum"	"5"	"24.1.-27.1.1991"
"datum"	"6"	"28.1.-31.1.1991"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01a0"	"Variable Label"	"Weiß nicht"
"v01a0"	"Variable Label"	"Nicht genannt"
"v01a0"	"1"	"Genannt"
"v01a1"	"Variable Label"	"Niemand"
"v01a1"	"Variable Label"	"Nicht genannt"
"v01a1"	"1"	"Genannt"
"v01a2"	"Variable Label"	"Andere"
"v01a2"	"Variable Label"	"Nicht genannt"
"v01a2"	"1"	"Genannt"
"v01a3"	"Variable Label"	"Androsch"
"v01a3"	"Variable Label"	"Nicht genannt"
"v01a3"	"1"	"Genannt"
"v01a4"	"Variable Label"	"Benya"
"v01a4"	"Variable Label"	"Nicht genannt"
"v01a4"	"1"	"Genannt"
"v01a5"	"Variable Label"	"Busek"
"v01a5"	"Variable Label"	"Nicht genannt"
"v01a5"	"1"	"Genannt"
"v01a6"	"Variable Label"	"Cap"
"v01a6"	"Variable Label"	"Nicht genannt"
"v01a6"	"1"	"Genannt"
"v01a7"	"Variable Label"	"Dohnal"
"v01a7"	"Variable Label"	"Nicht genannt"
"v01a7"	"1"	"Genannt"
"v01a8"	"Variable Label"	"Ettl"
"v01a8"	"Variable Label"	"Nicht genannt"
"v01a8"	"1"	"Genannt"
"v01a9"	"Variable Label"	"Fasslabend"
"v01a9"	"Variable Label"	"Nicht genannt"
"v01a9"	"1"	"Genannt"
"v01ami"	"Variable Label"	"Fischer"
"v01ami"	"Variable Label"	"Nicht genannt"
"v01ami"	"1"	"Genannt"
"v01apl"	"Variable Label"	"Fischler"
"v01apl"	"Variable Label"	"Nicht genannt"
"v01apl"	"1"	"Genannt"
"v01b0"	"Variable Label"	"Flemming"
"v01b0"	"Variable Label"	"Nicht genannt"
"v01b0"	"1"	"Genannt"
"v01b1"	"Variable Label"	"Foregger"
"v01b1"	"Variable Label"	"Nicht genannt"
"v01b1"	"1"	"Genannt"
"v01b2"	"Variable Label"	"Guggerbauer"
"v01b2"	"Variable Label"	"Nicht genannt"
"v01b2"	"1"	"Genannt"
"v01b3"	"Variable Label"	"Haider"
"v01b3"	"Variable Label"	"Nicht genannt"
"v01b3"	"1"	"Genannt"
"v01b4"	"Variable Label"	"Hesoun"
"v01b4"	"Variable Label"	"Nicht genannt"
"v01b4"	"1"	"Genannt"
"v01b5"	"Variable Label"	"Jankowitsch"
"v01b5"	"Variable Label"	"Nicht genannt"
"v01b5"	"1"	"Genannt"
"v01b6"	"Variable Label"	"Katschthaler"
"v01b6"	"Variable Label"	"Nicht genannt"
"v01b6"	"1"	"Genannt"
"v01b7"	"Variable Label"	"Kirchschläger"
"v01b7"	"Variable Label"	"Nicht genannt"
"v01b7"	"1"	"Genannt"
"v01b8"	"Variable Label"	"Kostelka"
"v01b8"	"Variable Label"	"Nicht genannt"
"v01b8"	"1"	"Genannt"
"v01b9"	"Variable Label"	"Krainer"
"v01b9"	"Variable Label"	"Nicht genannt"
"v01b9"	"1"	"Genannt"
"v01bmi"	"Variable Label"	"Lacina"
"v01bmi"	"Variable Label"	"Nicht genannt"
"v01bmi"	"1"	"Genannt"
"v01bpl"	"Variable Label"	"Lichal"
"v01bpl"	"Variable Label"	"Nicht genannt"
"v01bpl"	"1"	"Genannt"
"v01c0"	"Variable Label"	"Löschnak"
"v01c0"	"Variable Label"	"Nicht genannt"
"v01c0"	"1"	"Genannt"
"v01c1"	"Variable Label"	"Ludwig"
"v01c1"	"Variable Label"	"Nicht genannt"
"v01c1"	"1"	"Genannt"
"v01c2"	"Variable Label"	"Maderthaner"
"v01c2"	"Variable Label"	"Nicht genannt"
"v01c2"	"1"	"Genannt"
"v01c3"	"Variable Label"	"Michalek"
"v01c3"	"Variable Label"	"Nicht genannt"
"v01c3"	"1"	"Genannt"
"v01c4"	"Variable Label"	"Mock"
"v01c4"	"Variable Label"	"Nicht genannt"
"v01c4"	"1"	"Genannt"
"v01c5"	"Variable Label"	"Partl"
"v01c5"	"Variable Label"	"Nicht genannt"
"v01c5"	"1"	"Genannt"
"v01c6"	"Variable Label"	"Pilz"
"v01c6"	"Variable Label"	"Nicht genannt"
"v01c6"	"1"	"Genannt"
"v01c7"	"Variable Label"	"Purtscher"
"v01c7"	"Variable Label"	"Nicht genannt"
"v01c7"	"1"	"Genannt"
"v01c8"	"Variable Label"	"Ratzenböck"
"v01c8"	"Variable Label"	"Nicht genannt"
"v01c8"	"1"	"Genannt"
"v01c9"	"Variable Label"	"Riegler"
"v01c9"	"Variable Label"	"Nicht genannt"
"v01c9"	"1"	"Genannt"
"v01cmi"	"Variable Label"	"Sallinger"
"v01cmi"	"Variable Label"	"Nicht genannt"
"v01cmi"	"1"	"Genannt"
"v01cpl"	"Variable Label"	"Schmidt"
"v01cpl"	"Variable Label"	"Nicht genannt"
"v01cpl"	"1"	"Genannt"
"v01d0"	"Variable Label"	"Scholten"
"v01d0"	"Variable Label"	"Nicht genannt"
"v01d0"	"1"	"Genannt"
"v01d1"	"Variable Label"	"Schüssl"
"v01d1"	"Variable Label"	"Nicht genannt"
"v01d1"	"1"	"Genannt"
"v01d2"	"Variable Label"	"Sipötz"
"v01d2"	"Variable Label"	"Nicht genannt"
"v01d2"	"1"	"Genannt"
"v01d3"	"Variable Label"	"Streicher"
"v01d3"	"Variable Label"	"Nicht genannt"
"v01d3"	"1"	"Genannt"
"v01d4"	"Variable Label"	"Taus"
"v01d4"	"Variable Label"	"Nicht genannt"
"v01d4"	"1"	"Genannt"
"v01d5"	"Variable Label"	"Verzetnitsch"
"v01d5"	"Variable Label"	"Nicht genannt"
"v01d5"	"1"	"Genannt"
"v01d6"	"Variable Label"	"Voggenhuber"
"v01d6"	"Variable Label"	"Nicht genannt"
"v01d6"	"1"	"Genannt"
"v01d7"	"Variable Label"	"Vogler"
"v01d7"	"Variable Label"	"Nicht genannt"
"v01d7"	"1"	"Genannt"
"v01d8"	"Variable Label"	"Vranitzky"
"v01d8"	"Variable Label"	"Nicht genannt"
"v01d8"	"1"	"Genannt"
"v01d9"	"Variable Label"	"Wabl"
"v01d9"	"Variable Label"	"Nicht genannt"
"v01d9"	"1"	"Genannt"
"v01dmi"	"Variable Label"	"Waldheim"
"v01dmi"	"Variable Label"	"Nicht genannt"
"v01dmi"	"1"	"Genannt"
"v01dpl"	"Variable Label"	"Zilk"
"v01dpl"	"Variable Label"	"Nicht genannt"
"v01dpl"	"1"	"Genannt"
"v02"	"Variable Label"	"Dauer der Großen Koalition"
"v02"	"1"	"Höchstens 1 Jahr"
"v02"	"2"	"2 bis 3 Jahre"
"v02"	"3"	"4 Jahre, also die volle Legislaturperiode"
"v02"	"4"	"Auch noch länger, über die nächsten Wahlen hinaus"
"v02"	"5"	"Weiß nicht"
"v03a0"	"Variable Label"	"Weiß nicht"
