variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Einstellung zur Regierungsbildung"
"v1"	"1"	"Mit großer Koalition im Großen und  Ganzen zufrieden"
"v1"	"2"	"ÖVP-Minderheitsregierung wäre mir lieber gewesen"
"v1"	"3"	"SPÖ-Minderheitsregierung wäre mir lieber gewesen"
"v1"	"4"	"Koalition von ÖVP, FPÖ, BZÖ wäre mir lieber gewesen"
"v1"	"5"	"Große Koalition einzige realistische Lösung"
"v1"	"6"	"W.N./K.A."
"v10"	"Variable Label"	"Sind Sie gerne Europäer bzw. Europäerin?"
"v10"	"1"	"Ja"
"v10"	"2"	"Nein"
"v10"	"3"	"ist mir egal"
"v10"	"4"	"W.N./K.A."
"v11a"	"Variable Label"	"Industrialisierung"
"v11a"	"1"	"Etwas sehr Wichtiges"
"v11a"	"2"	"Etwas eher Wichtiges"
"v11a"	"3"	"Eher nichts Wichtiges"
"v11a"	"4"	"Gar nichts Wichtiges"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"Menschenrechte"
"v11b"	"1"	"Etwas sehr Wichtiges"
"v11b"	"2"	"Etwas eher Wichtiges"
"v11b"	"3"	"Eher nichts Wichtiges"
"v11b"	"4"	"Gar nichts Wichtiges"
"v11b"	"5"	"W.N./K.A."
"v11c"	"Variable Label"	"Sozialstaat"
"v11c"	"1"	"Etwas sehr Wichtiges"
"v11c"	"2"	"Etwas eher Wichtiges"
"v11c"	"3"	"Eher nichts Wichtiges"
"v11c"	"4"	"Gar nichts Wichtiges"
"v11c"	"5"	"W.N./K.A."
"v11d"	"Variable Label"	"Westliche Kultur"
"v11d"	"1"	"Etwas sehr Wichtiges"
"v11d"	"2"	"Etwas eher Wichtiges"
"v11d"	"3"	"Eher nichts Wichtiges"
"v11d"	"4"	"Gar nichts Wichtiges"
"v11d"	"5"	"W.N./K.A."
"v12"	"Variable Label"	"Gibt es Bereiche, in denen Europa anderen Kontinenten überlegen ist?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
