variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"ID"
"f1"	"Variable Label"	"Wie beurteilen Sie im Großen und Ganzen die politische Situation in Österreich: Entwickeln sich die Dinge in Österreich allgemein gesprochen eher in die richtige Richtung oder eher in die falsche Richtung?"
"f1"	"1"	"eher in die richtige Richtung"
"f1"	"2"	"eher in die falsche Richtung"
"f1"	"3"	"[weiß nicht / keine Angabe]"
"f2"	"Variable Label"	"Wie zufrieden oder unzufrieden sind Sie alles in allem mit der Demokratie, so wie sie in Österreich funktioniert? Sehr zufrieden, eher zufrieden, eher unzufrieden oder sehr unzufrieden?"
"f2"	"1"	"sehr zufrieden"
"f2"	"2"	"eher zufrieden"
"f2"	"3"	"eher unzufrieden"
"f2"	"4"	"sehr unzufrieden"
"f2"	"5"	"[weiß nicht / keine Angabe]"
"f3"	"Variable Label"	"Und werden Sie sich in den nächsten Jahren weiterhin die Dinge leisten können, die Ihnen wichtig sind oder fürchten Sie, immer mehr Abstriche von Ihrem derzeitigen Lebensstandard machen zu müssen?"
"f3"	"1"	"Werde mir weiterhin die Dinge leisten können, die mir wichtig sind."
"f3"	"2"	"Fürchte, dass ich immer mehr Abstriche von meinem derzeitigen Lebensstandard machen muss."
"f3"	"3"	"[weiß nicht / keine Angabe]"
"f4_1"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Den Klimawandel"
"f4_1"	"1"	"sehr besorgt"
"f4_1"	"2"	"eher besorgt"
"f4_1"	"3"	"teils - teils"
"f4_1"	"4"	"eher zuversichtlich"
"f4_1"	"5"	"sehr zuversichtlich"
"f4_1"	"6"	"[weiß nicht / keine Angabe]"
"f4_2"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Die Lebenserhaltungskosten"
"f4_2"	"1"	"sehr besorgt"
"f4_2"	"2"	"eher besorgt"
"f4_2"	"3"	"teils - teils"
"f4_2"	"4"	"eher zuversichtlich"
"f4_2"	"5"	"sehr zuversichtlich"
"f4_2"	"6"	"[weiß nicht / keine Angabe]"
"f4_3"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Die Spaltung der Gesellschaft"
"f4_3"	"1"	"sehr besorgt"
"f4_3"	"2"	"eher besorgt"
"f4_3"	"3"	"teils - teils"
"f4_3"	"4"	"eher zuversichtlich"
"f4_3"	"5"	"sehr zuversichtlich"
"f4_3"	"6"	"[weiß nicht / keine Angabe]"
"f4_4"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Den Krieg in Europa"
"f4_4"	"1"	"sehr besorgt"
"f4_4"	"2"	"eher besorgt"
"f4_4"	"3"	"teils - teils"
"f4_4"	"4"	"eher zuversichtlich"
"f4_4"	"5"	"sehr zuversichtlich"
"f4_4"	"6"	"[weiß nicht / keine Angabe]"
"f4_5"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Die Zuwanderung nach Österreich"
"f4_5"	"1"	"sehr besorgt"
"f4_5"	"2"	"eher besorgt"
"f4_5"	"3"	"teils - teils"
"f4_5"	"4"	"eher zuversichtlich"
"f4_5"	"5"	"sehr zuversichtlich"
"f4_5"	"6"	"[weiß nicht / keine Angabe]"
"f4_6"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Die Energieversorgung"
"f4_6"	"1"	"sehr besorgt"
"f4_6"	"2"	"eher besorgt"
"f4_6"	"3"	"teils - teils"
"f4_6"	"4"	"eher zuversichtlich"
"f4_6"	"5"	"sehr zuversichtlich"
"f4_6"	"6"	"[weiß nicht / keine Angabe]"
"f4_7"	"Variable Label"	"Wenn Sie an die kommenden Jahre denken, wie beurteilen Sie die Entwicklungen in Bezug auf...? Sind Sie da sehr besorgt, eher besorgt, eher zuversichtlich, sehr zuversichtlich oder teil-teils? - Die Corona-Pandemie"
"f4_7"	"1"	"sehr besorgt"
"f4_7"	"2"	"eher besorgt"
"f4_7"	"3"	"teils - teils"
"f4_7"	"4"	"eher zuversichtlich"
"f4_7"	"5"	"sehr zuversichtlich"
"f4_7"	"6"	"[weiß nicht / keine Angabe]"
"f5_1"	"Variable Label"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?(Durchfragen) - Muslime"
"f5_1"	"1"	"sehr stören"
"f5_1"	"2"	"eher schon stören"
"f5_1"	"3"	"eher nicht stören"
"f5_1"	"4"	"gar nicht stören"
"f5_1"	"5"	"[weiß nicht / keine Angabe]"
"f5_2"	"Variable Label"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?(Durchfragen) - Schwarze Menschen"
"f5_2"	"1"	"sehr stören"
"f5_2"	"2"	"eher schon stören"
"f5_2"	"3"	"eher nicht stören"
"f5_2"	"4"	"gar nicht stören"
"f5_2"	"5"	"[weiß nicht / keine Angabe]"
"f5_3"	"Variable Label"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?(Durchfragen) - Juden"
"f5_3"	"1"	"sehr stören"
"f5_3"	"2"	"eher schon stören"
"f5_3"	"3"	"eher nicht stören"
"f5_3"	"4"	"gar nicht stören"
"f5_3"	"5"	"[weiß nicht / keine Angabe]"
"f5_4"	"Variable Label"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?(Durchfragen) - Österreicher"
"f5_4"	"1"	"sehr stören"
"f5_4"	"2"	"eher schon stören"
"f5_4"	"3"	"eher nicht stören"
"f5_4"	"4"	"gar nicht stören"
"f5_4"	"5"	"[weiß nicht / keine Angabe]"
"f5_5"	"Variable Label"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?(Durchfragen) - Roma und Sinti"
"f5_5"	"1"	"sehr stören"
"f5_5"	"2"	"eher schon stören"
"f5_5"	"3"	"eher nicht stören"
"f5_5"	"4"	"gar nicht stören"
"f5_5"	"5"	"[weiß nicht / keine Angabe]"
"f5_6"	"Variable Label"	"Wenn Sie folgende Nachbarn hätten - würde Sie das sehr, eher schon, eher nicht oder gar nicht stören?(Durchfragen) - Homosexuelle"
"f5_6"	"1"	"sehr stören"
"f5_6"	"2"	"eher schon stören"
"f5_6"	"3"	"eher nicht stören"
"f5_6"	"4"	"gar nicht stören"
"f5_6"	"5"	"[weiß nicht / keine Angabe]"
"f6_1"	"Variable Label"	"Und wie sehr treffen die folgenden vier Aussagen Ihrer Meinung nach zu? Sehr, eher, teils-teils, eher nicht oder gar nicht? - Es gibt geheime Organisationen, die großen Einfluss auf politische Entscheidungen haben."
"f6_1"	"1"	"trifft sehr zu"
"f6_1"	"2"	"trifft eher zu"
"f6_1"	"3"	"teils - teils"
"f6_1"	"4"	"trifft eher nicht zu"
"f6_1"	"5"	"trifft gar nicht zu"
"f6_1"	"6"	"[weiß nicht / keine Angabe]"
"f6_2"	"Variable Label"	"Und wie sehr treffen die folgenden vier Aussagen Ihrer Meinung nach zu? Sehr, eher, teils-teils, eher nicht oder gar nicht? - Die Medien und die Politik stecken unter einer Decke."
"f6_2"	"1"	"trifft sehr zu"
"f6_2"	"2"	"trifft eher zu"
"f6_2"	"3"	"teils - teils"
"f6_2"	"4"	"trifft eher nicht zu"
"f6_2"	"5"	"trifft gar nicht zu"
"f6_2"	"6"	"[weiß nicht / keine Angabe]"
