variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"id"
"Sachgebiet_SQ001"	"Variable Label"	"Geisteswissenschaften"
"Sachgebiet_SQ001"	"0"	"Nicht Gewählt"
"Sachgebiet_SQ001"	"1"	"Ja"
"Sachgebiet_SQ002"	"Variable Label"	"Humanmedizin, Gesundheitswissenschaften"
"Sachgebiet_SQ002"	"0"	"Nicht Gewählt"
"Sachgebiet_SQ002"	"1"	"Ja"
"Sachgebiet_SQ003"	"Variable Label"	"Naturwissenschaften"
"Sachgebiet_SQ003"	"0"	"Nicht Gewählt"
"Sachgebiet_SQ003"	"1"	"Ja"
"Sachgebiet_SQ004"	"Variable Label"	"Sozialwissenschaften"
"Sachgebiet_SQ004"	"0"	"Nicht Gewählt"
"Sachgebiet_SQ004"	"1"	"Ja"
"Sachgebiet_SQ005"	"Variable Label"	"Technische Wissenschaften."
"Sachgebiet_SQ005"	"0"	"Nicht Gewählt"
"Sachgebiet_SQ005"	"1"	"Ja"
"Anstellung"	"Variable Label"	"Bitte ordnen Sie sich einer Kategorie zu:"
"Anstellung"	"1"	"Globalbudget finanzierte Mitarbeitende"
"Anstellung"	"2"	"Drittmittel finanzierte Mitarbeitende"
"Anstellung"	"3"	"Nicht an der Universität angestellte Doktoratsstudierende"
"FD1"	"Variable Label"	"Mit welchen Typen von Forschungsdaten arbeiten Sie?"
"FD2_SQ001"	"Variable Label"	"Textdokumente (DOC, ODF, PDF, TXT, etc.)"
"FD2_SQ001"	"0"	"Nicht Gewählt"
"FD2_SQ001"	"1"	"Ja"
"FD2_SQ002"	"Variable Label"	"Strukturierter Text (HTML, JSON, TEX, XML etc.)"
"FD2_SQ002"	"0"	"Nicht Gewählt"
"FD2_SQ002"	"1"	"Ja"
"FD2_SQ003"	"Variable Label"	"Spreadsheets (XLS, ODS, CSV, SAS, Stata, SPSS etc.)"
"FD2_SQ003"	"0"	"Nicht Gewählt"
"FD2_SQ003"	"1"	"Ja"
"FD2_SQ004"	"Variable Label"	"Datenbanken (MS Access, MySql, Oracle etc.)"
"FD2_SQ004"	"0"	"Nicht Gewählt"
"FD2_SQ004"	"1"	"Ja"
"FD2_SQ005"	"Variable Label"	"Grafiken/Bilder (JPEG, SVG, PNG, GIF, TIFF etc.)"
"FD2_SQ005"	"0"	"Nicht Gewählt"
"FD2_SQ005"	"1"	"Ja"
"FD2_SQ006"	"Variable Label"	"Audio (MP3, WAV, AIFF, OGG etc.)"
"FD2_SQ006"	"0"	"Nicht Gewählt"
"FD2_SQ006"	"1"	"Ja"
"FD2_SQ007"	"Variable Label"	"Video/Film (MPEG, AVI, WMV, MP4 etc.)"
"FD2_SQ007"	"0"	"Nicht Gewählt"
"FD2_SQ007"	"1"	"Ja"
"FD2_SQ008"	"Variable Label"	"Software-Anwendungen Quellcode (CSS, JavaScript, Java etc.)"
"FD2_SQ008"	"0"	"Nicht Gewählt"
"FD2_SQ008"	"1"	"Ja"
"FD2_SQ009"	"Variable Label"	"Konfigurationsdaten (INI, CONF etc.)"
"FD2_SQ009"	"0"	"Nicht Gewählt"
"FD2_SQ009"	"1"	"Ja"
"FD2_SQ010"	"Variable Label"	"Software-Anwendungen"
"FD2_SQ010"	"0"	"Nicht Gewählt"
"FD2_SQ010"	"1"	"Ja"
"FD2_SQ011"	"Variable Label"	"Physische Objekte (z. B. Proben jeglicher Art)"
"FD2_SQ011"	"0"	"Nicht Gewählt"
"FD2_SQ011"	"1"	"Ja"
"FD2_other"	"Variable Label"	"Sonstiges"
"FD3_SQ001"	"Variable Label"	"Wie viel % der [...] Literatur nutzen Sie in digitaler Form (z. B. als PDF)?"
"FD4_SQ001"	"Variable Label"	"proprietäre Formate (.doc /.docx, .xls/.xlsx bzw. MS Word, Excel, SPSS etc.)"
"FD4_SQ001"	"1"	"Sehr oft"
"FD4_SQ001"	"2"	"Oft"
"FD4_SQ001"	"3"	"Selten"
"FD4_SQ001"	"4"	"Nie"
"FD4_SQ002"	"Variable Label"	"Open Source Formate (.rtf, .txt, .csv, .tif, .odt bzw. LibreOffice etc.)"
"FD4_SQ002"	"1"	"Sehr oft"
"FD4_SQ002"	"2"	"Oft"
"FD4_SQ002"	"3"	"Selten"
"FD4_SQ002"	"4"	"Nie"
"FD5_SQ001"	"Variable Label"	"Wie oft erheben Sie sensible bzw. vertrauliche Forschungsdaten? "
"FD5_SQ001"	"1"	"Sehr oft"
"FD5_SQ001"	"2"	"Oft"
"FD5_SQ001"	"3"	"Selten"
"FD5_SQ001"	"4"	"Nie"
"FD6"	"Variable Label"	"geschätzte Gesamtgröße der Forschungsdaten [...]"
"FD6"	"1"	"Klein (< 50 GB)"
"FD6"	"2"	"Mittel (50-100 GB)"
"FD6"	"3"	"Groß (101 GB - 1 TB)"
"FD6"	"4"	"Sehr groß (1 TB - 1 PB)"
"FD6"	"5"	"Riesig (> 1 PB)"
"FD6"	"6"	"Ich kann es nicht einschätzen."
"FD6_comment"	"Variable Label"	"geschätzte Gesamtgröße der Forschungsdaten pro Jahr [...]"
"FD17"	"Variable Label"	"Mussten Sie bereits einmal einen Datenmanagementplan erstellen?"
"FD17"	"1"	"Ja, im Rahmen eines Forschungsprojekts."
"FD17"	"2"	"Nein"
"FD17a_SQ001"	"Variable Label"	"FWF"
"FD17a_SQ001"	"0"	"Nicht Gewählt"
"FD17a_SQ001"	"1"	"Ja"
"FD17a_SQ002"	"Variable Label"	"FFG"
"FD17a_SQ002"	"0"	"Nicht Gewählt"
"FD17a_SQ002"	"1"	"Ja"
"FD17a_SQ003"	"Variable Label"	"Horizon Europe"
"FD17a_SQ003"	"0"	"Nicht Gewählt"
"FD17a_SQ003"	"1"	"Ja"
"FD17a_SQ004"	"Variable Label"	"Erasmus+"
"FD17a_SQ004"	"0"	"Nicht Gewählt"
"FD17a_SQ004"	"1"	"Ja"
"FD17a_other"	"Variable Label"	"Sonstiges?"
"FD18"	"Variable Label"	"Sind Sie beim Ausfüllen des Datenmanagementplans auf Schwierigkeiten gestoßen?"
"FD7_SQ001"	"Variable Label"	"Speichern auf [...] Festplatte meines Arbeitsplatzrechners"
"FD7_SQ001"	"0"	"Nicht Gewählt"
"FD7_SQ001"	"1"	"Ja"
"FD7_SQ002"	"Variable Label"	"Speichern auf [...] Festplatte meines privaten Computers"
"FD7_SQ002"	"0"	"Nicht Gewählt"
"FD7_SQ002"	"1"	"Ja"
"FD7_SQ003"	"Variable Label"	"Speichern auf [...] institutionellen Server"
"FD7_SQ003"	"0"	"Nicht Gewählt"
"FD7_SQ003"	"1"	"Ja"
"FD7_SQ004"	"Variable Label"	"Speichern auf [...] Forschungsdatenrepositorium"
"FD7_SQ004"	"0"	"Nicht Gewählt"
"FD7_SQ004"	"1"	"Ja"
"FD7_SQ005"	"Variable Label"	"Speichern auf ]...] auf Cloud-Servern der Universität"
"FD7_SQ005"	"0"	"Nicht Gewählt"
"FD7_SQ005"	"1"	"Ja"
"FD7_SQ006"	"Variable Label"	"Speichern auf [...] Cloud-Diensten von Dritten (z. B. Google)"
"FD7_SQ006"	"0"	"Nicht Gewählt"
"FD7_SQ006"	"1"	"Ja"
"FD7_SQ007"	"Variable Label"	"Speichern auf [...] USB-Stick?"
"FD7_SQ007"	"0"	"Nicht Gewählt"
"FD7_SQ007"	"1"	"Ja"
"FD7_SQ008"	"Variable Label"	"Speichern auf [...] CDs / DVDs"
"FD7_SQ008"	"0"	"Nicht Gewählt"
"FD7_SQ008"	"1"	"Ja"
"FD7_SQ009"	"Variable Label"	"Speichern [...] direkt auf Messgerät oder Instrument"
"FD7_SQ009"	"0"	"Nicht Gewählt"
"FD7_SQ009"	"1"	"Ja"
"FD7_other"	"Variable Label"	"[Sonstiges]"
"FD8_SQ001"	"Variable Label"	"Schützen Sie Ihre Forschungsdaten mit einem Passwort? "
"FD8_SQ001"	"1"	"Sehr oft"
"FD8_SQ001"	"2"	"Oft"
"FD8_SQ001"	"3"	"Selten"
"FD8_SQ001"	"4"	"Nie"
"FD9_SQ001"	"Variable Label"	"Kommen Datenschutzbestimmungen zum Einsatz (z. B. Anonymisierung)?"
"FD9_SQ001"	"1"	"Sehr oft"
"FD9_SQ001"	"2"	"Oft"
"FD9_SQ001"	"3"	"Selten"
