variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"Gesamt"
"gesamt"	"1"	"Gesamt"
"gewbild"	"Variable Label"	"<keine>"
"gewsex"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Sollte Österreich Mitglied der EU bleiben oder wieder austreten?"
"v1"	"1"	"bei der EU bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Soll das österreichische Parlament ein Veto gegen den EU-Beitritt Tschechiens einlegen?"
"v10"	"1"	"ja"
"v10"	"2"	"nein"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Wird Volksbegehren über die EU-Osterweiterung ein entscheidendes Wahlkampfthema werden?"
"v11"	"1"	"ja"
"v11"	"2"	"nein"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Kann ein Volksbegehren zur EU-Osterweiterung etwas bewirken?"
"v12"	"1"	"Ja, es kann etwas bewirken"
"v12"	"2"	"Nein, es kann nichts bewirken"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Würde sich Österreich durch ein Volksbegehren zur EU-Osterweiterung in Europa ins Abseits begeben?"
"v13"	"1"	"ja"
"v13"	"2"	"nein"
"v13"	"3"	"W.N./K.A."
"v14"	"Variable Label"	"Wissen die Österreicher genug, über die EU-Erweiterungsproblematik, um verantwortungsbewusst an einem Volksbegehren darüber teilzunehmen?"
"v14"	"1"	"Ja, sie wissen genug"
"v14"	"2"	"Nein, sie wissen nicht genug"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Geschlecht"
"v15"	"1"	"männlich"
"v15"	"2"	"weiblich"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"16-24 Jahre"
"v16"	"2"	"25-39 Jahre"
"v16"	"3"	"40-59 Jahre"
"v16"	"4"	"ab 60 Jahre"
"v17"	"Variable Label"	"Bildung"
"v17"	"1"	"Matura, Universität"
"v17"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v17"	"3"	"Pflichtschule ohne weitere Ausbildung"
"v18"	"Variable Label"	"Tätigkeit"
"v18"	"1"	"in Ausbildung"
