variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"männlich"
"v10"	"2"	"weiblich"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"bis 25 Jahre"
"v11"	"2"	"26-35 Jahre"
"v11"	"3"	"36-50 Jahre"
"v11"	"4"	"51-65 Jahre"
"v11"	"5"	"ab 66 Jahre"
"v12"	"Variable Label"	"Schulbildung"
"v12"	"1"	"Hochschule"
"v12"	"2"	"Mittelschule"
"v12"	"3"	"Berufs- oder Handelsschule"
"v12"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v13"	"Variable Label"	"Tätigkeit"
"v13"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v13"	"2"	"Pension"
"v13"	"3"	"Nur im Haushalt tätig"
"v13"	"4"	"Arbeitslos"
"v13"	"5"	"Selbständig"
"v13"	"6"	"Landwirt"
"v13"	"7"	"Hilfsarbeiter"
"v13"	"8"	"Facharbeiter"
"v13"	"9"	"Angestellter"
"v13"	"10"	"Beamter"
"v13"	"11"	"Anderes"
"v14"	"Variable Label"	"Aktuelle Parteipräferenz"
"v14"	"1"	"SPÖ"
"v14"	"2"	"ÖVP"
"v14"	"3"	"Grüne"
"v14"	"4"	"BZÖ"
"v14"	"5"	"FPÖ"
"v14"	"6"	"KPÖ"
"v14"	"7"	"Andere"
"v14"	"8"	"Keine"
"v14"	"9"	"K.A."
"v15a"	"Variable Label"	"Keine Kinder"
"v15a"	"Variable Label"	"nicht genannt"
"v15a"	"1"	"genannt"
"v15b"	"Variable Label"	"Kinder im Vorschulalter"
"v15b"	"Variable Label"	"nicht genannt"
"v15b"	"1"	"genannt"
"v15c"	"Variable Label"	"Kinder im schulpflichtigen Alter"
"v15c"	"Variable Label"	"nicht genannt"
"v15c"	"1"	"genannt"
"v15d"	"Variable Label"	"Kinder zwischen 15-18 Jahre"
"v15d"	"Variable Label"	"nicht genannt"
"v15d"	"1"	"genannt"
"v15e"	"Variable Label"	"Kinder sind bereits erwachsen"
"v15e"	"Variable Label"	"nicht genannt"
"v15e"	"1"	"genannt"
"v16"	"Variable Label"	"Haben/Hatten Sie das Gefühl, dass Ihre Kinder im Schulsystem allgemein gut betreut sind/waren?"
"v16"	"1"	"Ja"
"v16"	"2"	"Nein"
"v16"	"3"	"W.N./K.A."
"v17"	"Variable Label"	"Wohnbezirk"
"v1a"	"Variable Label"	"Deutsch (Rechtschreiben, Lesen, Grammatik)"
"v1a"	"1"	"sehr wichtig"
"v1a"	"2"	"wichtig"
"v1a"	"3"	"eher unwichtig"
"v1a"	"4"	"überflüssig"
"v1a"	"5"	"W.N./K.A."
"v1b"	"Variable Label"	"Mathematik (Rechnen)"
"v1b"	"1"	"sehr wichtig"
"v1b"	"2"	"wichtig"
"v1b"	"3"	"eher unwichtig"
"v1b"	"4"	"überflüssig"
"v1b"	"5"	"W.N./K.A."
"v1c"	"Variable Label"	"Religion"
"v1c"	"1"	"sehr wichtig"
"v1c"	"2"	"wichtig"
"v1c"	"3"	"eher unwichtig"
"v1c"	"4"	"überflüssig"
"v1c"	"5"	"W.N./K.A."
