variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Kenntnis vom Slogan \"Wir verbinden Mensch und Arbeit\""
"v1"	"1"	"Ja"
"v1"	"2"	"Nein"
"v1"	"3"	"W.N./K.A."
"v12a"	"Variable Label"	"Eigenschaftspaar 1"
"v12a"	"1"	"kraftvoll"
"v12a"	"2"	"kraftlos"
"v12a"	"3"	"weder noch"
"v12b"	"Variable Label"	"Eigenschaftspaar 2"
"v12b"	"1"	"modern"
"v12b"	"2"	"altmodisch"
"v12b"	"3"	"weder noch"
"v12c"	"Variable Label"	"Eigenschaftspaar 3"
"v12c"	"1"	"sauber"
"v12c"	"2"	"korrupt"
"v12c"	"3"	"weder noch"
"v12d"	"Variable Label"	"Eigenschaftspaar 4"
"v12d"	"1"	"erfolgreich"
"v12d"	"2"	"erfolglos"
"v12d"	"3"	"weder noch"
"v12e"	"Variable Label"	"Eigenschaftspaar 5"
"v12e"	"1"	"sparsam"
"v12e"	"2"	"verschwenderisch"
"v12e"	"3"	"weder noch"
"v12f"	"Variable Label"	"Eigenschaftspaar 6"
"v12f"	"1"	"zielbewusst"
"v12f"	"2"	"verworren"
"v12f"	"3"	"weder noch"
"v12g"	"Variable Label"	"Eigenschaftspaar 7"
"v12g"	"1"	"energisch"
"v12g"	"2"	"lax"
"v12g"	"3"	"weder noch"
"v12h"	"Variable Label"	"Eigenschaftspaar 8"
"v12h"	"1"	"einig"
"v12h"	"2"	"zerstritten"
"v12h"	"3"	"weder noch"
"v12i"	"Variable Label"	"Eigenschaftspaar 9"
"v12i"	"1"	"zukunftsorientiert"
"v12i"	"2"	"vergangenheitsorientiert"
"v12i"	"3"	"weder noch"
"v12j"	"Variable Label"	"Eigenschaftspaar 10"
"v12j"	"1"	"ideenreich"
"v12j"	"2"	"einfallslos"
"v12j"	"3"	"weder noch"
"v13a"	"Variable Label"	"W.N./K.A."
"v13a"	"Variable Label"	"nicht genannt"
"v13a"	"1"	"genannt"
"v13b"	"Variable Label"	"Andere"
"v13b"	"Variable Label"	"nicht genannt"
"v13b"	"1"	"genannt"
"v13c"	"Variable Label"	"Alle"
"v13c"	"Variable Label"	"nicht genannt"
"v13c"	"1"	"genannt"
"v13d"	"Variable Label"	"Österreicher / Spender"
"v13d"	"Variable Label"	"nicht genannt"
"v13d"	"1"	"genannt"
"v13e"	"Variable Label"	"(Freiwillige) Feuerwehr"
"v13e"	"Variable Label"	"nicht genannt"
"v13e"	"1"	"genannt"
"v13f"	"Variable Label"	"Bundesheer"
"v13f"	"Variable Label"	"nicht genannt"
"v13f"	"1"	"genannt"
"v13g"	"Variable Label"	"Rotes Kreuz / Arbeiter-Samariter-Bund"
"v13g"	"Variable Label"	"nicht genannt"
"v13g"	"1"	"genannt"
"v13h"	"Variable Label"	"Caritas / Kirche"
"v13h"	"Variable Label"	"nicht genannt"
"v13h"	"1"	"genannt"
"v13i"	"Variable Label"	"Gemeinde / Landeshauptleute"
"v13i"	"Variable Label"	"nicht genannt"
"v13i"	"1"	"genannt"
"v13j"	"Variable Label"	"ORF-Spendenaktion"
"v13j"	"Variable Label"	"nicht genannt"
"v13j"	"1"	"genannt"
"v13k"	"Variable Label"	"<keine>"
"v13k"	"Variable Label"	"nicht genannt"
"v13k"	"1"	"genannt"
"v13l"	"Variable Label"	"<keine>"
"v13l"	"Variable Label"	"nicht genannt"
"v13l"	"1"	"genannt"
"v14"	"Variable Label"	"Ich halte es für...."
"v14"	"1"	"erforderlich"
"v14"	"2"	"überflüssig"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Wird Dr. Haider tatsächlich einmal aus der Politik ausscheiden?"
"v15"	"1"	"Ich glaube es"
"v15"	"2"	"Ich glaube es nicht"
"v15"	"3"	"W.N./K.A."
"v16"	"Variable Label"	"Einstellung zu einem Ausscheiden Dr. Haiders aus der Politik"
"v16"	"1"	"Ich würde es begrüßen"
"v16"	"2"	"Ich würde es bedauern"
"v16"	"3"	"W.N./K.A."
"v17"	"Variable Label"	"Geschlecht"
"v17"	"1"	"männlich"
"v17"	"2"	"weiblich"
"v18"	"Variable Label"	"Alter"
"v18"	"1"	"bis 25 Jahre"
"v18"	"2"	"26-35 Jahre"
"v18"	"3"	"36-50 Jahre"
"v18"	"4"	"51-65 Jahre"
"v18"	"5"	"ab 66 Jahre"
"v19"	"Variable Label"	"Schulbildung"
"v19"	"1"	"Hochschule"
"v19"	"2"	"Mittelschule"
"v19"	"3"	"Berufs- oder Handelsschule"
"v19"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v1a1"	"Variable Label"	"W.N./K.A."
"v1a1"	"Variable Label"	"nicht genannt"
"v1a1"	"1"	"genannt"
"v1a10"	"Variable Label"	"BM Dr. Ferrero-Waldner"
"v1a10"	"Variable Label"	"nicht genannt"
"v1a10"	"1"	"genannt"
"v1a11"	"Variable Label"	"NR-Präs. Dr. Fischer"
"v1a11"	"Variable Label"	"nicht genannt"
"v1a11"	"1"	"genannt"
"v1a12"	"Variable Label"	"Mag. Grasser"
"v1a12"	"Variable Label"	"nicht genannt"
"v1a12"	"1"	"genannt"
"v1a2"	"Variable Label"	"Niemand"
"v1a2"	"Variable Label"	"nicht genannt"
"v1a2"	"1"	"genannt"
"v1a3"	"Variable Label"	"Andere"
"v1a3"	"Variable Label"	"nicht genannt"
"v1a3"	"1"	"genannt"
"v1a4"	"Variable Label"	"Dr. Androsch"
"v1a4"	"Variable Label"	"nicht genannt"
"v1a4"	"1"	"genannt"
"v1a5"	"Variable Label"	"BM Dr. Bartenstein"
"v1a5"	"Variable Label"	"nicht genannt"
"v1a5"	"1"	"genannt"
"v1a6"	"Variable Label"	"Mag. Bures"
"v1a6"	"Variable Label"	"nicht genannt"
"v1a6"	"1"	"genannt"
"v1a7"	"Variable Label"	"Dr. Cap"
"v1a7"	"Variable Label"	"nicht genannt"
"v1a7"	"1"	"genannt"
"v1a8"	"Variable Label"	"Ao. z. NR Edlinger"
"v1a8"	"Variable Label"	"nicht genannt"
"v1a8"	"1"	"genannt"
"v1a9"	"Variable Label"	"Dr. Einem"
"v1a9"	"Variable Label"	"nicht genannt"
"v1a9"	"1"	"genannt"
"v1b1"	"Variable Label"	"Dr. Gusenbauer"
"v1b1"	"Variable Label"	"nicht genannt"
"v1b1"	"1"	"genannt"
"v1b10"	"Variable Label"	"BM Molterer"
"v1b10"	"Variable Label"	"nicht genannt"
"v1b10"	"1"	"genannt"
"v1b11"	"Variable Label"	"Dr. Petrovic"
"v1b11"	"Variable Label"	"nicht genannt"
"v1b11"	"1"	"genannt"
"v1b12"	"Variable Label"	"Dr. Pilz"
"v1b12"	"Variable Label"	"nicht genannt"
"v1b12"	"1"	"genannt"
"v1b2"	"Variable Label"	"Dr. Haider"
"v1b2"	"Variable Label"	"nicht genannt"
"v1b2"	"1"	"genannt"
"v1b3"	"Variable Label"	"BM Haupt"
"v1b3"	"Variable Label"	"nicht genannt"
"v1b3"	"1"	"genannt"
"v1b4"	"Variable Label"	"Dr. Häupl"
"v1b4"	"Variable Label"	"nicht genannt"
"v1b4"	"1"	"genannt"
"v1b5"	"Variable Label"	"Dr. Khol"
"v1b5"	"Variable Label"	"nicht genannt"
"v1b5"	"1"	"genannt"
"v1b6"	"Variable Label"	"Dr. Klasnic"
"v1b6"	"Variable Label"	"nicht genannt"
"v1b6"	"1"	"genannt"
"v1b7"	"Variable Label"	"BP Dr. Klestil"
"v1b7"	"Variable Label"	"nicht genannt"
"v1b7"	"1"	"genannt"
"v1b8"	"Variable Label"	"Dr. Kuntzl"
