variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"RESPID"	"Variable Label"	"Interviewnumber"
"RESPID2"	"Variable Label"	"Interviewnumber Wave 2"
"RESPID3"	"Variable Label"	"Interviewnumber Wave 3"
"version"	"Variable Label"	"AUSSDA archive version"
"W1_CTRL"	"Variable Label"	"Quality control question: Please select answer totally agree in the list below"
"W1_CTRL"	"1"	"Totally disagree"
"W1_CTRL"	"2"	"Tend to disagree"
"W1_CTRL"	"3"	"Tend to agree"
"W1_CTRL"	"4"	"Totally agree"
"W1_CTRL"	"99"	"dk - na"
"W1_DATE"	"Variable Label"	"Date of interview"
"W1_DEV"	"Variable Label"	"DEV. Device used"
"W1_DEV"	"1"	"Smartphone"
"W1_DEV"	"2"	"Desktop+Tablet"
"W1_DK"	"Variable Label"	"Percentage of dk"
"W1_EX1"	"Variable Label"	"Exclusion 1"
"W1_EX2"	"Variable Label"	"Exclusion 2"
"W1_NQ"	"Variable Label"	"Number of questions answered"
"W1_PANELID"	"Variable Label"	"PanelID"
"W1_Q1"	"Variable Label"	"Gender"
"W1_Q1"	"1"	"A man"
"W1_Q1"	"2"	"A woman"
"W1_Q10_1"	"Variable Label"	"Q10.1. (POPULISM (ANTI-ELITISM)) MPs in Parliament lose touch with ordinary peop"
"W1_Q10_1"	"1"	"Strongly disagree"
"W1_Q10_1"	"2"	"Somewhat disagree"
"W1_Q10_1"	"3"	"Neither agree nor disagree"
"W1_Q10_1"	"4"	"Somewhat agree"
"W1_Q10_1"	"5"	"Strongly agree"
"W1_Q10_1"	"99"	"dk - na"
"W1_Q10_2"	"Variable Label"	"Q10.2. (POPULISM (ANTI-ELITISM)) The differences between ordinary people and the"
"W1_Q10_2"	"1"	"Strongly disagree"
"W1_Q10_2"	"2"	"Somewhat disagree"
"W1_Q10_2"	"3"	"Neither agree nor disagree"
"W1_Q10_2"	"4"	"Somewhat agree"
"W1_Q10_2"	"5"	"Strongly agree"
"W1_Q10_2"	"99"	"dk - na"
"W1_Q10_3"	"Variable Label"	"Q10.3. (POPULISM (ANTI-ELITISM)) Politicians talk too much and take too little a"
"W1_Q10_3"	"1"	"Strongly disagree"
"W1_Q10_3"	"2"	"Somewhat disagree"
"W1_Q10_3"	"3"	"Neither agree nor disagree"
"W1_Q10_3"	"4"	"Somewhat agree"
"W1_Q10_3"	"5"	"Strongly agree"
"W1_Q10_3"	"99"	"dk - na"
"W1_Q11_1"	"Variable Label"	"Q11.1. (NATIVISM) To have been born in [COUNTRY]."
"W1_Q11_1"	"1"	"Not at all important"
"W1_Q11_1"	"2"	"Fairly unimportant"
"W1_Q11_1"	"3"	"Neither important nor unimportant"
"W1_Q11_1"	"4"	"Fairly important"
"W1_Q11_1"	"5"	"Very important"
"W1_Q11_1"	"99"	"dk - na"
"W1_Q11_2"	"Variable Label"	"Q11.2. (NATIVISM) To be able to speak [COUNTRY NATIONAL LANGUAGES]."
"W1_Q11_2"	"1"	"Not at all important"
"W1_Q11_2"	"2"	"Fairly unimportant"
"W1_Q11_2"	"3"	"Neither important nor unimportant"
"W1_Q11_2"	"4"	"Fairly important"
"W1_Q11_2"	"5"	"Very important"
"W1_Q11_2"	"99"	"dk - na"
"W1_Q11_3"	"Variable Label"	"Q11.3. (NATIVISM) To follow [COUNTRY'S] customs and traditions."
"W1_Q11_3"	"1"	"Not at all important"
"W1_Q11_3"	"2"	"Fairly unimportant"
"W1_Q11_3"	"3"	"Neither important nor unimportant"
"W1_Q11_3"	"4"	"Fairly important"
"W1_Q11_3"	"5"	"Very important"
"W1_Q11_3"	"99"	"dk - na"
"W1_Q12"	"Variable Label"	"EU Good Thing (1-5)"
"W1_Q12"	"1"	"It is a very bad thing"
"W1_Q12"	"2"	"It is a fairly bad thing"
"W1_Q12"	"3"	"It is a neither good nor bad thing"
"W1_Q12"	"4"	"It is a fairly good thing"
"W1_Q12"	"5"	"It is a very good thing"
