variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"caseID_original"	"Variable Label"	"Original ID"
"caseID_Zeitreihe"	"Variable Label"	"New unique ID"
"year"	"Variable Label"	"Erhebungsjahr"
"v1_2016"	"Variable Label"	"a: Zufriedenheit: Familienleben"
"v1_2018"	"Variable Label"	"b: Zufriedenheit: Familienleben"
"v1_2018"	"1"	"Völlig zufrieden"
"v1_2018"	"2"	"Sehr zufrieden"
"v1_2018"	"3"	"Eher zufrieden"
"v1_2018"	"4"	"Weder zufrieden noch unzufrieden"
"v1_2018"	"5"	"Eher unzufrieden"
"v1_2018"	"6"	"Sehr unzufrieden"
"v1_2018"	"7"	"Völlig unzufrieden"
"v1_2018"	"-9"	"Keine Angabe"
"v2"	"Variable Label"	"ade: Zufriedenheit: Partnerschaft"
"v2"	"1"	"Sehr zufrieden"
"v2"	"2"	"Eher zufrieden"
"v2"	"3"	"Eher weniger zufrieden"
"v2"	"4"	"Nicht zufrieden"
"v2"	"-9"	"Keine Angabe"
"v3a"	"Variable Label"	"ad: Lebensbereiche: Bedeutung von Partner_in"
"v3a"	"1"	"Unwichtig"
"v3a"	"7"	"Sehr wichtig"
"v3a"	"-9"	"Keine Angabe"
"v3b"	"Variable Label"	"acd: Lebensbereiche: Bedeutung von Beruf & Arbeit"
"v3b"	"1"	"Unwichtig"
"v3b"	"7"	"Sehr wichtig"
"v3b"	"-9"	"Keine Angabe"
"v3c"	"Variable Label"	"ad: Lebensbereiche: Bedeutung von Freizeit"
"v3c"	"1"	"Unwichtig"
"v3c"	"7"	"Sehr wichtig"
"v3c"	"-9"	"Keine Angabe"
"v3d"	"Variable Label"	"a: Lebensbereiche: Bedeutung von Verwandtschaft"
"v3d"	"1"	"Unwichtig"
"v3d"	"7"	"Sehr wichtig"
"v3d"	"-9"	"Keine Angabe"
"v3e"	"Variable Label"	"acd: Lebensbereiche: Bedeutung von Religion und Kirche"
"v3e"	"1"	"Unwichtig"
"v3e"	"7"	"Sehr wichtig"
"v3e"	"-9"	"Keine Angabe"
"v3f"	"Variable Label"	"acd: Lebensbereiche: Bedeutung von Politik und öffentliche Leben"
"v3f"	"1"	"Unwichtig"
"v3f"	"7"	"Sehr wichtig"
"v3f"	"-9"	"Keine Angabe"
"v3g"	"Variable Label"	"acd: Lebensbereiche: eigene Familie und Kinder"
"v3g"	"1"	"Unwichtig"
"v3g"	"7"	"Sehr wichtig"
"v3g"	"-9"	"Keine Angabe"
"v4"	"Variable Label"	"bcde: Subjektiver Gesellschaftsstatus: Eigener (top-bot)"
"v4"	"1"	"Unten"
"v4"	"10"	"Oben"
"v4"	"-9"	"Keine Angabe"
"v5"	"Variable Label"	"bce: Subjektiver  Gesellschaftsstatus: Familie in der man aufgewachsen ist"
"v5"	"1"	"Unten"
"v5"	"10"	"Oben"
"v5"	"-9"	"Keine Angabe"
"v6"	"Variable Label"	"bcde: Auskommen mit Haushaltseinkommen"
"v6"	"1"	"Sehr schwer"
"v6"	"2"	"Eher schwer"
"v6"	"3"	"Weder noch"
"v6"	"4"	"Eher leicht"
"v6"	"5"	"Sehr leicht"
"v6"	"-9"	"Keine Angabe"
"v7"	"Variable Label"	"bcde: In nächsten Jahren: Persönliche Lebensumstände"
"v7"	"1"	"Deutlich verschlechtern"
"v7"	"2"	"Etwas verschlechtern"
"v7"	"3"	"Gleich bleiben"
"v7"	"4"	"Etwas verbessern"
"v7"	"5"	"Deutlich verbessern"
"v7"	"-9"	"Keine Angabe"
"v8"	"Variable Label"	"bcde: In nächsten Jahren: Lebensumstände in Ö."
"v8"	"1"	"Deutlich verschlechtern"
"v8"	"2"	"Etwas verschlechtern"
"v8"	"3"	"Gleich bleiben"
"v8"	"4"	"Etwas verbessern"
"v8"	"5"	"Deutlich verbessern"
"v8"	"-9"	"Keine Angabe"
"v9"	"Variable Label"	"bce: Werden Sie in unserer Gesellschaft.."
"v9"	"1"	"Eher/sehr benachteiligt wird"
"v9"	"2"	"Weder benachteiligt noch bevorzugt wird"
"v9"	"3"	"Eher/sehr bevorzugt wird"
"v9"	"-9"	"Keine Angabe"
"v9_2018"	"Variable Label"	"b: Werden Sie in unserer Gesellschaft.."
"v9_2018"	"1"	"Eher benachteiligt wird"
"v9_2018"	"2"	"Weder benachteiligt noch bevorzugt wird"
"v9_2018"	"3"	"Eher bevorzugt wird"
"v9_2018"	"-9"	"Keine Angabe"
"v9_2021"	"Variable Label"	"c: Werden Sie in unserer Gesellschaft.."
"v9_2021"	"1"	"Eher benachteiligt wird"
"v9_2021"	"2"	"Weder benachteiligt noch bevorzugt wird"
"v9_2021"	"3"	"Eher bevorzugt wird"
"v9_2021"	"-9"	"Keine Angabe"
"v9_2024"	"Variable Label"	"e: Werden Sie in unserer Gesellschaft.."
"v9_2024"	"1"	"Sehr benachteiligt wird"
"v9_2024"	"2"	"Eher benachteiligt wird"
"v9_2024"	"3"	"Weder benachteiligt noch bevorzugt wird"
"v9_2024"	"4"	"Eher bevorzugt wird"
"v9_2024"	"5"	"Sehr bevorzugt wird"
"v9_2024"	"-9"	"Keine Angabe"
"v10"	"Variable Label"	"bcde: Verglichen mit anderen in Ö.: Wieviel bekommen Sie?"
"v10"	"1"	"(weit) Mehr als den gerechten Anteil"
"v10"	"2"	"Den gerechten Anteil"
"v10"	"3"	"Weniger als den gerechten Anteil"
"v10"	"4"	"Weit weniger als den gerechten Anteil"
"v10"	"-9"	"Keine Angabe"
"v10_2018"	"Variable Label"	"b: Verglichen mit anderen in Ö.: Wieviel bekommen Sie?"
"v10_2018"	"1"	"Mehr als den gerechten Anteil"
"v10_2018"	"2"	"Den gerechten Anteil"
"v10_2018"	"3"	"Weniger als den gerechten Anteil"
"v10_2018"	"4"	"Weit weniger als den gerechten Anteil"
"v10_2018"	"-9"	"Keine Angabe"
"v10_2021"	"Variable Label"	"c: Verglichen mit anderen in Ö.: Wieviel bekommen Sie?"
"v10_2021"	"1"	"Mehr als den gerechten Anteil"
"v10_2021"	"2"	"Den gerechten Anteil"
"v10_2021"	"3"	"Weniger als den gerechten Anteil"
"v10_2021"	"4"	"Weit weniger als den gerechten Anteil"
"v10_2021"	"-9"	"Keine Angabe"
"v10_2023"	"Variable Label"	"d: Verglichen mit anderen in Ö.: Wieviel bekommen Sie?"
"v10_2023"	"1"	"Mehr als den gerechten Anteil"
"v10_2023"	"2"	"Den gerechten Anteil"
"v10_2023"	"3"	"Weniger als den gerechten Anteil"
"v10_2023"	"4"	"Weit weniger als den gerechten Anteil"
"v10_2023"	"-9"	"Keine Angabe"
"v10_2024"	"Variable Label"	"e: Verglichen mit anderen in Ö.: Wieviel bekommen Sie?"
"v10_2024"	"1"	"Weit mehr als den gerechten Anteil"
"v10_2024"	"2"	"Mehr als den gerechten Anteil"
"v10_2024"	"3"	"Den gerechten Anteil"
"v10_2024"	"4"	"Weniger als den gerechten Anteil"
"v10_2024"	"5"	"Weit weniger als den gerechten Anteil"
"v10_2024"	"-9"	"Keine Angabe"
"v11"	"Variable Label"	"abcde: Gesundheitszustand: Selbsteinschätzung"
"v11"	"1"	"Sehr gut/Ausgezeichnet"
"v11"	"2"	"Gut"
"v11"	"3"	"Mittelmäßig"
"v11"	"4"	"Schlecht/sehr schlecht"
"v11"	"-9"	"Keine Angabe"
"v12"	"Variable Label"	"bcde: Zufriedenheit: Leben im Allgemeinen"
"v12"	"1"	"Vollkommen zufrieden"
"v12"	"2"	"Sehr zufrieden"
"v12"	"3"	"Ziemlich zufrieden"
"v12"	"4"	"Weder zufrieden noch unzufrieden"
"v12"	"5"	"Ziemlich unzufrieden"
"v12"	"6"	"Sehr unzufrieden"
"v12"	"7"	"Vollkommen unzufrieden"
"v12"	"-9"	"Keine Angabe"
"v12_2016"	"Variable Label"	"a: Zufriedenheit: Leben im Allgemein"
"v12_2016"	"1"	"Sehr zufrieden"
"v12_2016"	"2"	"Ziemlich zufrieden"
"v12_2016"	"3"	"Eher zufrieden"
"v12_2016"	"4"	"Eher unzufrieden"
"v12_2016"	"5"	"Ziemlich unzufrieden"
"v12_2016"	"-9"	"Keine Angabe"
"v12_2018"	"Variable Label"	"b: Zufriedenheit: Leben im Allgemein"
"v12_2018"	"1"	"Vollkommen zufrieden"
