variable	value	Label
"dauer_minuten"	"Variable Label"	"Dauer der Befragung in Minuten"
"doi"	"Variable Label"	"digital object identifier"
"f2"	"Variable Label"	"Summativ: Wie gut erreichen und unterrichten (0=schlecht / 100=best)"
"gewicht"	"Variable Label"	"Gewichtung nach L-Grundgesamtheit (Schulform, Bundesland, Alter, Geschlecht)"
"k1"	"Variable Label"	"Anteil SuS Technik okay"
"k10a"	"Variable Label"	"Sorge, SuS schaffen Lernaufgaben nicht_alle"
"k10a"	"1"	"trifft sehr zu"
"k10a"	"2"	"trifft eher zu"
"k10a"	"3"	"trifft eher nicht zu"
"k10a"	"4"	"trifft nicht zu"
"k10b"	"Variable Label"	"Sorge, SuS schaffen Stoff nicht_alle"
"k10b"	"1"	"trifft sehr zu"
"k10b"	"2"	"trifft eher zu"
"k10b"	"3"	"trifft eher nicht zu"
"k10b"	"4"	"trifft nicht zu"
"k10c"	"Variable Label"	"Sorge, Covid verschlechtert Kompetenzniveau_alle"
"k10c"	"1"	"trifft sehr zu"
"k10c"	"2"	"trifft eher zu"
"k10c"	"3"	"trifft eher nicht zu"
"k10c"	"4"	"trifft nicht zu"
"k11a"	"Variable Label"	"Sorge, SuS schaffen Lernaufgaben nicht_benach"
"k11a"	"1"	"trifft sehr zu"
"k11a"	"2"	"trifft eher zu"
"k11a"	"3"	"trifft eher nicht zu"
"k11a"	"4"	"trifft nicht zu"
"k11b"	"Variable Label"	"Sorge, SuS schaffen Stoff nicht_benach"
"k11b"	"1"	"trifft sehr zu"
"k11b"	"2"	"trifft eher zu"
"k11b"	"3"	"trifft eher nicht zu"
"k11b"	"4"	"trifft nicht zu"
"k11c"	"Variable Label"	"Sorge, Covid verschlechtert Kompetenzniveau_benach"
"k11c"	"1"	"trifft sehr zu"
"k11c"	"2"	"trifft eher zu"
"k11c"	"3"	"trifft eher nicht zu"
"k11c"	"4"	"trifft nicht zu"
"k11d"	"Variable Label"	"Sorge Kluft Benachteiligte zu Leistungsstarken gewachsen"
"k11d"	"1"	"trifft sehr zu"
"k11d"	"2"	"trifft eher zu"
"k11d"	"3"	"trifft eher nicht zu"
"k11d"	"4"	"trifft nicht zu"
"k12a"	"Variable Label"	"Schwierigkeit_Tagesstruktur"
"k12a"	"0"	"nein"
"k12a"	"1"	"ja"
"k12b"	"Variable Label"	"Schwierigkeit_Technikprobleme"
"k12b"	"0"	"nein"
"k12b"	"1"	"ja"
"k12c"	"Variable Label"	"Schwierigkeit_ruhiger Arbeitsplatz"
"k12c"	"0"	"nein"
"k12c"	"1"	"ja"
"k12d"	"Variable Label"	"Schwierigkeit_Ablenkung"
"k12d"	"0"	"nein"
"k12d"	"1"	"ja"
"k12e"	"Variable Label"	"Schwierigkeit_fehlende Motivation"
"k12e"	"0"	"nein"
"k12e"	"1"	"ja"
"k12f"	"Variable Label"	"Schwierigkeit_fehlende Unterstützung"
"k12f"	"0"	"nein"
"k12f"	"1"	"ja"
"k12g"	"Variable Label"	"Schwierigkeit_sonst"
"k12g"	"0"	"nein"
"k12g"	"1"	"ja"
"k12h"	"Variable Label"	"Schwierigkeit_keine"
"k12h"	"0"	"nein"
"k12h"	"1"	"ja"
"k13"	"Variable Label"	"Anteil SuS, von denen positiv überrascht"
"k14a"	"Variable Label"	"Uebertroffen_Digitalkompetenz"
"k14a"	"0"	"nein"
"k14a"	"1"	"ja"
"k14b"	"Variable Label"	"Uebertroffen_Engagement"
"k14b"	"0"	"nein"
"k14b"	"1"	"ja"
"k14c"	"Variable Label"	"Uebertroffen_Auftraege gewissenhaft"
"k14c"	"0"	"nein"
"k14c"	"1"	"ja"
"k14d"	"Variable Label"	"Uebertroffen_Durchhalten"
"k14d"	"0"	"nein"
"k14d"	"1"	"ja"
"k14e"	"Variable Label"	"Uebertroffen_Aktive Beteiligung"
"k14e"	"0"	"nein"
"k14e"	"1"	"ja"
"k14f"	"Variable Label"	"Uebertroffen_sonst"
"k14f"	"0"	"nein"
"k14f"	"1"	"ja"
"k14g"	"Variable Label"	"Uebertroffen_nichts"
"k14g"	"0"	"nein"
"k14g"	"1"	"ja"
"k3"	"Variable Label"	"Anteil SuS Digitalkompetenzen okay"
"k4a"	"Variable Label"	"Digikompetenz_Medienumgang"
"k4a"	"1"	"sehr gut"
"k4a"	"2"	"eher gut"
"k4a"	"3"	"eher nicht gut"
"k4a"	"4"	"gar nicht gut"
"k4b"	"Variable Label"	"Digikompetenz_Gefahrenbewusstsein"
"k4b"	"1"	"sehr gut"
"k4b"	"2"	"eher gut"
"k4b"	"3"	"eher nicht gut"
"k4b"	"4"	"gar nicht gut"
"k4c"	"Variable Label"	"Digikompetenz_Suchmaschinen"
"k4c"	"1"	"sehr gut"
"k4c"	"2"	"eher gut"
"k4c"	"3"	"eher nicht gut"
"k4c"	"4"	"gar nicht gut"
"k4d"	"Variable Label"	"Digikompetenz_Lernplattformen"
"k4d"	"1"	"sehr gut"
"k4d"	"2"	"eher gut"
"k4d"	"3"	"eher nicht gut"
"k4d"	"4"	"gar nicht gut"
"k4e"	"Variable Label"	"Digikompetenz_scannen_mailen"
"k4e"	"1"	"sehr gut"
"k4e"	"2"	"eher gut"
"k4e"	"3"	"eher nicht gut"
"k4e"	"4"	"gar nicht gut"
"k4f"	"Variable Label"	"Digikompetenz_Audio_Video"
"k4f"	"1"	"sehr gut"
"k4f"	"2"	"eher gut"
"k4f"	"3"	"eher nicht gut"
"k4f"	"4"	"gar nicht gut"
"k5a"	"Variable Label"	"Anteil SuS ungestört arbeiten"
"k5b"	"Variable Label"	"Anteil SuS ausreichend privat unterstützt"
"k6a"	"Variable Label"	"SuS akzeptieren Home-Schooling_alle"
"k6a"	"1"	"trifft sehr zu"
"k6a"	"2"	"trifft eher zu"
"k6a"	"3"	"trifft eher nicht zu"
"k6a"	"4"	"trifft nicht zu"
"k6b"	"Variable Label"	"SuS arbeiten aktiv_alle"
"k6b"	"1"	"trifft sehr zu"
"k6b"	"2"	"trifft eher zu"
"k6b"	"3"	"trifft eher nicht zu"
"k6b"	"4"	"trifft nicht zu"
"k6d"	"Variable Label"	"SuS erledigen Aufträge vollständig und fristgerecht_alle"
"k6d"	"1"	"trifft sehr zu"
"k6d"	"2"	"trifft eher zu"
"k6d"	"3"	"trifft eher nicht zu"
"k6d"	"4"	"trifft nicht zu"
"k6e"	"Variable Label"	"SuS gelingt Fernunterricht_alle"
"k6e"	"1"	"trifft sehr zu"
"k6e"	"2"	"trifft eher zu"
"k6e"	"3"	"trifft eher nicht zu"
"k6e"	"4"	"trifft nicht zu"
"k6f"	"Variable Label"	"SuS gelingt Strukturierung_alle"
"k6f"	"1"	"trifft sehr zu"
"k6f"	"2"	"trifft eher zu"
"k6f"	"3"	"trifft eher nicht zu"
"k6f"	"4"	"trifft nicht zu"
"k6g"	"Variable Label"	"SuS gelingt Selbständigkeit_alle"
"k6g"	"1"	"trifft sehr zu"
"k6g"	"2"	"trifft eher zu"
"k6g"	"3"	"trifft eher nicht zu"
"k6g"	"4"	"trifft nicht zu"
"k6h"	"Variable Label"	"SuS profitieren von Selbstbestimmung_alle"
"k6h"	"1"	"trifft sehr zu"
"k6h"	"2"	"trifft eher zu"
"k6h"	"3"	"trifft eher nicht zu"
"k6h"	"4"	"trifft nicht zu"
"k6i"	"Variable Label"	"SuS sind mit Lernsituation überfordert_alle"
"k6i"	"1"	"trifft sehr zu"
"k6i"	"2"	"trifft eher zu"
"k6i"	"3"	"trifft eher nicht zu"
"k6i"	"4"	"trifft nicht zu"
"k6j"	"Variable Label"	"Eltern sind mit Lernsituation überfordert_alle"
"k6j"	"1"	"trifft sehr zu"
"k6j"	"2"	"trifft eher zu"
"k6j"	"3"	"trifft eher nicht zu"
"k6j"	"4"	"trifft nicht zu"
"k6k"	"Variable Label"	"SuS sind von Krise insgesamt stark belastet_alle"
"k6k"	"1"	"trifft sehr zu"
"k6k"	"2"	"trifft eher zu"
"k6k"	"3"	"trifft eher nicht zu"
"k6k"	"4"	"trifft nicht zu"
"k7a"	"Variable Label"	"SuS akzeptieren Home-Schooling_benach"
"k7a"	"1"	"trifft sehr zu"
"k7a"	"2"	"trifft eher zu"
"k7a"	"3"	"trifft eher nicht zu"
"k7a"	"4"	"trifft nicht zu"
"k7b"	"Variable Label"	"SuS arbeiten aktiv_benach"
"k7b"	"1"	"trifft sehr zu"
"k7b"	"2"	"trifft eher zu"
"k7b"	"3"	"trifft eher nicht zu"
"k7b"	"4"	"trifft nicht zu"
"k7d"	"Variable Label"	"SuS erledigen Aufträge vollständig und fristgerecht_benach"
"k7d"	"1"	"trifft sehr zu"
"k7d"	"2"	"trifft eher zu"
"k7d"	"3"	"trifft eher nicht zu"
"k7d"	"4"	"trifft nicht zu"
"k7e"	"Variable Label"	"SuS gelingt Fernunterricht_benach"
"k7e"	"1"	"trifft sehr zu"
"k7e"	"2"	"trifft eher zu"
"k7e"	"3"	"trifft eher nicht zu"
"k7e"	"4"	"trifft nicht zu"
"k7f"	"Variable Label"	"SuS gelingt Strukturierung_benach"
"k7f"	"1"	"trifft sehr zu"
"k7f"	"2"	"trifft eher zu"
"k7f"	"3"	"trifft eher nicht zu"
"k7f"	"4"	"trifft nicht zu"
"k7g"	"Variable Label"	"SuS gelingt Selbständigkeit_benach"
"k7g"	"1"	"trifft sehr zu"
"k7g"	"2"	"trifft eher zu"
"k7g"	"3"	"trifft eher nicht zu"
"k7g"	"4"	"trifft nicht zu"
"k7h"	"Variable Label"	"SuS profitieren von Selbstbestimmung_benach"
"k7h"	"1"	"trifft sehr zu"
"k7h"	"2"	"trifft eher zu"
"k7h"	"3"	"trifft eher nicht zu"
"k7h"	"4"	"trifft nicht zu"
"k7i"	"Variable Label"	"SuS sind mit Lernsituation überfordert_benach"
"k7i"	"1"	"trifft sehr zu"
"k7i"	"2"	"trifft eher zu"
"k7i"	"3"	"trifft eher nicht zu"
"k7i"	"4"	"trifft nicht zu"
"k7j"	"Variable Label"	"Eltern sind mit Lernsituation überfordert_benach"
"k7j"	"1"	"trifft sehr zu"
"k7j"	"2"	"trifft eher zu"
"k7j"	"3"	"trifft eher nicht zu"
"k7j"	"4"	"trifft nicht zu"
"k7k"	"Variable Label"	"SuS sind von Krise insgesamt stark belastet_benach"
"k7k"	"1"	"trifft sehr zu"
"k7k"	"2"	"trifft eher zu"
"k7k"	"3"	"trifft eher nicht zu"
"k7k"	"4"	"trifft nicht zu"
"k8a"	"Variable Label"	"SuS über Computer erreichen_alle"
"k8a"	"1"	"trifft sehr zu"
"k8a"	"2"	"trifft eher zu"
"k8a"	"3"	"trifft eher nicht zu"
"k8a"	"4"	"trifft nicht zu"
"k8b"	"Variable Label"	"SuS über Telefon erreichen_alle"
"k8b"	"1"	"trifft sehr zu"
"k8b"	"2"	"trifft eher zu"
"k8b"	"3"	"trifft eher nicht zu"
"k8b"	"4"	"trifft nicht zu"
"k8c"	"Variable Label"	"SuS nehmen bei Fragen Kontakt auf_alle"
"k8c"	"1"	"trifft sehr zu"
"k8c"	"2"	"trifft eher zu"
"k8c"	"3"	"trifft eher nicht zu"
"k8c"	"4"	"trifft nicht zu"
"k8d"	"Variable Label"	"L kann Eltern erreichen_alle"
"k8d"	"1"	"trifft sehr zu"
"k8d"	"2"	"trifft eher zu"
"k8d"	"3"	"trifft eher nicht zu"
"k8d"	"4"	"trifft nicht zu"
"k9a"	"Variable Label"	"SuS über Computer erreichen_benach"
"k9a"	"1"	"trifft sehr zu"
"k9a"	"2"	"trifft eher zu"
"k9a"	"3"	"trifft eher nicht zu"
"k9a"	"4"	"trifft nicht zu"
