variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gew1"	"Variable Label"	"Gewicht"
"gew1"	"1"	"1"
"gew1"	"2"	"1"
"gew1"	"3"	"1"
"gew1"	"4"	"1"
"gew1"	"5"	"1"
"gew1"	"6"	"1"
"gew1"	"7"	"1"
"gewbild"	"Variable Label"	"<keine>"
"gewsex"	"Variable Label"	"<keine>"
"gewtät"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Soll Österreich Mitglied der EU bleiben?"
"v1"	"1"	"bei EU bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10a"	"Variable Label"	"Der SPÖ"
"v10a"	"1"	"eher nützen"
"v10a"	"2"	"eher schaden"
"v10a"	"3"	"weder noch"
"v10a"	"4"	"W.N./K.A."
"v10b"	"Variable Label"	"Der ÖVP"
"v10b"	"1"	"eher nützen"
"v10b"	"2"	"eher schaden"
"v10b"	"3"	"weder noch"
"v10b"	"4"	"W.N./K.A."
"v10c"	"Variable Label"	"Der FPÖ"
"v10c"	"1"	"eher nützen"
"v10c"	"2"	"eher schaden"
"v10c"	"3"	"weder noch"
"v10c"	"4"	"W.N./K.A."
"v10d"	"Variable Label"	"Der GAL"
"v10d"	"1"	"eher nützen"
"v10d"	"2"	"eher schaden"
"v10d"	"3"	"weder noch"
"v10d"	"4"	"W.N./K.A."
"v11"	"Variable Label"	"Was sollte Regierung tun, wenn weniger als die Hälfte der Wahlberechtigten an Volksbefragung teilnimmt?"
"v11"	"1"	"Die Regierung sollte gar nichts tun"
"v11"	"2"	"eine neue Koalition verhandeln"
"v11"	"3"	"Neuwahlen ausschreiben"
"v11"	"4"	"W.N./K.A."
"v12a"	"Variable Label"	"ganz Österreich"
"v12a"	"Variable Label"	"nicht genannt"
"v12a"	"1"	"genannt"
"v12b"	"Variable Label"	"die Bundesregierung"
"v12b"	"Variable Label"	"nicht genannt"
"v12b"	"1"	"genannt"
"v12c"	"Variable Label"	"die Diplomaten"
"v12c"	"Variable Label"	"nicht genannt"
"v12c"	"1"	"genannt"
"v12d"	"Variable Label"	"W.N./K.A."
"v12d"	"Variable Label"	"nicht genannt"
"v12d"	"1"	"genannt"
"v13"	"Variable Label"	"Haben Sie vor, an Volksbefragung teilzunehmen?"
"v13"	"1"	"ja, ich werde sicher teilnehmen"
"v13"	"2"	"das kommt auf den genauen Inhalt an"
"v13"	"3"	"nein, ich werde sicher nicht teilnehmen"
"v13"	"4"	"W.N./K.A."
"v14"	"Variable Label"	"Geschlecht"
"v14"	"1"	"männlich"
"v14"	"2"	"weiblich"
"v15"	"Variable Label"	"Alter"
"v15"	"1"	"16-24 Jahre"
"v15"	"2"	"25-39 Jahre"
"v15"	"3"	"40-59 Jahre"
"v15"	"4"	"ab 60 Jahre"
"v16"	"Variable Label"	"Bildung"
"v16"	"1"	"Matura, Universität"
"v16"	"2"	"Pflichtschule mit weiterer Ausbildung (Lehre, Fachschule)"
"v16"	"3"	"Pflichtschule ohne weitere Ausbildung"
"v17"	"Variable Label"	"Tätigkeit"
"v17"	"1"	"in Ausbildung"
"v17"	"2"	"nicht berufstätig"
"v17"	"3"	"Pension"
"v17"	"4"	"selbständig (auch Landwirte)"
"v17"	"5"	"Arbeiter"
"v17"	"6"	"Angestellte"
