variable	value	Label
"ACcenter"	"Variable Label"	"Achievement - Centred value score"
"ACraw"	"Variable Label"	"Achievement – mean of raw rating"
"Agreeableness_Scale"	"Variable Label"	"Agreeableness Scale"
"Agreeableness_Scale"	"96"	"Differently measured"
"Agreeableness_Scale_SWE"	"Variable Label"	"Agreeableness Scale for Sweden"
"axes_openness"	"Variable Label"	"Axes Openness: Conservation vs. Openness for Change"
"axes_selftranscendence"	"Variable Label"	"Axes Self Dimension: Self Enhancement vs. Self Transcendence"
"BEcenter"	"Variable Label"	"Benevolence - Centred value score"
"BEraw"	"Variable Label"	"Benevolence – mean of raw rating"
"COcenter"	"Variable Label"	"Conformity - Centred value score"
"Conscientiousness_Scale"	"Variable Label"	"Conscientiousness Scale"
"Conscientiousness_Scale"	"96"	"Differently measured"
"Conscientiousness_Scale_SWE"	"Variable Label"	"Conscientiousness Scale for Sweden"
"conservation"	"Variable Label"	"Conservation - Mean of centered values"
"COraw"	"Variable Label"	"Conformity – mean of raw rating"
"country"	"Variable Label"	"Country"
"country"	"1"	"Austria"
"country"	"2"	"Brazil"
"country"	"3"	"Greece"
"country"	"4"	"Maldives"
"country"	"5"	"Germany"
"country"	"6"	"South Korea - Dataset 1"
"country"	"7"	"Georgia"
"country"	"8"	"Japan"
"country"	"9"	"China"
"country"	"10"	"Poland"
"country"	"11"	"Colombia"
"country"	"12"	"South Korea - Dataset 2"
"country"	"13"	"Kazakhstan"
"country"	"14"	"Sweden"
"country"	"15"	"United Kingdom"
"country"	"16"	"Italy"
"country"	"17"	"Hong Kong"
"country"	"18"	"Russia"
"country"	"19"	"Chile"
"Davis_Empathy_Score"	"Variable Label"	"Davis Empathy Score"
"Davis_Empathy_Score"	"96"	"Not asked"
"doi"	"Variable Label"	"digital object identifier"
"Extraversion_Scale"	"Variable Label"	"Extraversion Scale"
"Extraversion_Scale"	"96"	"Differently measured"
"Extraversion_Scale_SWE"	"Variable Label"	"Extraversion Scale for Sweden"
"HEcenter"	"Variable Label"	"Hedonism - Centred value score"
"HEraw"	"Variable Label"	"Hedonism – mean of raw rating"
"ID_merge"	"Variable Label"	"ID"
"inglehart_index"	"Variable Label"	"Inglehart Index"
"inglehart_index"	"1"	"Postmaterialism"
"inglehart_index"	"2"	"rather post-materialist"
"inglehart_index"	"3"	"rather materialist"
"inglehart_index"	"4"	"Materialism"
"inglehart_index"	"96"	"Differently measured"
"inglehart_index"	"97"	"Not computed"
"MRAT"	"Variable Label"	"MRAT Mean score on all answered value items"
"Neuroticism_Scale"	"Variable Label"	"Neuroticism Scale"
"Neuroticism_Scale"	"96"	"Differently measured"
"Neuroticism_Scale_SWE"	"Variable Label"	"Neuroticism Scale for Sweden"
"openness"	"Variable Label"	"Openness to change - Mean of centered values"
"Openness_Scale"	"Variable Label"	"Openness Scale"
"Openness_Scale"	"96"	"Differently measured"
