variable	value	Label
"age"	"Variable Label"	"Alter"
"age"	"1"	"unter 20 Jahren"
"age"	"2"	"20 bis 25 Jahre"
"age"	"3"	"26 bis 35 Jahre"
"age"	"4"	"36 bis 50 Jahre"
"age"	"5"	"51 bis 65 Jahre"
"age"	"6"	"über 65 Jahre"
"bdl"	"Variable Label"	"Bundesland"
"bdl"	"1"	"Wien"
"bdl"	"2"	"Burgenland"
"bdl"	"3"	"Niederösterreich"
"bdl"	"4"	"Oberösterreich"
"bdl"	"5"	"Salzburg"
"bdl"	"6"	"Tirol"
"bdl"	"7"	"Vorarlberg"
"bdl"	"8"	"Steiermark"
"bdl"	"9"	"Kärnten"
"ber"	"Variable Label"	"Beruf"
"ber"	"1"	"Hilfsarbeiter"
"ber"	"2"	"Facharbeiter"
"ber"	"3"	"leitender Angestellter oder leitender Beamter"
"ber"	"4"	"Angestellter"
"ber"	"5"	"Beamter"
"ber"	"6"	"Rentner oder Pensionist"
"ber"	"7"	"Hausfrau"
"ber"	"8"	"Selbständiger"
"ber"	"9"	"Landwirt"
"ber"	"10"	"andere"
"bild"	"Variable Label"	"Schulbildung"
"bild"	"1"	"Volksschule"
"bild"	"2"	"Hauptschule"
"bild"	"3"	"Berufs- und Handelsschule"
"bild"	"4"	"Mittelschule (Matura)"
"bild"	"5"	"abgeschlossene Hochschule"
"doi"	"Variable Label"	"digital object identifier"
"f1m01"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - WEISS NICHT"
"f1m02"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - NIEMAND"
"f1m03"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - ANDERE"
"f1m04"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - ANDROSCH"
"f1m05"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - BENYA"
"f1m06"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - BLECHA"
"f1m07"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - BUCHNER"
"f1m08"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - BUSEK"
"f1m09"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - CAP"
"f1m10"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - DALLINGER"
"f1m11"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - DOHNAL"
"f1m12"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - FISCHER"
"f1m13"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - FRISCHENSCHLAGER"
"f1m14"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - FRÖHLICH-SANDNER"
"f1m15"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - GRAF"
"f1m16"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - GRAFF"
"f1m17"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - GRATZ"
"f1m18"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - HAIDEN"
"f1m19"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - HAIDER"
"f1m20"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - KERY"
"f1m21"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - KIRCHSCHLAEGER"
"f1m22"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - KOREN"
"f1m23"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - KRAINER"
"f1m24"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - KREISKY"
"f1m25"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - LACINA"
"f1m26"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - LUDWIG"
"f1m27"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - MEISSNER_BLAU"
"f1m28"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - MOCK"
"f1m29"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - MORITZ"
"f1m30"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - NENNING"
"f1m31"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - OFNER"
"f1m32"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - PETER"
"f1m33"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - RATZENBOECK"
"f1m34"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - SALCHER"
"f1m35"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - SEKANINA"
"f1m36"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - SALLINGER"
"f1m37"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - SINOWATZ"
"f1m38"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - STEGER"
"f1m39"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - STEYRER"
"f1m40"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - TAUS"
"f1m41"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - SIMMA"
"f1m42"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - VRANITZKY"
"f1m43"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - WAGNER"
"f1m44"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - WALDHEIM"
"f1m45"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - WALLNOEFER"
"f1m46"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - WILLE"
"f1m47"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - WITHALM"
"f1m48"	"Variable Label"	"GESCHAETZTE PERS.KEITEN - ZILK"
"f2"	"Variable Label"	"Welche Form der Regierung?"
"f2"	"1"	"Alleinregierung SPÖ"
"f2"	"2"	"Alleinregierung ÖVP"
"f2"	"3"	"Große Koalition SPÖ-ÖVP"
"f2"	"4"	"Kleine Koalition SPÖ-FPÖ"
"f2"	"5"	"Kleine Koalition ÖVP-FPÖ"
"f2"	"6"	"Koalition ÖVP-Grüne"
"f2"	"7"	"Koalition SPÖ-Grüne"
"f2"	"8"	"Regierung aller Parteien (auch der Grünen)"
"f2"	"9"	"Regierung aller Parteien (ohne den Grünen)"
"f2"	"10"	"Weiß nicht"
"f3a"	"Variable Label"	"Vorgangsweise Kraftwerk Hainburg: Polizeieinsatz"
"f3a"	"1"	"richtig"
"f3a"	"2"	"falsch"
"f3a"	"3"	"weiß nicht"
"f3b"	"Variable Label"	"Vorgangsweise Kraftwerk Hainburg: Verschiebung Baubeginn"
"f3b"	"1"	"richtig"
"f3b"	"2"	"falsch"
"f3b"	"3"	"weiß nicht"
"f4a"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: ÖGB"
"f4a"	"1"	"Sieger"
"f4a"	"2"	"Verlierer"
"f4a"	"3"	"weder noch"
"f4b"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: Regierung"
"f4b"	"1"	"Sieger"
"f4b"	"2"	"Verlierer"
"f4b"	"3"	"weder noch"
"f4c"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: die in Au waren"
"f4c"	"1"	"Sieger"
"f4c"	"2"	"Verlierer"
"f4c"	"3"	"weder noch"
"f4d"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: ÖVP"
"f4d"	"1"	"Sieger"
"f4d"	"2"	"Verlierer"
"f4d"	"3"	"weder noch"
"f4e"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: E-Wirtschaft"
"f4e"	"1"	"Sieger"
"f4e"	"2"	"Verlierer"
"f4e"	"3"	"weder noch"
"f4f"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: SPÖ"
"f4f"	"1"	"Sieger"
"f4f"	"2"	"Verlierer"
"f4f"	"3"	"weder noch"
"f4g"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: Kronen Zeitung"
"f4g"	"1"	"Sieger"
"f4g"	"2"	"Verlierer"
"f4g"	"3"	"weder noch"
"f4h"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: Industriellenvereinigung"
"f4h"	"1"	"Sieger"
"f4h"	"2"	"Verlierer"
"f4h"	"3"	"weder noch"
"f4i"	"Variable Label"	"Sieger bzw. Verlierer bei Streit um Kraftwerk Hainburg: FPÖ"
"f4i"	"1"	"Sieger"
"f4i"	"2"	"Verlierer"
"f4i"	"3"	"weder noch"
"f5"	"Variable Label"	"Für Bau des Donaukraftwerk Hainburg"
"f5"	"1"	"ja"
"f5"	"2"	"nein"
"f5"	"3"	"weiß nicht"
"f6"	"Variable Label"	"Für Bau des Donaukraftwerk Hainburg wenn Nationalpark geschaffen wird"
"f6"	"1"	"ja"
"f6"	"2"	"nein"
"f6"	"3"	"weiß nicht"
"f7"	"Variable Label"	"Personen ins Parlament, die sich für wahren Anliegen einsetzen"
"f7"	"1"	"stimme zu"
"f7"	"2"	"stimme nicht zu"
"f7"	"3"	"weiß nicht"
"f8"	"Variable Label"	"Wären AU-Schützer solche Personen"
"f8"	"1"	"ja"
"f8"	"2"	"nein"
"f8"	"3"	"weiß nicht"
"f9"	"Variable Label"	"Wunsch nach Grünen ins Parlement"
"f9"	"1"	"sehr"
"f9"	"2"	"eher schon"
"f9"	"3"	"eher nicht"
"f9"	"4"	"keinen Fall"
"f9"	"5"	"egal"
"part"	"Variable Label"	"Welche Partei sagt ihnen am meisten zu?"
"part"	"1"	"FPÖ"
"part"	"2"	"KPÖ"
"part"	"3"	"ÖVP"
"part"	"4"	"SPÖ"
"part"	"5"	"Die Grünen (VGÖ)"
"part"	"6"	"ALÖ"
"part"	"7"	"keine"
"sex"	"Variable Label"	"Geschlecht"
"sex"	"1"	"männlich"
"sex"	"2"	"weiblich"
"version"	"Variable Label"	"AUSSDA archive version"
"zeit01"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Kurier"
"zeit01"	"Variable Label"	"nein"
"zeit01"	"1"	"ja"
"zeit02"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Kronenzeitung"
"zeit02"	"Variable Label"	"nein"
"zeit02"	"1"	"ja"
"zeit03"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Die Presse"
"zeit03"	"Variable Label"	"nein"
"zeit03"	"1"	"ja"
"zeit04"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Kleine Zeitung Graz"
"zeit04"	"Variable Label"	"nein"
"zeit04"	"1"	"ja"
"zeit05"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Kleine Zeitung Klagenfurt"
"zeit05"	"Variable Label"	"nein"
"zeit05"	"1"	"ja"
"zeit06"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? AZ"
"zeit06"	"Variable Label"	"nein"
"zeit06"	"1"	"ja"
"zeit07"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Oberösterreichische Nachrichten"
"zeit07"	"Variable Label"	"nein"
"zeit07"	"1"	"ja"
"zeit08"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Salzburger Nachrichten"
"zeit08"	"Variable Label"	"nein"
"zeit08"	"1"	"ja"
"zeit09"	"Variable Label"	"Welche Tageszeitung lesen Sie regelmäßig? Tiroler Tageszeitung"
"zeit09"	"Variable Label"	"nein"
"zeit09"	"1"	"ja"
