variable	value	Label
"CT01_01"	"Variable Label"	"Homeoffice: Ich strukturiere mein Home-Office ganz klar in Lernphasen, Pausen und Freizeit."
"CT01_01"	"-99"	"Fragebogenabbruch"
"CT01_01"	"-9"	"nicht beantwortet"
"CT01_01"	"1"	"stimme gar nicht zu"
"CT01_01"	"5"	"stimme voll zu"
"CT01_02"	"Variable Label"	"Homeoffice: Die Umsetzung eines strukturierten Home-Office mit Arbeitsphasen, Pausen und Freizeit faellt mir leicht."
"CT01_02"	"-99"	"Fragebogenabbruch"
"CT01_02"	"-9"	"nicht beantwortet"
"CT01_02"	"1"	"stimme gar nicht zu"
"CT01_02"	"5"	"stimme voll zu"
"CT01_03"	"Variable Label"	"Homeoffice: Ich habe (gemeinsam mit meiner Familie) fuer die Corona-Krise eine strikte Tagesstruktur festgelegt."
"CT01_03"	"-99"	"Fragebogenabbruch"
"CT01_03"	"-9"	"nicht beantwortet"
"CT01_03"	"1"	"stimme gar nicht zu"
"CT01_03"	"5"	"stimme voll zu"
"CT01_04"	"Variable Label"	"Homeoffice: Meine Tagesstruktur waehrend der Corona-Krise ist dem schulischen Rhythmus sehr aehnlich."
"CT01_04"	"-99"	"Fragebogenabbruch"
"CT01_04"	"-9"	"nicht beantwortet"
"CT01_04"	"1"	"stimme gar nicht zu"
"CT01_04"	"5"	"stimme voll zu"
"CT02_01"	"Variable Label"	"Zeitaufwand: die Vorbereitung und den Versand der Aufgaben? ... Minuten"
"CT02_01"	"-99"	"nicht beantwortet/Fragebogenabbruch"
"CT02_02"	"Variable Label"	"Zeitaufwand: die Korrektur der Aufgaben? ... Minuten"
"CT02_02"	"-99"	"nicht beantwortet/Fragebogenabbruch"
"CT02_03"	"Variable Label"	"Zeitaufwand: die Kommunikation mit dieser Klasse? ... Minuten"
"CT02_03"	"-99"	"nicht beantwortet/Fragebogenabbruch"
"CT02_04"	"Variable Label"	"Zeitaufwand: die Kommunikation mit den Eltern dieser Klasse? ... Minuten"
"CT02_04"	"-99"	"nicht beantwortet/Fragebogenabbruch"
"CT02_05"	"Variable Label"	"Zeitaufwand: die Kommunikation mit Ihren Kollegen und Vorgesetzten? ... Minuten"
"CT02_05"	"-99"	"nicht beantwortet/Fragebogenabbruch"
"CT04_01"	"Variable Label"	"Motivation in Corona-Krise: Ich nehme die Krise als Chance, um Neues auszuprobieren."
"CT04_01"	"-99"	"Fragebogenabbruch"
"CT04_01"	"-9"	"nicht beantwortet"
"CT04_01"	"1"	"stimme gar nicht zu"
"CT04_01"	"5"	"stimme voll zu"
"CT04_02"	"Variable Label"	"Motivation in Corona-Krise: Die Corona-Krise setzt bei mir kreative Denkprozesse frei."
"CT04_02"	"-99"	"Fragebogenabbruch"
"CT04_02"	"-9"	"nicht beantwortet"
"CT04_02"	"1"	"stimme gar nicht zu"
"CT04_02"	"5"	"stimme voll zu"
"CT04_03"	"Variable Label"	"Motivation in Corona-Krise: Die Corona-Krise fuehrt zur Etablierung neuer Lernformen."
"CT04_03"	"-99"	"Fragebogenabbruch"
"CT04_03"	"-9"	"nicht beantwortet"
"CT04_03"	"1"	"stimme gar nicht zu"
"CT04_03"	"5"	"stimme voll zu"
"CT04_04"	"Variable Label"	"Motivation in Corona-Krise: Die Corona-Krise beschleunigt Entscheidungen, die im Normalbetrieb Jahre dauern wuerden."
"CT04_04"	"-99"	"Fragebogenabbruch"
"CT04_04"	"-9"	"nicht beantwortet"
"CT04_04"	"1"	"stimme gar nicht zu"
"CT04_04"	"5"	"stimme voll zu"
"CT04_05"	"Variable Label"	"Motivation in Corona-Krise: Ich spuere Aufbruchstimmung."
"CT04_05"	"-99"	"Fragebogenabbruch"
"CT04_05"	"-9"	"nicht beantwortet"
"CT04_05"	"1"	"stimme gar nicht zu"
"CT04_05"	"5"	"stimme voll zu"
"CT04_06"	"Variable Label"	"Motivation in Corona-Krise: Die gegenwaertige Stimmung wuerde ich als euphorisch bezeichnen."
"CT04_06"	"-99"	"Fragebogenabbruch"
"CT04_06"	"-9"	"nicht beantwortet"
"CT04_06"	"1"	"stimme gar nicht zu"
"CT04_06"	"5"	"stimme voll zu"
"CT04_07"	"Variable Label"	"Motivation in Corona-Krise: Die Belastungen der Krise lassen mich resignieren."
"CT04_07"	"-99"	"Fragebogenabbruch"
"CT04_07"	"-9"	"nicht beantwortet"
"CT04_07"	"1"	"stimme gar nicht zu"
"CT04_07"	"5"	"stimme voll zu"
"CT04_08"	"Variable Label"	"Motivation in Corona-Krise: Ich probiere neue Wege aus, um waehrend der Krise bestmoeglich im Sinne der Lernenden zu ag..."
"CT04_08"	"-99"	"Fragebogenabbruch"
"CT04_08"	"-9"	"nicht beantwortet"
"CT04_08"	"1"	"stimme gar nicht zu"
"CT04_08"	"5"	"stimme voll zu"
"CT04_09"	"Variable Label"	"Motivation in Corona-Krise: Das Homeschooling gibt mir Gelegenheit, Schule neu zu denken."
"CT04_09"	"-99"	"Fragebogenabbruch"
"CT04_09"	"-9"	"nicht beantwortet"
"CT04_09"	"1"	"stimme gar nicht zu"
"CT04_09"	"5"	"stimme voll zu"
"CT04_10"	"Variable Label"	"Motivation in Corona-Krise: Es ist durch Homeschooling einfacher fuer mich, die Aufgaben nach unterschiedlichen Kompet..."
"CT04_10"	"-99"	"Fragebogenabbruch"
"CT04_10"	"-9"	"nicht beantwortet"
"CT04_10"	"1"	"stimme gar nicht zu"
"CT04_10"	"5"	"stimme voll zu"
"CT04_11"	"Variable Label"	"Motivation in Corona-Krise: Das Homeschooling ueber`s Internet ueberfordert mich."
"CT04_11"	"-99"	"Fragebogenabbruch"
"CT04_11"	"-9"	"nicht beantwortet"
"CT04_11"	"1"	"stimme gar nicht zu"
"CT04_11"	"5"	"stimme voll zu"
"CT04_12"	"Variable Label"	"Motivation in Corona-Krise: Es ist muehsam, sich in die neue Technik einarbeiten zu muessen."
"CT04_12"	"-99"	"Fragebogenabbruch"
"CT04_12"	"-9"	"nicht beantwortet"
"CT04_12"	"1"	"stimme gar nicht zu"
"CT04_12"	"5"	"stimme voll zu"
"CT04_13"	"Variable Label"	"Motivation in Corona-Krise: Das Homeschooling ueberfordert die Eltern."
"CT04_13"	"-99"	"Fragebogenabbruch"
"CT04_13"	"-9"	"nicht beantwortet"
"CT04_13"	"1"	"stimme gar nicht zu"
"CT04_13"	"5"	"stimme voll zu"
"CT04_14"	"Variable Label"	"Motivation in Corona-Krise: Das Homeschooling ueberfordert die Lernenden."
"CT04_14"	"-99"	"Fragebogenabbruch"
"CT04_14"	"-9"	"nicht beantwortet"
"CT04_14"	"1"	"stimme gar nicht zu"
"CT04_14"	"5"	"stimme voll zu"
"CT05_01"	"Variable Label"	"Vertrauen/aengste COVID-19: Ich habe Vertrauen in die Faehigkeit des Gesundheitswesens, eine COVID-19-Infektion zu diag..."
"CT05_01"	"-99"	"Fragebogenabbruch"
"CT05_01"	"-9"	"nicht beantwortet"
"CT05_01"	"1"	"stimme gar nicht zu"
"CT05_01"	"5"	"stimme voll zu"
"CT05_02"	"Variable Label"	"Vertrauen/aengste COVID-19: Mein persoenliches Risiko an COVID-19 zu erkranken, ist hoch."
"CT05_02"	"-99"	"Fragebogenabbruch"
"CT05_02"	"-9"	"nicht beantwortet"
"CT05_02"	"1"	"stimme gar nicht zu"
"CT05_02"	"5"	"stimme voll zu"
"CT05_03"	"Variable Label"	"Vertrauen/aengste COVID-19: Ich habe Sorge, dass meine Lernenden im Homeschooling mit COVID-19 infiziert werden."
"CT05_03"	"-99"	"Fragebogenabbruch"
"CT05_03"	"-9"	"nicht beantwortet"
"CT05_03"	"1"	"stimme gar nicht zu"
"CT05_03"	"5"	"stimme voll zu"
"CT05_04"	"Variable Label"	"Vertrauen/aengste COVID-19: Ich schaetze die Gefahr, die von COVID-19 ausgeht, als hoch ein."
"CT05_04"	"-99"	"Fragebogenabbruch"
"CT05_04"	"-9"	"nicht beantwortet"
"CT05_04"	"1"	"stimme gar nicht zu"
"CT05_04"	"5"	"stimme voll zu"
"CT06_01"	"Variable Label"	"Aengste im Lockdown: Ich hatte Angst."
"CT06_01"	"-99"	"Fragebogenabbruch"
"CT06_01"	"-9"	"nicht beantwortet"
"CT06_01"	"1"	"Nie"
"CT06_01"	"5"	"Immer"
"CT06_02"	"Variable Label"	"Aengste im Lockdown: Ich hatte Schwierigkeiten mich auf etwas anderes als meine Angst zu konzentrieren."
"CT06_02"	"-99"	"Fragebogenabbruch"
"CT06_02"	"-9"	"nicht beantwortet"
"CT06_02"	"1"	"Nie"
"CT06_02"	"5"	"Immer"
"CT06_03"	"Variable Label"	"Aengste im Lockdown: Meine Bedenken waren zu viel fuer mich."
"CT06_03"	"-99"	"Fragebogenabbruch"
"CT06_03"	"-9"	"nicht beantwortet"
"CT06_03"	"1"	"Nie"
"CT06_03"	"5"	"Immer"
"CT06_04"	"Variable Label"	"Aengste im Lockdown: Ich fuehlte mich unwohl."
"CT06_04"	"-99"	"Fragebogenabbruch"
"CT06_04"	"-9"	"nicht beantwortet"
"CT06_04"	"1"	"Nie"
"CT06_04"	"5"	"Immer"
"CT06_05"	"Variable Label"	"Aengste im Lockdown: Ich war nervoes."
"CT06_05"	"-99"	"Fragebogenabbruch"
"CT06_05"	"-9"	"nicht beantwortet"
"CT06_05"	"1"	"Nie"
"CT06_05"	"5"	"Immer"
"CT06_06"	"Variable Label"	"Aengste im Lockdown: Ich hatte das Gefuehl, ich brauche Hilfe um meine Aengste und Sorgen zu ueberwinden."
"CT06_06"	"-99"	"Fragebogenabbruch"
"CT06_06"	"-9"	"nicht beantwortet"
"CT06_06"	"1"	"Nie"
"CT06_06"	"5"	"Immer"
"CT06_07"	"Variable Label"	"Aengste im Lockdown: Ich fuehlte mich angespannt."
"CT06_07"	"-99"	"Fragebogenabbruch"
"CT06_07"	"-9"	"nicht beantwortet"
"CT06_07"	"1"	"Nie"
"CT06_07"	"5"	"Immer"
"CT07"	"Variable Label"	"Arbeitszeit Homeoffice"
"CT07"	"-99"	"Fragebogenabbruch"
"CT07"	"-9"	"nicht beantwortet"
"CT07"	"0"	"gar nicht"
"CT07"	"1"	"weniger als 1 Stunde"
"CT07"	"2"	"1 Stunde"
"CT07"	"3"	"2 Stunden"
"CT07"	"4"	"3 Stunden"
"CT07"	"5"	"4 Stunden"
"CT07"	"6"	"5 Stunden"
"CT07"	"7"	"6 Stunden"
"CT07"	"8"	"7 Stunden"
"CT07"	"9"	"8 Stunden"
"CT07"	"10"	"9 Stunden"
"CT07"	"11"	"10 Stunden"
"CT07"	"12"	"11 Stunden"
"CT07"	"13"	"12 Stunden"
