variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Teilnahme an den Wahlen zum Europäischen Parlament?"
"v1"	"1"	"teilgenommen"
"v1"	"2"	"nicht teilgenommen"
"v1"	"3"	"war nicht wahlberechtigt"
"v1"	"4"	"K.A."
"v10"	"Variable Label"	"Wie würden Sie wählen, wenn Dr. Schüssel bei der nächsten NR-Wahl ÖVP-Parteiobmann bleibt und eine andere überzeugende Persönlichkeit als Kanzlerkandidat aufgestellt werden würde?"
"v10"	"1"	"Ich werde auf jeden Fall die ÖVP wählen"
"v10"	"2"	"Ich würde dann eher die ÖVP wählen"
"v10"	"3"	"Ich würde dann eher die ÖVP nicht wählen"
"v10"	"4"	"Ich werde auf keinen Fall die ÖVP wählen"
"v10"	"5"	"W.N./K.A."
"v11"	"Variable Label"	"Wie würden Sie wählen, wenn Dr. Gusenbauer bei der nächsten NR-Wahl SPÖ-Parteiobmann bleibt und eine andere überzeugende Persönlichkeit als Kanzlerkandidat aufgestellt werden würde?"
"v11"	"1"	"Ich werde auf jeden Fall die SPÖ wählen"
"v11"	"2"	"Ich würde dann eher die SPÖ wählen"
"v11"	"3"	"Ich würde dann eher die SPÖ nicht wählen"
"v11"	"4"	"Ich werde auf keinen Fall die SPÖ wählen"
"v11"	"5"	"W.N./K.A."
"v12"	"Variable Label"	"Geschlecht"
"v12"	"1"	"männlich"
"v12"	"2"	"weiblich"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"bis 25 Jahre"
"v13"	"2"	"26-35 Jahre"
"v13"	"3"	"36-50 Jahre"
"v13"	"4"	"51-65 Jahre"
"v13"	"5"	"ab 66 Jahre"
"v14"	"Variable Label"	"Schulbildung"
"v14"	"1"	"Hochschule"
"v14"	"2"	"Mittelschule"
"v14"	"3"	"Berufs- oder Handelsschule"
"v14"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v15"	"Variable Label"	"Tätigkeit"
"v15"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v15"	"2"	"Pension"
"v15"	"3"	"Nur im Haushalt tätig"
"v15"	"4"	"Arbeitslos"
"v15"	"5"	"Selbständig"
"v15"	"6"	"Landwirt"
"v15"	"7"	"Hilfsarbeiter"
"v15"	"8"	"Facharbeiter"
"v15"	"9"	"Angestellter"
"v15"	"10"	"Beamter"
