variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Sollte Österreich Mitglied der EU bleiben oder wieder austreten?"
"v1"	"1"	"Mitglied bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10a"	"Variable Label"	"W.N./K.A."
"v10a"	"Variable Label"	"nicht genannt"
"v10a"	"1"	"genannt"
"v10b"	"Variable Label"	"Anderes"
"v10b"	"Variable Label"	"nicht genannt"
"v10b"	"1"	"genannt"
"v10c"	"Variable Label"	"gar nicht"
"v10c"	"Variable Label"	"nicht genannt"
"v10c"	"1"	"genannt"
"v10d"	"Variable Label"	"stärkere Kontrollen"
"v10d"	"Variable Label"	"nicht genannt"
"v10d"	"1"	"genannt"
"v10e"	"Variable Label"	"härtete Strafen"
"v10e"	"Variable Label"	"nicht genannt"
"v10e"	"1"	"genannt"
"v10f"	"Variable Label"	"höhere Gehälter"
"v10f"	"Variable Label"	"nicht genannt"
"v10f"	"1"	"genannt"
"v10g"	"Variable Label"	"Vorbild und Erziehungsarbeit"
"v10g"	"Variable Label"	"nicht genannt"
"v10g"	"1"	"genannt"
"v10h"	"Variable Label"	"mehr Transparenz"
"v10h"	"Variable Label"	"nicht genannt"
"v10h"	"1"	"genannt"
"v11a"	"Variable Label"	"Medien"
"v11a"	"1"	"Ja"
"v11a"	"2"	"Nein"
"v11b"	"Variable Label"	"Politik"
"v11b"	"1"	"Ja"
"v11b"	"2"	"Nein"
"v11c"	"Variable Label"	"Interessenverbände"
"v11c"	"1"	"Ja"
"v11c"	"2"	"Nein"
"v11d"	"Variable Label"	"NGOs"
"v11d"	"1"	"Ja"
"v11d"	"2"	"Nein"
"v11e"	"Variable Label"	"Bildungswesen"
"v11e"	"1"	"Ja"
"v11e"	"2"	"Nein"
"v11f"	"Variable Label"	"Privatwirtschaft"
"v11f"	"1"	"Ja"
"v11f"	"2"	"Nein"
"v11g"	"Variable Label"	"Regierung"
"v11g"	"1"	"Ja"
"v11g"	"2"	"Nein"
"v11h"	"Variable Label"	"EU"
"v11h"	"1"	"Ja"
"v11h"	"2"	"Nein"
"v11i"	"Variable Label"	"Gerichte"
"v11i"	"1"	"Ja"
"v11i"	"2"	"Nein"
"v11j"	"Variable Label"	"Polizei"
"v11j"	"1"	"Ja"
"v11j"	"2"	"Nein"
"v12"	"Variable Label"	"Wie sollten sich Unternehmen, von denen Schmiergeld verlangt wird, Ihrer Meinung nach, verhalten?"
"v12"	"1"	"Sich nicht um den speziellen Auftrag bewerben"
"v12"	"2"	"Einer unabhängigen Stelle Meldung erstatten"
"v12"	"3"	"Zahlen"
"v12"	"4"	"Über die Höhe des Schmiergeldes verhandeln"
"v12"	"5"	"Bei der Polizei anzeigen"
"v12"	"6"	"nichts"
"v12"	"7"	"W.N./K.A."
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"männlich"
"v13"	"2"	"weiblich"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"bis 25 Jahre"
"v14"	"2"	"26-35 Jahre"
