variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"ID"	"Variable Label"	"Panelist ID"
"version"	"Variable Label"	"AUSSDA archive version"
"W1_Avg_Time_Sec"	"Variable Label"	"Time spent on survey link (sec) W1"
"W1_Day_End"	"Variable Label"	"Day of survey end W1"
"W1_Day_Start"	"Variable Label"	"Day of survey start W1"
"W1_Device_Type"	"Variable Label"	"Device type used W1"
"W1_Device_Type"	"1"	"Laptop/PC"
"W1_Device_Type"	"2"	"Smartphone"
"W1_Device_Type"	"3"	"Tablet"
"W1_Device_Type"	"4"	"SmartTV"
"W1_Device_Type"	"5"	"None of the above"
"W1_INCOME_DE"	"Variable Label"	"INCOME (GERMANY)"
"W1_INCOME_DE"	"1"	"0 € - 6000 €"
"W1_INCOME_DE"	"2"	"6001 € - 9000 €"
"W1_INCOME_DE"	"3"	"9001 € - 12000 €"
"W1_INCOME_DE"	"4"	"12001 € - 15000 €"
"W1_INCOME_DE"	"5"	"15001 € - 18000 €"
"W1_INCOME_DE"	"6"	"18001 € - 21000 €"
"W1_INCOME_DE"	"7"	"21001 € - 24000 €"
"W1_INCOME_DE"	"8"	"24001 € - 30000 €"
"W1_INCOME_DE"	"9"	"30001 € - 36000 €"
"W1_INCOME_DE"	"10"	"36001 € - 48000 €"
"W1_INCOME_DE"	"11"	"48001 € - 60000 €"
"W1_INCOME_DE"	"12"	"60001 € and over"
"W1_INCOME_DE"	"13"	"Prefer not to answer"
"W1_INCOME_DK"	"Variable Label"	"INCOME (DENMARK)"
"W1_INCOME_DK"	"1"	"DKK 0 - 45 000"
"W1_INCOME_DK"	"2"	"DKK 45 001-67 500"
"W1_INCOME_DK"	"3"	"DKK 67 501-90 000"
"W1_INCOME_DK"	"4"	"DKK 90 001-112 500"
"W1_INCOME_DK"	"5"	"DKK 112 501-135 000"
"W1_INCOME_DK"	"6"	"DKK 135 001-157 500"
"W1_INCOME_DK"	"7"	"DKK 157 501-180 000"
"W1_INCOME_DK"	"8"	"DKK 180 001-225 000"
"W1_INCOME_DK"	"9"	"DKK 225 001-270 000"
"W1_INCOME_DK"	"10"	"DKK 270 001-360 000"
"W1_INCOME_DK"	"11"	"DKK 360 001-450 000"
"W1_INCOME_DK"	"12"	"DKK 450 001-900 000"
"W1_INCOME_DK"	"13"	"DKK 900 001 or more"
"W1_INCOME_DK"	"14"	"Prefer not to answer"
"W1_INCOME_ES"	"Variable Label"	"INCOME (SPAIN)"
"W1_INCOME_ES"	"1"	"0 € - 6000 €"
"W1_INCOME_ES"	"2"	"6001 € - 9000 €"
"W1_INCOME_ES"	"3"	"9001 € - 12000 €"
"W1_INCOME_ES"	"4"	"12001 € - 15000 €"
"W1_INCOME_ES"	"5"	"15001 € - 18000 €"
"W1_INCOME_ES"	"6"	"18001 € - 21000 €"
"W1_INCOME_ES"	"7"	"21001 € - 24000 €"
"W1_INCOME_ES"	"8"	"24001 € - 30000 €"
"W1_INCOME_ES"	"9"	"30001 € - 36000 €"
"W1_INCOME_ES"	"10"	"36001 € - 48000 €"
"W1_INCOME_ES"	"11"	"48001 € - 60000 €"
"W1_INCOME_ES"	"12"	"60001 € and over"
"W1_INCOME_ES"	"13"	"Prefer not to answer"
"W1_INCOME_FR"	"Variable Label"	"INCOME (FRANCE)"
"W1_INCOME_FR"	"1"	"0 € - 6000 €"
"W1_INCOME_FR"	"2"	"6001 € - 9000 €"
"W1_INCOME_FR"	"3"	"9001 € - 12000 €"
"W1_INCOME_FR"	"4"	"12001 € - 15000 €"
"W1_INCOME_FR"	"5"	"15001 € - 18000 €"
"W1_INCOME_FR"	"6"	"18001 € - 21000 €"
"W1_INCOME_FR"	"7"	"21001 € - 24000 €"
"W1_INCOME_FR"	"8"	"24001 € - 30000 €"
"W1_INCOME_FR"	"9"	"30001 € - 36000 €"
"W1_INCOME_FR"	"10"	"36001 € - 48000 €"
"W1_INCOME_FR"	"11"	"48001 € - 60000 €"
"W1_INCOME_FR"	"12"	"60001 € and over"
"W1_INCOME_FR"	"13"	"Prefer not to answer"
"W1_INCOME_HU"	"Variable Label"	"INCOME (HUNGARY)"
"W1_INCOME_HU"	"1"	"360 000 Ft or less"
"W1_INCOME_HU"	"2"	"360 001-540 000 Ft"
"W1_INCOME_HU"	"3"	"540 001-720 000 Ft"
"W1_INCOME_HU"	"4"	"720 001-900 000 Ft"
"W1_INCOME_HU"	"5"	"900 001-1 080 000 Ft"
"W1_INCOME_HU"	"6"	"1 080 001-1 320 000 Ft"
"W1_INCOME_HU"	"7"	"1 320 001-1 800 000 Ft"
