variable	value	Label
"b16j"	"Variable Label"	"K.A."
"b16j"	"Variable Label"	"Nicht genannt"
"b16j"	"1"	"Genannt"
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"15.1.-17.1.1996"
"datum"	"2"	"16.1.-21.1.1996"
"datum"	"3"	"22.1.-24.1.1996"
"datum"	"4"	"25.1.-28.1.1996"
"datum"	"5"	"29.1.-31.1.1996"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"kontroll"	"Variable Label"	"Wien-Aktion"
"kontroll"	"1"	"Aktion"
"v01"	"Variable Label"	"Zufrieden mit Wahlergebnis"
"v01"	"1"	"sehr zufrieden"
"v01"	"2"	"etwas zufrieden"
"v01"	"3"	"gar nicht zufrieden"
"v01"	"4"	"W.N./K.A."
"v02"	"Variable Label"	"Überraschendes Wahlergebnis?"
"v02"	"1"	"sehr überrascht"
"v02"	"2"	"etwas überrascht"
"v02"	"3"	"gar nicht überrascht"
"v02"	"4"	"W.N./K.A."
"v06"	"Variable Label"	"Einfluß der Fernsehdiskussionen auf eigene Wahlentscheidung"
"v06"	"1"	"sehr großen Einfluß"
"v06"	"2"	"großen Einfluß"
"v06"	"3"	"geringen Einfluß"
"v06"	"4"	"keinen Einfluß"
"v06"	"5"	"weiß nicht"
"v07"	"Variable Label"	"Einfluß der Fernsehdiskussionen auf allg. Wahlentscheidung"
"v07"	"1"	"sehr großen Einfluß"
"v07"	"2"	"großen Einfluß"
"v07"	"3"	"geringen Einfluß"
"v07"	"4"	"keinen Einfluß"
"v07"	"5"	"weiß nicht"
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Beruf"
"v11"	"Variable Label"	"Andere"
"v11"	"1"	"Hilfsarbeiter"
"v11"	"2"	"Facharbeiter"
"v11"	"3"	"Leitende Ang./Beamte"
"v11"	"4"	"Angestellte"
"v11"	"5"	"Beamte"
"v11"	"6"	"Rentner/Pensionisten"
"v11"	"7"	"Hausfrauen"
"v11"	"8"	"Selbständige"
"v11"	"9"	"Landwirte"
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Burgenland"
"v12"	"3"	"Niederösterreich"
"v12"	"4"	"Oberösterreich"
"v12"	"5"	"Salzburg"
"v12"	"6"	"Tirol"
"v12"	"7"	"Vorarlberg"
"v12"	"8"	"Steiermark"
"v12"	"9"	"Kärnten"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"Unter 20 Jahren"
"v13"	"2"	"20 bis 25 Jahre"
"v13"	"3"	"26 bis 35 Jahre"
"v13"	"4"	"36 bis 50 Jahre"
"v13"	"5"	"51 bis 65 Jahre"
"v13"	"6"	"Über 65 Jahre"
"v14"	"Variable Label"	"Schulbildung"
"v14"	"1"	"Volksschule"
"v14"	"2"	"Hauptschule"
"v14"	"3"	"Berufs-/Handelsschule"
"v14"	"4"	"Matura"
"v14"	"5"	"Abg. Hochschule"
"v15"	"Variable Label"	"Parteipräferenz"
"v15"	"1"	"FPÖ"
"v15"	"2"	"KPÖ"
"v15"	"3"	"ÖVP"
"v15"	"4"	"SPÖ"
"v15"	"5"	"GAL"
"v15"	"6"	"LIF"
"v15"	"7"	"Keine"
"v16a"	"Variable Label"	"Kronen Zeitung"
"v16a"	"Variable Label"	"Nicht genannt"
"v16a"	"1"	"Genannt"
"v16b"	"Variable Label"	"Täglich Alles"
"v16b"	"Variable Label"	"Nicht genannt"
"v16b"	"1"	"Genannt"
"v16c"	"Variable Label"	"Kurier"
"v16c"	"Variable Label"	"Nicht genannt"
"v16c"	"1"	"Genannt"
"v16d"	"Variable Label"	"Presse"
"v16d"	"Variable Label"	"Nicht genannt"
"v16d"	"1"	"Genannt"
"v16e"	"Variable Label"	"SN"
"v16e"	"Variable Label"	"Nicht genannt"
"v16e"	"1"	"Genannt"
"v16f"	"Variable Label"	"Standard"
"v16f"	"Variable Label"	"Nicht genannt"
"v16f"	"1"	"Genannt"
"v16g"	"Variable Label"	"Kleine Zeitung"
"v16g"	"Variable Label"	"Nicht genannt"
"v16g"	"1"	"Genannt"
"v16h"	"Variable Label"	"Andere"
"v16h"	"Variable Label"	"Nicht genannt"
"v16h"	"1"	"Genannt"
"v16i"	"Variable Label"	"Keine"
"v16i"	"Variable Label"	"Nicht genannt"
"v16i"	"1"	"Genannt"
"v3a"	"Variable Label"	"Mit Gewinn der SPÖ gerechnet"
"v3a"	"1"	"Ja"
"v3a"	"2"	"Nein"
"v3a"	"3"	"Weiß nicht"
"v3b"	"Variable Label"	"Mit Verlusten der FPÖ gerechnet"
"v3b"	"1"	"Ja"
"v3b"	"2"	"Nein"
"v3b"	"3"	"Weiß nicht"
"v3c"	"Variable Label"	"Mit Verfehlung des Wahlziels der ÖVP gerechnet"
"v3c"	"1"	"Ja"
"v3c"	"2"	"Nein"
"v3c"	"3"	"Weiß nicht"
"v3d"	"Variable Label"	"Mit Verlusten der Grünen gerechnet"
"v3d"	"1"	"Ja"
"v3d"	"2"	"Nein"
"v3d"	"3"	"Weiß nicht"
"v3e"	"Variable Label"	"Mit Verlusten des Liberalen Forums gerechnet"
"v3e"	"1"	"Ja"
"v3e"	"2"	"Nein"
"v3e"	"3"	"Weiß nicht"
"v4a"	"Variable Label"	"Vranitzky ist Garant für Stabilität"
"v4a"	"1"	"voll"
"v4a"	"2"	"teilweise"
"v4a"	"3"	"gar nicht"
"v4a"	"4"	"weiß nicht"
"v4b"	"Variable Label"	"Vorgezogene Wahl verärgert Menschen"
"v4b"	"1"	"voll"
"v4b"	"2"	"teilweise"
"v4b"	"3"	"gar nicht"
"v4b"	"4"	"weiß nicht"
"v4c"	"Variable Label"	"Um Schwarz-Blau zu verhindern haben Grüne SPÖ gewählt"
"v4c"	"1"	"voll"
"v4c"	"2"	"teilweise"
"v4c"	"3"	"gar nicht"
"v4c"	"4"	"weiß nicht"
"v4d"	"Variable Label"	"SPÖ konnte viele Nichtwähler für sich gewinnen"
"v4d"	"1"	"voll"
"v4d"	"2"	"teilweise"
"v4d"	"3"	"gar nicht"
"v4d"	"4"	"weiß nicht"
"v4e"	"Variable Label"	"Österreicher wollen Haider als Oppositionspolitiker"
"v4e"	"1"	"voll"
"v4e"	"2"	"teilweise"
"v4e"	"3"	"gar nicht"
"v4e"	"4"	"weiß nicht"
"v4f"	"Variable Label"	"Umweltthemen haben nicht mehr die Bedeutung wie früher"
"v4f"	"1"	"voll"
"v4f"	"2"	"teilweise"
"v4f"	"3"	"gar nicht"
"v4f"	"4"	"weiß nicht"
"v4g"	"Variable Label"	"SPÖ versprach Pensionen zu sichern"
"v4g"	"1"	"voll"
"v4g"	"2"	"teilweise"
"v4g"	"3"	"gar nicht"
"v4g"	"4"	"weiß nicht"
"v4h"	"Variable Label"	"Ausländerfrage spielte diesmal keine große Rolle"
"v4h"	"1"	"voll"
"v4h"	"2"	"teilweise"
"v4h"	"3"	"gar nicht"
"v4h"	"4"	"weiß nicht"
"v4i"	"Variable Label"	"Am schlechten Abschneiden der Grünen ist Dr.Petrovic schuld"
"v4i"	"1"	"voll"
"v4i"	"2"	"teilweise"
"v4i"	"3"	"gar nicht"
"v4i"	"4"	"weiß nicht"
"v5a"	"Variable Label"	"Bewertung Dietz"
"v5a"	"1"	"positiv"
"v5a"	"2"	"weder noch"
"v5a"	"3"	"negativ"
"v5a"	"4"	"weiß nicht"
"v5b"	"Variable Label"	"Bewertung Ederer"
"v5b"	"1"	"positiv"
"v5b"	"2"	"weder noch"
"v5b"	"3"	"negativ"
"v5b"	"4"	"weiß nicht"
"v5c"	"Variable Label"	"Bewertung Haider"
"v5c"	"1"	"positiv"
"v5c"	"2"	"weder noch"
"v5c"	"3"	"negativ"
"v5c"	"4"	"weiß nicht"
"v5d"	"Variable Label"	"Bewertung Klima"
"v5d"	"1"	"positiv"
"v5d"	"2"	"weder noch"
"v5d"	"3"	"negativ"
"v5d"	"4"	"weiß nicht"
"v5e"	"Variable Label"	"Bewertung Petrovic"
"v5e"	"1"	"positiv"
"v5e"	"2"	"weder noch"
"v5e"	"3"	"negativ"
"v5e"	"4"	"weiß nicht"
"v5f"	"Variable Label"	"Bewertung Schmidt"
"v5f"	"1"	"positiv"
"v5f"	"2"	"weder noch"
"v5f"	"3"	"negativ"
"v5f"	"4"	"weiß nicht"
"v5g"	"Variable Label"	"Bewertung Schüssel"
"v5g"	"1"	"positiv"
