variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Abstimmungsverhalten heute"
"v01"	"1"	"Für den Beitritt"
"v01"	"2"	"Gegen den Beitritt"
"v01"	"3"	"W.N./K.A."
"v02"	"Variable Label"	"Einstellung gegenüber EU verändert?"
"v02"	"1"	"Ja"
"v02"	"2"	"Nein"
"v02"	"3"	"W.N./K.A."
"v03"	"Variable Label"	"Richtung der Einstellungsänderung"
"v03"	"1"	"Zugunsten der EU"
"v03"	"2"	"Gegen die EU"
"v03"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Beteiligung an Wahlen zum Europaparlament"
"v05"	"1"	"ganz sicher"
"v05"	"2"	"eher schon"
"v05"	"3"	"eher nicht"
"v05"	"4"	"sicher nicht"
"v05"	"5"	"W.N./K.A."
"v07"	"Variable Label"	"Geschlecht"
"v07"	"1"	"Männlich"
"v07"	"2"	"Weiblich"
"v08"	"Variable Label"	"Alter"
"v08"	"1"	"16 bis 24 Jahre"
"v08"	"2"	"25 bis 39 Jahre"
"v08"	"3"	"40 bis 59 Jahre"
"v08"	"4"	"Ab 60 Jahre"
"v09"	"Variable Label"	"Bildung"
"v09"	"1"	"Matura/Universität"
"v09"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v09"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v10"	"Variable Label"	"Tätigkeit"
"v10"	"1"	"In Ausbildung"
"v10"	"2"	"Nicht berufstätig"
"v10"	"3"	"Pension"
"v10"	"4"	"Selbständig/Landwirt"
"v10"	"5"	"Arbeiter"
"v10"	"6"	"Angestellte"
"v11"	"Variable Label"	"Parteipräferenz"
"v11"	"1"	"SPÖ"
"v11"	"2"	"ÖVP"
"v11"	"3"	"FPÖ"
"v11"	"4"	"KPÖ"
"v11"	"5"	"GAL"
"v11"	"6"	"LIF"
"v11"	"7"	"Keine"
"v11"	"8"	"K.A."
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Niederösterreich"
"v12"	"3"	"Burgenland"
"v12"	"4"	"Steiermark"
"v12"	"5"	"Kärnten"
"v12"	"6"	"Oberösterreich"
"v12"	"7"	"Salzburg"
"v12"	"8"	"Tirol"
"v12"	"9"	"Vorarlberg"
"v4a"	"Variable Label"	"Preise der Waren für Konsumenten"
"v4a"	"1"	"eher positiv"
"v4a"	"2"	"eher negativ"
"v4a"	"3"	"keine"
"v4a"	"4"	"W.N./K.A."
"v4b"	"Variable Label"	"Sicherheit bestehender Arbeitsplätze"
"v4b"	"1"	"eher positiv"
"v4b"	"2"	"eher negativ"
"v4b"	"3"	"keine"
"v4b"	"4"	"W.N./K.A."
