variable	value	Label
"alter3"	"Variable Label"	"Alter"
"alter3"	"1"	"16-39 Jahre"
"alter3"	"2"	"40-59 Jahre"
"alter3"	"3"	"ab 60 Jahre"
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewicht"	"Variable Label"	"<keine>"
"kontneu"	"Variable Label"	"Persönlicher Kontakt mit Zuwanderern"
"kontneu"	"1"	"ja"
"kontneu"	"2"	"nein"
"kontneu"	"3"	"W.N./K.A."
"v1"	"Variable Label"	"Halten Sie persönlich die Eingliederung von Zuwanderern, die schon in Wien leben für..."
"v1"	"1"	"sehr wichtig"
"v1"	"2"	"wichtig"
"v1"	"3"	"weniger wichtig"
"v1"	"4"	"unwichtig"
"v1"	"5"	"W.N./K.A."
"v10a"	"Variable Label"	"Ich selbst zugewandert"
"v10a"	"1"	"ja"
"v10a"	"2"	"nein"
"v10a"	"3"	"W.N./K.A."
"v10b"	"Variable Label"	"Bereits meine Eltern bzw. ein Elternteil zugewandert"
"v10b"	"1"	"ja"
"v10b"	"2"	"nein"
"v10b"	"3"	"W.N./K.A."
"v10c"	"Variable Label"	"Bereits meine Großeltern bzw. ein Großelternteil zugewandert"
"v10c"	"1"	"ja"
"v10c"	"2"	"nein"
"v10c"	"3"	"W.N./K.A."
"v11a"	"Variable Label"	"1"
"v11a"	"Variable Label"	"nicht genannt"
"v11a"	"1"	"genannt"
"v11b"	"Variable Label"	"2"
"v11b"	"Variable Label"	"nicht genannt"
"v11b"	"1"	"genannt"
"v11c"	"Variable Label"	"3"
"v11c"	"Variable Label"	"nicht genannt"
"v11c"	"1"	"genannt"
"v11d"	"Variable Label"	"4"
"v11d"	"Variable Label"	"nicht genannt"
"v11d"	"1"	"genannt"
"v11e"	"Variable Label"	"5"
"v11e"	"Variable Label"	"nicht genannt"
"v11e"	"1"	"genannt"
"v11f"	"Variable Label"	"Nein"
"v11f"	"Variable Label"	"nicht genannt"
"v11f"	"1"	"genannt"
"v11g"	"Variable Label"	"W.N./K.A."
"v11g"	"Variable Label"	"nicht genannt"
"v11g"	"1"	"genannt"
"v12"	"Variable Label"	"Geschlecht"
"v12"	"1"	"männlich"
"v12"	"2"	"weiblich"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"16-24 Jahre"
"v13"	"2"	"25-39 Jahre"
"v13"	"3"	"40-59 Jahre"
"v13"	"4"	"ab 60 Jahre"
"v14"	"Variable Label"	"Bildung"
"v14"	"1"	"Matura, Universität"
"v14"	"2"	"Pflichtschule mit weiterer Ausbildung (Lehre, Fachschule)"
"v14"	"3"	"Pflichtschule ohne weitere Ausbildung"
"v15"	"Variable Label"	"Tätigkeit"
"v15"	"1"	"in Ausbildung"
"v15"	"2"	"nicht berufstätig"
"v15"	"3"	"Pension"
"v15"	"4"	"selbständig (auch Landwirte)"
"v15"	"5"	"Arbeiter"
"v15"	"6"	"Angestellte"
"v15"	"7"	"Beamte"
"v16"	"Variable Label"	"Parteipräferenz"
"v16"	"1"	"SPÖ"
"v16"	"2"	"ÖVP"
"v16"	"3"	"FPÖ"
"v16"	"4"	"KPÖ"
"v16"	"5"	"GAL"
"v16"	"6"	"LIF"
"v16"	"7"	"Keine"
