variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"28.3.-30.3.1997"
"datum"	"2"	"31.3.- 2.4.1997"
"datum"	"3"	"3.4.- 6.4.1997"
"datum"	"4"	"7.4.- 9.4.1997"
"datum"	"5"	"10.4.-13.4.1997"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Einführung des EURO"
"v01"	"1"	"Dafür"
"v01"	"2"	"Dagegen"
"v01"	"3"	"W.N./K.A."
"v03"	"Variable Label"	"EURO als verbreitetes Zahlungsmittel"
"v03"	"1"	"bedeutenden Vorteil"
"v03"	"2"	"geringen Vorteil"
"v03"	"3"	"keinen Vorteil"
"v03"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Österreich erfolgreich auf dem Gebiet der Währung?"
"v04"	"1"	"ja"
"v04"	"2"	"nein"
"v04"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Persönliche Erwartung von EURO"
"v05"	"1"	"eher Vorteile"
"v05"	"2"	"eher Nachteile"
"v05"	"3"	"weder noch"
"v05"	"4"	"W.N./K.A."
"v06"	"Variable Label"	"Einführung des EURO von Anfang an?"
"v06"	"1"	"abwarten"
"v06"	"2"	"von Anfang an mitmachen"
"v06"	"3"	"W.N./K.A."
"v07"	"Variable Label"	"Effekt einer späteren Einführung des EURO"
"v07"	"1"	"würde das Aus bedeuten"
"v07"	"2"	"EURO würde später kommen"
"v07"	"3"	"W.N./K.A."
"v08"	"Variable Label"	"Einstellung gegenüber dem Parlament"
"v08"	"1"	"es wäre mir egal"
"v08"	"2"	"würde mit allen Mitteln gegen diese Gruppe vorgehen"
"v08"	"3"	"wäre dagegen, würde mich aber heraushalten"
"v08"	"4"	"würde alle, die Parlament beseitigen wollen, unterstützen"
"v08"	"5"	"andere Antworten"
"v08"	"6"	"W.N./K.A."
"v09"	"Variable Label"	"Beurteilung der Koalitionsregierung"
"v09"	"1"	"sehr viel"
"v09"	"2"	"viel"
"v09"	"3"	"wenig"
"v09"	"4"	"nichts"
"v09"	"5"	"nichts"
"v09"	"6"	"W.N./K.A."
"v10"	"Variable Label"	"Was gibt Österreich besten Schutz?"
"v10"	"1"	"Beibehaltung des Bundesheeres, wie es jetzt ist"
"v10"	"2"	"Aufrüstung des Bundesheeres"
"v10"	"3"	"Berufsheer anstelle allgemeiner Wehrpflicht"
"v10"	"4"	"Einbindung Österreichs in europäisches Sicherheitssystem"
"v10"	"5"	"Beitritt zur NATO"
"v10"	"6"	"W.N./K.A."
"v11"	"Variable Label"	"Geschlecht"
"v11"	"1"	"Männlich"
"v11"	"2"	"Weiblich"
"v12"	"Variable Label"	"Beruf"
"v12"	"Variable Label"	"Andere"
"v12"	"1"	"Hilfsarbeiter"
"v12"	"2"	"Facharbeiter"
"v12"	"3"	"Leitende Ang./Beamte"
"v12"	"4"	"Angestellte"
"v12"	"5"	"Beamte"
"v12"	"6"	"Rentner/Pensionisten"
"v12"	"7"	"Hausfrauen"
"v12"	"8"	"Selbständige"
"v12"	"9"	"Landwirte"
"v13"	"Variable Label"	"Bundesland"
"v13"	"1"	"Wien"
"v13"	"2"	"Burgenland"
"v13"	"3"	"Niederösterreich"
"v13"	"4"	"Oberösterreich"
"v13"	"5"	"Salzburg"
"v13"	"6"	"Tirol"
"v13"	"7"	"Vorarlberg"
"v13"	"8"	"Steiermark"
"v13"	"9"	"Kärnten"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"Unter 20 Jahren"
"v14"	"2"	"20 bis 25 Jahre"
"v14"	"3"	"26 bis 35 Jahre"
"v14"	"4"	"36 bis 50 Jahre"
"v14"	"5"	"51 bis 65 Jahre"
"v14"	"6"	"über 65 Jahre"
"v15"	"Variable Label"	"Bildung"
"v15"	"1"	"Volksschule"
"v15"	"2"	"Hauptschule"
"v15"	"3"	"Berufs-/Handelsschule"
"v15"	"4"	"Matura"
