variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Wahlerfolg einer Partei mit Programm gegen Sozialleistungen"
"v01"	"1"	"sicher"
"v01"	"2"	"wahrscheinlich schon"
"v01"	"3"	"wahrscheinlich nicht"
"v01"	"4"	"sicher nicht"
"v01"	"5"	"W.N./K.A."
"v02"	"Variable Label"	"Gibt es in Österreich zuviele Sozialleistungen"
"v02"	"1"	"sehr"
"v02"	"2"	"etwas"
"v02"	"3"	"gar nicht"
"v02"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Leistung muß sich wieder auszahlen"
"v04"	"1"	"ganz"
"v04"	"2"	"teilweise"
"v04"	"3"	"gar nicht"
"v04"	"4"	"W.N./K.A."
"v05"	"Variable Label"	"Wer soll weniger Leistungsfähige unterstützen?"
"v05"	"1"	"Unterstützung durch den Staat"
"v05"	"2"	"Unterstützung durch die Gemeinde"
"v05"	"3"	"Unterstützung durch die Familie"
"v05"	"4"	"Unterstützung durch priv. Hilfsorganisationen"
"v05"	"5"	"Jeder soll sich selbst helfen"
"v05"	"6"	"W.N./K.A."
"v07"	"Variable Label"	"Beurteilung der Sozialpartnerschaft"
"v07"	"1"	"vorteilhaft"
"v07"	"2"	"nachteilig"
"v07"	"3"	"weder noch"
"v07"	"4"	"W.N./K.A."
"v08"	"Variable Label"	"Notwendigkeit von AK und ÖGB"
"v08"	"1"	"Beide sind notwendig"
"v08"	"2"	"Könnte auf AK verzichten"
"v08"	"3"	"Könnte auf ÖGB verzichten"
"v08"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"16 bis 24 Jahre"
"v11"	"2"	"25 bis 39 Jahre"
"v11"	"3"	"40 bis 59 Jahre"
"v11"	"4"	"Ab 60 Jahre"
"v12"	"Variable Label"	"Bildung"
"v12"	"1"	"Matura/Universität"
"v12"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v12"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v13"	"Variable Label"	"Tätigkeit"
"v13"	"1"	"In Ausbildung"
"v13"	"2"	"Nicht berufstätig"
"v13"	"3"	"Pension"
"v13"	"4"	"Selbständig/Landwirt"
"v13"	"5"	"Arbeiter"
"v13"	"6"	"Angestellte"
"v13"	"7"	"Beamte"
"v14"	"Variable Label"	"Parteipräferenz"
"v14"	"1"	"SPÖ"
"v14"	"2"	"ÖVP"
"v14"	"3"	"FPÖ"
"v14"	"4"	"KPÖ"
"v14"	"5"	"GAL"
"v14"	"6"	"LIF"
"v14"	"7"	"Keine"
"v14"	"8"	"K.A."
"v15"	"Variable Label"	"Bundesland"
"v15"	"1"	"Wien"
"v15"	"2"	"Niederösterreich"
"v15"	"3"	"Burgenland"
"v15"	"4"	"Steiermark"
"v15"	"5"	"Kärnten"
"v15"	"6"	"Oberösterreich"
"v15"	"7"	"Salzburg"
"v15"	"8"	"Tirol"
"v15"	"9"	"Vorarlberg"
"v3a"	"Variable Label"	"Unterstützung kinderreicher Familien"
"v3a"	"1"	"zuviel"
"v3a"	"2"	"gerade recht"
"v3a"	"3"	"zuwenig"
"v3a"	"4"	"W.N./K.A."
"v3b"	"Variable Label"	"Unterstützung Arbeitsloser"
"v3b"	"1"	"zuviel"
"v3b"	"2"	"gerade recht"
"v3b"	"3"	"zuwenig"
"v3b"	"4"	"W.N./K.A."
"v3c"	"Variable Label"	"Unterstützung Gastarbeiter"
"v3c"	"1"	"zuviel"
"v3c"	"2"	"gerade recht"
"v3c"	"3"	"zuwenig"
"v3c"	"4"	"W.N./K.A."
"v3d"	"Variable Label"	"Unterstützung alleinerziehender Mütter"
"v3d"	"1"	"zuviel"
"v3d"	"2"	"gerade recht"
"v3d"	"3"	"zuwenig"
"v3d"	"4"	"W.N./K.A."
"v3e"	"Variable Label"	"Unterstützung Studenten"
"v3e"	"1"	"zuviel"
