variable	value	Label
age	Variable Label	AGE IN YEARS (AT ELECTION DAY)
bundesland	Variable Label	FEDERAL STATE
bundesland	1	Vorarlberg
bundesland	2	Tyrol
bundesland	3	Salzburg
bundesland	4	Upper Austria
bundesland	5	Carinthia
bundesland	6	Styria
bundesland	7	Burgenland
bundesland	8	Lower Austria
bundesland	9	Vienna
doi	Variable Label	digital object identifier
gender	Variable Label	GENDER
gender	1	Male
gender	2	Female
gender	99	Prefer not to say
id	Variable Label	RESPONDENT ID
panelpat	Variable Label	PATTERN OF PANEL PARTICIPATION (ALL WAVES)
panelpat	1	1..
panelpat	2	12.
panelpat	3	1.3
panelpat	4	.23
panelpat	5	123
popnum	Variable Label	CATEGORIZED POPULATION NUMBER (MUNICIPALITY)
popnum	0	<2.500
popnum	1	2.500-
popnum	2	5.000-
popnum	3	10.000-
popnum	4	50.000-
popnum	5	1M.+
regwk	Variable Label	REGIONAL CONSTITUENCY
version	Variable Label	AUSSDA archive version
w1_contact	Variable Label	NUMBER OF CONTACT ATTEMPTS
w1_date	Variable Label	DATE OF INTERVIEW
w1_dte	Variable Label	DAYS LEFT UNTIL ELECTION DAY
w1_ew	Variable Label	YOUNG VOTER (YOUNGER THAN 21)
w1_ew	0	no
w1_ew	1	yes
w1_jw	Variable Label	FIRST-TIME VOTER
w1_jw	0	no
w1_jw	1	yes
w1_mode	Variable Label	TELEPHONE MODE
w1_mode	1	landline
w1_mode	2	mobile
w1_panelist	Variable Label	<keine>
w1_q_Split_group	Variable Label	EXPERIMENT: GROUP
w1_q_Split_group	0	no group
w1_q_Split_group	1	group A
w1_q_Split_group	2	group B
w1_q_SplitA_1	Variable Label	WHAT WAS R. THINKING OF WHEN ASSESSING THE FEDERAL GOVERNMENT
w1_q_SplitA_1	1	mentioned
w1_q_SplitA_1	88	don't know
w1_q_SplitA_1	99	refused
w1_q_SplitA_1	888	other experimental group
w1_q_SplitA_1	999	not in experiment
w1_q_SplitA_1_i1	Variable Label	CODING: ISSUE 1
w1_q_SplitA_1_i1	10000	economy
w1_q_SplitA_1_i1	11000	welfare state
w1_q_SplitA_1_i1	12000	budget
w1_q_SplitA_1_i1	13000	education and culture
