variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v03"	"Variable Label"	"Projekt, das bekämpft wird"
"v03"	"1"	"ja"
"v03"	"2"	"nein"
"v03"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Schafft Haider Sprung zum Bundeskanzler?"
"v05"	"1"	"ja, nach Wahlen im Oktober 1999"
"v05"	"2"	"ja, aber erst in der nächste Legislaturperiode"
"v05"	"3"	"nein, nie"
"v05"	"4"	"W.N./K.A."
"v06"	"Variable Label"	"Bevorzugte Regierungsform"
"v06"	"1"	"Alleinregierung SPÖ"
"v06"	"2"	"Alleinregierung ÖVP"
"v06"	"3"	"Koalition SPÖ/ÖVP"
"v06"	"4"	"Koalition SPÖ/FPÖ"
"v06"	"5"	"Koalition ÖVP/FPÖ"
"v06"	"6"	"Koalition SPÖ/GAL/LIF"
"v06"	"7"	"Anderes"
"v06"	"8"	"W.N./K.A."
"v07"	"Variable Label"	"Korruption in EU Normalfall?"
"v07"	"1"	"ja"
"v07"	"2"	"nein"
"v07"	"3"	"W.N./K.A."
"v08"	"Variable Label"	"Rücktritt der EU-Kommission:Hat das Ihre Meinung ..."
"v08"	"1"	"verbessert"
"v08"	"2"	"verschlechtert"
"v08"	"3"	"ist unverändert"
"v08"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Beruf"
"v11"	"Variable Label"	"Andere"
"v11"	"1"	"Hilfsarbeiter"
"v11"	"2"	"Facharbeiter"
"v11"	"3"	"Leitende Ang./Beamte"
"v11"	"4"	"Angestellte"
"v11"	"5"	"Beamte"
"v11"	"6"	"Rentner/Pensionisten"
"v11"	"7"	"Hausfrauen"
"v11"	"8"	"Selbständige"
"v11"	"9"	"Landwirte"
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Burgenland"
"v12"	"3"	"Niederösterreich"
"v12"	"4"	"Oberösterreich"
"v12"	"5"	"Salzburg"
"v12"	"6"	"Tirol"
"v12"	"7"	"Vorarlberg"
"v12"	"8"	"Steiermark"
"v12"	"9"	"Kärnten"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"Unter 20 Jahren"
"v13"	"2"	"20 bis 25 Jahre"
"v13"	"3"	"26 bis 35 Jahre"
"v13"	"4"	"36 bis 50 Jahre"
"v13"	"5"	"51 bis 65 Jahre"
"v13"	"6"	"über 65 Jahre"
"v14"	"Variable Label"	"Schulbildung"
"v14"	"1"	"Volksschule"
"v14"	"2"	"Hauptschule"
"v14"	"3"	"Berufs-/Handelsschule"
"v14"	"4"	"Matura"
"v14"	"5"	"Abg. Hochschule"
"v15"	"Variable Label"	"Parteipräferenz aktuell"
"v15"	"1"	"FPÖ"
"v15"	"2"	"KPÖ"
"v15"	"3"	"ÖVP"
"v15"	"4"	"SPÖ"
"v15"	"5"	"GAL"
"v15"	"6"	"LIF"
"v15"	"7"	"Keine"
"v16"	"Variable Label"	"Parteipräferenz früher"
"v16"	"1"	"FPÖ"
"v16"	"2"	"KPÖ"
"v16"	"3"	"ÖVP"
"v16"	"4"	"SPÖ"
"v16"	"5"	"GAL"
"v16"	"6"	"LIF"
"v16"	"7"	"Keine"
"v17a"	"Variable Label"	"Partei vertritt mich nicht"
"v17a"	"Variable Label"	"Nicht genannt"
"v17a"	"1"	"Genannt"
"v17b"	"Variable Label"	"Weil man Politikern nicht vertrauen kann"
"v17b"	"Variable Label"	"Nicht genannt"
"v17b"	"1"	"Genannt"
"v17c"	"Variable Label"	"Partei hat keine klare Linie mehr"
"v17c"	"Variable Label"	"Nicht genannt"
"v17c"	"1"	"Genannt"
"v17d"	"Variable Label"	"Viele Versprechen wurden nicht eingehalten"
"v17d"	"Variable Label"	"Nicht genannt"
"v17d"	"1"	"Genannt"
"v17e"	"Variable Label"	"Weil Politiker nur an eigenen Vorteil denken"
"v17e"	"Variable Label"	"Nicht genannt"
"v17e"	"1"	"Genannt"
"v17f"	"Variable Label"	"Weil einem die Partei nicht mehr hilft"
"v17f"	"Variable Label"	"Nicht genannt"
"v17f"	"1"	"Genannt"
"v17g"	"Variable Label"	"Weil Partei Porbleme nicht lösen kann"
"v17g"	"Variable Label"	"Nicht genannt"
"v17g"	"1"	"Genannt"
"v17h"	"Variable Label"	"Anderes"
"v17h"	"Variable Label"	"Nicht genannt"
"v17h"	"1"	"Genannt"
"v17i"	"Variable Label"	"W.N./K.A."
"v17i"	"Variable Label"	"Nicht genannt"
"v17i"	"1"	"Genannt"
"v1a0"	"Variable Label"	"W.N./K.A."
"v1a0"	"Variable Label"	"Nicht genannt"
"v1a0"	"1"	"Genannt"
"v1a1"	"Variable Label"	"Niemand"
"v1a1"	"Variable Label"	"Nicht genannt"
"v1a1"	"1"	"Genannt"
"v1a2"	"Variable Label"	"Andere"
"v1a2"	"Variable Label"	"Nicht genannt"
"v1a2"	"1"	"Genannt"
"v1a3"	"Variable Label"	"Androsch"
"v1a3"	"Variable Label"	"Nicht genannt"
"v1a3"	"1"	"Genannt"
"v1a4"	"Variable Label"	"Bartenstein"
"v1a4"	"Variable Label"	"Nicht genannt"
"v1a4"	"1"	"Genannt"
"v1a5"	"Variable Label"	"Benya"
"v1a5"	"Variable Label"	"Nicht genannt"
"v1a5"	"1"	"Genannt"
"v1a6"	"Variable Label"	"Chorherr"
"v1a6"	"Variable Label"	"Nicht genannt"
"v1a6"	"1"	"Genannt"
"v1a7"	"Variable Label"	"Dietz"
"v1a7"	"Variable Label"	"Nicht genannt"
"v1a7"	"1"	"Genannt"
"v1a8"	"Variable Label"	"Dohr"
"v1a8"	"Variable Label"	"Nicht genannt"
"v1a8"	"1"	"Genannt"
"v1a9"	"Variable Label"	"Ederer"
"v1a9"	"Variable Label"	"Nicht genannt"
"v1a9"	"1"	"Genannt"
"v1am"	"Variable Label"	"Edlinger"
"v1am"	"Variable Label"	"Nicht genannt"
"v1am"	"1"	"Genannt"
"v1ap"	"Variable Label"	"Einem"
"v1ap"	"Variable Label"	"Nicht genannt"
"v1ap"	"1"	"Genannt"
"v1b0"	"Variable Label"	"Fasslabend"
"v1b0"	"Variable Label"	"Nicht genannt"
"v1b0"	"1"	"Genannt"
"v1b1"	"Variable Label"	"Fischer"
"v1b1"	"Variable Label"	"Nicht genannt"
"v1b1"	"1"	"Genannt"
"v1b2"	"Variable Label"	"Fischler"
"v1b2"	"Variable Label"	"Nicht genannt"
"v1b2"	"1"	"Genannt"
"v1b3"	"Variable Label"	"Frischenschlager"
"v1b3"	"Variable Label"	"Nicht genannt"
"v1b3"	"1"	"Genannt"
"v1b4"	"Variable Label"	"Gehrer"
"v1b4"	"Variable Label"	"Nicht genannt"
"v1b4"	"1"	"Genannt"
"v1b5"	"Variable Label"	"Haider"
