variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"4.- 6.9.1995"
"datum"	"2"	"7.-10.9.1995"
"datum"	"3"	"11.-13.9.1995"
"datum"	"4"	"14.-17.9.1995"
"datum"	"5"	"18.-20.9.1995"
"datum"	"6"	"21.-24.9.1995"
"datum"	"7"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v05"	"Variable Label"	"Image Vranitzky"
"v05"	"1"	"Kenne ihn nicht"
"v05"	"2"	"Fachmann"
"v05"	"3"	"Null"
"v05"	"4"	"Schwächling"
"v05"	"5"	"Streber"
"v05"	"6"	"Idealist"
"v05"	"7"	"Ehrenmann"
"v05"	"8"	"Volksmann"
"v05"	"9"	"Staatsmann"
"v05"	"10"	"Machtmensch"
"v05"	"11"	"Kämpfer"
"v05"	"12"	"Kein Begriff paßt"
"v05"	"13"	"Weiß nicht"
"v06"	"Variable Label"	"Image Schüssl"
"v06"	"1"	"Kenne ihn nicht"
"v06"	"2"	"Fachmann"
"v06"	"3"	"Null"
"v06"	"4"	"Schwächling"
"v06"	"5"	"Streber"
"v06"	"6"	"Idealist"
"v06"	"7"	"Ehrenmann"
"v06"	"8"	"Volksmann"
"v06"	"9"	"Staatsmann"
"v06"	"10"	"Machtmensch"
"v06"	"11"	"Kämpfer"
"v06"	"12"	"Kein Begriff paßt"
"v06"	"13"	"Weiß nicht"
"v07"	"Variable Label"	"Image Haider"
"v07"	"1"	"Kenne ihn nicht"
"v07"	"2"	"Fachmann"
"v07"	"3"	"Null"
"v07"	"4"	"Schwächling"
"v07"	"5"	"Streber"
"v07"	"6"	"Idealist"
"v07"	"7"	"Ehrenmann"
"v07"	"8"	"Volksmann"
"v07"	"9"	"Staatsmann"
"v07"	"10"	"Machtmensch"
"v07"	"11"	"Kämpfer"
"v07"	"12"	"Kein Begriff paßt"
"v07"	"13"	"Weiß nicht"
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Beruf"
"v11"	"Variable Label"	"Andere"
"v11"	"1"	"Hilfsarbeiter"
"v11"	"2"	"Facharbeiter"
"v11"	"3"	"Leitende Ang./Beamte"
"v11"	"4"	"Angestellte"
"v11"	"5"	"Beamte"
"v11"	"6"	"Rentner/Pensionisten"
"v11"	"7"	"Hausfrau"
"v11"	"8"	"Selbständig"
"v11"	"9"	"Landwirte"
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Burgenland"
"v12"	"3"	"Niederösterreich"
"v12"	"4"	"Oberösterreich"
"v12"	"5"	"Salzburg"
"v12"	"6"	"Tirol"
"v12"	"7"	"Vorarlberg"
"v12"	"8"	"Steiermark"
"v12"	"9"	"Kärnten"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"Unter 20 Jahren"
"v13"	"2"	"20 bis 25 Jahre"
"v13"	"3"	"26 bis 35 Jahre"
"v13"	"4"	"36 bis 50 Jahre"
"v13"	"5"	"51 bis 65 Jahre"
"v13"	"6"	"Über 65 Jahre"
"v14"	"Variable Label"	"Bildung"
"v14"	"1"	"Volksschule"
"v14"	"2"	"Hauptschule"
"v14"	"3"	"Berufs-/Handelsschule"
"v14"	"4"	"Matura"
"v14"	"5"	"Abg. Hochschule"
"v15"	"Variable Label"	"Parteipräferenz"
"v15"	"1"	"FPÖ"
"v15"	"2"	"KPÖ"
"v15"	"3"	"ÖVP"
"v15"	"4"	"SPÖ"
"v15"	"5"	"GAL"
"v15"	"6"	"LIF"
"v15"	"7"	"Keine"
"v16a"	"Variable Label"	"Kronen Zeitung"
"v16a"	"Variable Label"	"Nicht genannt"
"v16a"	"1"	"Genannt"
"v16b"	"Variable Label"	"Täglich Alles"
"v16b"	"Variable Label"	"Nicht genannt"
"v16b"	"1"	"Genannt"
"v16c"	"Variable Label"	"Kurier"
"v16c"	"Variable Label"	"Nicht genannt"
"v16c"	"1"	"Genannt"
"v16d"	"Variable Label"	"Presse"
"v16d"	"Variable Label"	"Nicht genannt"
"v16d"	"1"	"Genannt"
"v16e"	"Variable Label"	"SN"
"v16e"	"Variable Label"	"Nicht genannt"
"v16e"	"1"	"Genannt"
"v16f"	"Variable Label"	"Standard"
"v16f"	"Variable Label"	"Nicht genannt"
"v16f"	"1"	"Genannt"
"v16g"	"Variable Label"	"Kleine Zeitung"
"v16g"	"Variable Label"	"Nicht genannt"
"v16g"	"1"	"Genannt"
"v16h"	"Variable Label"	"Andere"
"v16h"	"Variable Label"	"Nicht genannt"
"v16h"	"1"	"Genannt"
"v16i"	"Variable Label"	"Keine"
"v16i"	"Variable Label"	"Nicht genannt"
"v16i"	"1"	"Genannt"
"v16j"	"Variable Label"	"K.A."
"v16j"	"Variable Label"	"Nicht genannt"
"v16j"	"1"	"Genannt"
"v1a0"	"Variable Label"	"W.N./K.A."
"v1a0"	"Variable Label"	"Nicht genannt"
"v1a0"	"1"	"Genannt"
"v1a1"	"Variable Label"	"Niemand"
"v1a1"	"Variable Label"	"Nicht genannt"
"v1a1"	"1"	"Genannt"
"v1a2"	"Variable Label"	"Andere"
"v1a2"	"Variable Label"	"Nicht genannt"
"v1a2"	"1"	"Genannt"
"v1a3"	"Variable Label"	"Androsch"
"v1a3"	"Variable Label"	"Nicht genannt"
"v1a3"	"1"	"Genannt"
"v1a4"	"Variable Label"	"Ausserwinkler"
"v1a4"	"Variable Label"	"Nicht genannt"
"v1a4"	"1"	"Genannt"
"v1a5"	"Variable Label"	"Bartenstein"
"v1a5"	"Variable Label"	"Nicht genannt"
"v1a5"	"1"	"Genannt"
"v1a6"	"Variable Label"	"Benya"
"v1a6"	"Variable Label"	"Nicht genannt"
"v1a6"	"1"	"Genannt"
"v1a7"	"Variable Label"	"Busek"
"v1a7"	"Variable Label"	"Nicht genannt"
"v1a7"	"1"	"Genannt"
"v1a8"	"Variable Label"	"Cap"
"v1a8"	"Variable Label"	"Nicht genannt"
"v1a8"	"1"	"Genannt"
"v1a9"	"Variable Label"	"Dietz"
"v1a9"	"Variable Label"	"Nicht genannt"
"v1a9"	"1"	"Genannt"
"v1ami"	"Variable Label"	"Dohnal"
"v1ami"	"Variable Label"	"Nicht genannt"
"v1ami"	"1"	"Genannt"
"v1apl"	"Variable Label"	"Ederer"
"v1apl"	"Variable Label"	"Nicht genannt"
"v1apl"	"1"	"Genannt"
"v1b0"	"Variable Label"	"Einem"
"v1b0"	"Variable Label"	"Nicht genannt"
"v1b0"	"1"	"Genannt"
"v1b1"	"Variable Label"	"Fasslabend"
"v1b1"	"Variable Label"	"Nicht genannt"
"v1b1"	"1"	"Genannt"
"v1b2"	"Variable Label"	"Fischer"
"v1b2"	"Variable Label"	"Nicht genannt"
"v1b2"	"1"	"Genannt"
"v1b3"	"Variable Label"	"Fischler"
"v1b3"	"Variable Label"	"Nicht genannt"
"v1b3"	"1"	"Genannt"
"v1b4"	"Variable Label"	"Gehrer"
"v1b4"	"Variable Label"	"Nicht genannt"
"v1b4"	"1"	"Genannt"
"v1b5"	"Variable Label"	"Haider"
"v1b5"	"Variable Label"	"Nicht genannt"
"v1b5"	"1"	"Genannt"
"v1b6"	"Variable Label"	"Häupl"
"v1b6"	"Variable Label"	"Nicht genannt"
"v1b6"	"1"	"Genannt"
"v1b7"	"Variable Label"	"Hostasch"
"v1b7"	"Variable Label"	"Nicht genannt"
"v1b7"	"1"	"Genannt"
"v1b8"	"Variable Label"	"Hums"
"v1b8"	"Variable Label"	"Nicht genannt"
"v1b8"	"1"	"Genannt"
"v1b9"	"Variable Label"	"Katschthaler"
"v1b9"	"Variable Label"	"Nicht genannt"
"v1b9"	"1"	"Genannt"
"v1bmi"	"Variable Label"	"Klestil"
"v1bmi"	"Variable Label"	"Nicht genannt"
"v1bmi"	"1"	"Genannt"
"v1bpl"	"Variable Label"	"Klima"
"v1bpl"	"Variable Label"	"Nicht genannt"
"v1bpl"	"1"	"Genannt"
"v1c0"	"Variable Label"	"Konrad"
"v1c0"	"Variable Label"	"Nicht genannt"
"v1c0"	"1"	"Genannt"
"v1c1"	"Variable Label"	"Korosec"
"v1c1"	"Variable Label"	"Nicht genannt"
"v1c1"	"1"	"Genannt"
"v1c2"	"Variable Label"	"Kostelka"
"v1c2"	"Variable Label"	"Nicht genannt"
"v1c2"	"1"	"Genannt"
"v1c3"	"Variable Label"	"Krainer"
"v1c3"	"Variable Label"	"Nicht genannt"
"v1c3"	"1"	"Genannt"
"v1c4"	"Variable Label"	"Krammer"
"v1c4"	"Variable Label"	"Nicht genannt"
"v1c4"	"1"	"Genannt"
"v1c5"	"Variable Label"	"Lacina"
"v1c5"	"Variable Label"	"Nicht genannt"
"v1c5"	"1"	"Genannt"
"v1c6"	"Variable Label"	"Löschnak"
"v1c6"	"Variable Label"	"Nicht genannt"
"v1c6"	"1"	"Genannt"
"v1c7"	"Variable Label"	"Maderthaner"
"v1c7"	"Variable Label"	"Nicht genannt"
"v1c7"	"1"	"Genannt"
"v1c8"	"Variable Label"	"Mock"
"v1c8"	"Variable Label"	"Nicht genannt"
"v1c8"	"1"	"Genannt"
"v1c9"	"Variable Label"	"Neisser"
"v1c9"	"Variable Label"	"Nicht genannt"
"v1c9"	"1"	"Genannt"
"v1cmi"	"Variable Label"	"Petrovic"
"v1cmi"	"Variable Label"	"Nicht genannt"
"v1cmi"	"1"	"Genannt"
"v1cpl"	"Variable Label"	"Pilz"
"v1cpl"	"Variable Label"	"Nicht genannt"
"v1cpl"	"1"	"Genannt"
"v1d0"	"Variable Label"	"Pröll"
"v1d0"	"Variable Label"	"Nicht genannt"
"v1d0"	"1"	"Genannt"
"v1d1"	"Variable Label"	"Purtscher"
"v1d1"	"Variable Label"	"Nicht genannt"
"v1d1"	"1"	"Genannt"
"v1d2"	"Variable Label"	"Rauch-Kallat"
"v1d2"	"Variable Label"	"Nicht genannt"
"v1d2"	"1"	"Genannt"
"v1d3"	"Variable Label"	"Schmidt"
"v1d3"	"Variable Label"	"Nicht genannt"
"v1d3"	"1"	"Genannt"
"v1d4"	"Variable Label"	"Scholten"
"v1d4"	"Variable Label"	"Nicht genannt"
"v1d4"	"1"	"Genannt"
"v1d5"	"Variable Label"	"Schüssl"
"v1d5"	"Variable Label"	"Nicht genannt"
"v1d5"	"1"	"Genannt"
"v1d6"	"Variable Label"	"Staribacher"
"v1d6"	"Variable Label"	"Nicht genannt"
"v1d6"	"1"	"Genannt"
"v1d7"	"Variable Label"	"Verzetnitsch"
"v1d7"	"Variable Label"	"Nicht genannt"
"v1d7"	"1"	"Genannt"
"v1d8"	"Variable Label"	"Vranitzky"
"v1d8"	"Variable Label"	"Nicht genannt"
"v1d8"	"1"	"Genannt"
"v1d9"	"Variable Label"	"Weingartner"
"v1d9"	"Variable Label"	"Nicht genannt"
"v1d9"	"1"	"Genannt"
"v1dmi"	"Variable Label"	"Zernatto"
"v1dmi"	"Variable Label"	"Nicht genannt"
"v1dmi"	"1"	"Genannt"
"v1dpl"	"Variable Label"	"Zilk"
"v1dpl"	"Variable Label"	"Nicht genannt"
"v1dpl"	"1"	"Genannt"
"v2a"	"Variable Label"	"SPÖ:kraftvoll/kraftlos"
"v2a"	"1"	"kraftvoll"
"v2a"	"2"	"kraftlos"
"v2a"	"3"	"weder noch"
"v2b"	"Variable Label"	"SPÖ:modern/altmodisch"
"v2b"	"1"	"modern"
"v2b"	"2"	"altmodisch"
"v2b"	"3"	"weder noch"
"v2c"	"Variable Label"	"SPÖ:sauber/korrupt"
"v2c"	"1"	"sauber"
"v2c"	"2"	"korrupt"
"v2c"	"3"	"weder noch"
"v2d"	"Variable Label"	"SPÖ:erfolgreich/erfolglos"
"v2d"	"1"	"erfolgreich"
"v2d"	"2"	"erfolglos"
"v2d"	"3"	"weder noch"
"v2e"	"Variable Label"	"SPÖ:sparsam/verschwenderisch"
"v2e"	"1"	"sparsam"
"v2e"	"2"	"verschwenderisch"
"v2e"	"3"	"weder noch"
"v2f"	"Variable Label"	"SPÖ:zielbewußt/verworren"
"v2f"	"1"	"zielbewußt"
"v2f"	"2"	"verworren"
"v2f"	"3"	"weder noch"
"v2g"	"Variable Label"	"SPÖ:energisch/lax"
"v2g"	"1"	"energisch"
"v2g"	"2"	"lax"
"v2g"	"3"	"weder noch"
"v2h"	"Variable Label"	"SPÖ:einig/zerstritten"
"v2h"	"1"	"einig"
"v2h"	"2"	"zerstritten"
"v2h"	"3"	"weder noch"
"v3a"	"Variable Label"	"ÖVP:kraftvoll/kraftlos"
"v3a"	"1"	"kraftvoll"
"v3a"	"2"	"kraftlos"
"v3a"	"3"	"weder noch"
"v3b"	"Variable Label"	"ÖVP:modern/altmodisch"
"v3b"	"1"	"modern"
"v3b"	"2"	"altmodisch"
"v3b"	"3"	"weder noch"
"v3c"	"Variable Label"	"ÖVP:sauber/korrupt"
"v3c"	"1"	"sauber"
"v3c"	"2"	"korrupt"
"v3c"	"3"	"weder noch"
"v3d"	"Variable Label"	"ÖVP:erfolgreich/erfolglos"
"v3d"	"1"	"sparsam"
"v3d"	"2"	"verschwenderisch"
"v3d"	"3"	"weder noch"
"v3e"	"Variable Label"	"ÖVP:sparsam/verschwenderisch"
"v3e"	"1"	"sparsam"
"v3e"	"2"	"verschwenderisch"
"v3e"	"3"	"weder noch"
"v3f"	"Variable Label"	"ÖVP:zielbewußt/verworren"
"v3f"	"1"	"zielbewußt"
"v3f"	"2"	"verworren"
"v3f"	"3"	"weder noch"
"v3g"	"Variable Label"	"ÖVP:energisch/lax"
"v3g"	"1"	"energisch"
"v3g"	"2"	"lax"
"v3g"	"3"	"weder noch"
"v3h"	"Variable Label"	"ÖVP:einig/zerstritten"
"v3h"	"1"	"einig"
"v3h"	"2"	"zerstritten"
"v3h"	"3"	"weder noch"
"v4a"	"Variable Label"	"FPÖ:kraftvoll/kraftlos"
"v4a"	"1"	"kraftvoll"
"v4a"	"2"	"kraftlos"
"v4a"	"3"	"weder noch"
"v4b"	"Variable Label"	"FPÖ:modern/altmodisch"
"v4b"	"1"	"modern"
"v4b"	"2"	"altmodisch"
"v4b"	"3"	"weder noch"
"v4c"	"Variable Label"	"FPÖ:sauber/korrupt"
"v4c"	"1"	"sauber"
"v4c"	"2"	"korrupt"
"v4c"	"3"	"weder noch"
"v4d"	"Variable Label"	"FPÖ:erfolgreich/erfolglos"
"v4d"	"1"	"erfolgreich"
"v4d"	"2"	"erfolglos"
"v4d"	"3"	"weder noch"
"v4e"	"Variable Label"	"FPÖ:sparsam/verschwenderisch"
"v4e"	"1"	"sparsam"
"v4e"	"2"	"verschwenderisch"
"v4e"	"3"	"weder noch"
"v4f"	"Variable Label"	"FPÖ:zielbewußt/verworren"
"v4f"	"1"	"zielbewußt"
"v4f"	"2"	"verworren"
"v4f"	"3"	"weder noch"
