variable	value	Label
"af1"	"Variable Label"	"Informiertheit vor Stud.beg.: Aufbau des Studiums"
"af1"	"-99"	"Keine Angabe"
"af1"	"-98"	"Unplausible Angabe"
"af1"	"-97"	"Abgebrochen"
"af1"	"-96"	"Gefiltert"
"af1"	"1"	" sehr gut"
"af1"	"5"	" gar nicht"
"af10"	"Variable Label"	"Vorbereitung auf Studium: Verfassen von schriftlichen Arbeiten"
"af10"	"-99"	"Keine Angabe"
"af10"	"-98"	"Unplausible Angabe"
"af10"	"-97"	"Abgebrochen"
"af10"	"-96"	"Gefiltert"
"af10"	"1"	" sehr gut"
"af10"	"5"	" sehr schlecht"
"af10"	"6"	"In meinem Hauptstudium nicht notwendig"
"af11"	"Variable Label"	"Vorbereitung auf Studium: Mathematik"
"af11"	"-99"	"Keine Angabe"
"af11"	"-98"	"Unplausible Angabe"
"af11"	"-97"	"Abgebrochen"
"af11"	"-96"	"Gefiltert"
"af11"	"1"	" sehr gut"
"af11"	"5"	" sehr schlecht"
"af11"	"6"	"In meinem Hauptstudium nicht notwendig"
"af12"	"Variable Label"	"Vorbereitung auf Studium: Englisch"
"af12"	"-99"	"Keine Angabe"
"af12"	"-98"	"Unplausible Angabe"
"af12"	"-97"	"Abgebrochen"
"af12"	"-96"	"Gefiltert"
"af12"	"1"	" sehr gut"
"af12"	"5"	" sehr schlecht"
"af12"	"6"	"In meinem Hauptstudium nicht notwendig"
"af13"	"Variable Label"	"Vorbereitung auf Studium: Referieren, Praesentieren"
"af13"	"-99"	"Keine Angabe"
"af13"	"-98"	"Unplausible Angabe"
"af13"	"-97"	"Abgebrochen"
"af13"	"-96"	"Gefiltert"
"af13"	"1"	" sehr gut"
"af13"	"5"	" sehr schlecht"
"af13"	"6"	"In meinem Hauptstudium nicht notwendig"
"af14"	"Variable Label"	"Vorbereitung auf Studium: Computerkenntnisse"
"af14"	"-99"	"Keine Angabe"
"af14"	"-98"	"Unplausible Angabe"
"af14"	"-97"	"Abgebrochen"
"af14"	"-96"	"Gefiltert"
"af14"	"1"	" sehr gut"
"af14"	"5"	" sehr schlecht"
"af14"	"6"	"In meinem Hauptstudium nicht notwendig"
"af15_v19"	"Variable Label"	"Beratung an der Schule durch Lehrer/innen"
"af15_v19"	"-99"	"Keine Angabe"
"af15_v19"	"-98"	"Unplausible Angabe"
"af15_v19"	"-97"	"Abgebrochen"
"af15_v19"	"-96"	"Gefiltert"
"af15_v19"	"1"	" ja"
"af15_v19"	"2"	" nein"
"af15_v19"	"3"	" kenne ich nicht"
"af16_v19"	"Variable Label"	"Beratung an der Schule durch Studierende"
"af16_v19"	"-99"	"Keine Angabe"
"af16_v19"	"-98"	"Unplausible Angabe"
"af16_v19"	"-97"	"Abgebrochen"
"af16_v19"	"-96"	"Gefiltert"
"af16_v19"	"1"	" ja"
"af16_v19"	"2"	" nein"
"af16_v19"	"3"	" kenne ich nicht"
"af17"	"Variable Label"	"Beratung an der Schule durch Hochschule"
"af17"	"-99"	"Keine Angabe"
"af17"	"-98"	"Unplausible Angabe"
"af17"	"-97"	"Abgebrochen"
"af17"	"-96"	"Gefiltert"
"af17"	"1"	" ja"
"af17"	"2"	" nein"
"af17"	"3"	" kenne ich nicht"
"af18_v19"	"Variable Label"	"Beratung an der Hochschule durch Hochschule selbst"
"af18_v19"	"-99"	"Keine Angabe"
"af18_v19"	"-98"	"Unplausible Angabe"
"af18_v19"	"-97"	"Abgebrochen"
"af18_v19"	"-96"	"Gefiltert"
"af18_v19"	"1"	" ja"
"af18_v19"	"2"	" nein"
"af18_v19"	"3"	" kenne ich nicht"
"af19"	"Variable Label"	"Beratung an der Hochschule durch Studienvertretung/OeH"
"af19"	"-99"	"Keine Angabe"
"af19"	"-98"	"Unplausible Angabe"
"af19"	"-97"	"Abgebrochen"
"af19"	"-96"	"Gefiltert"
"af19"	"1"	" ja"
"af19"	"2"	" nein"
"af19"	"3"	" kenne ich nicht"
"af2"	"Variable Label"	"Informiertheit vor Stud.beg.: Studieninhalte"
"af2"	"-99"	"Keine Angabe"
"af2"	"-98"	"Unplausible Angabe"
"af2"	"-97"	"Abgebrochen"
"af2"	"-96"	"Gefiltert"
"af2"	"1"	" sehr gut"
"af2"	"5"	" gar nicht"
"af20"	"Variable Label"	"Beratung an der Hochschule durch das Programm „Studieren probieren“"
"af20"	"-99"	"Keine Angabe"
"af20"	"-98"	"Unplausible Angabe"
"af20"	"-97"	"Abgebrochen"
"af20"	"-96"	"Gefiltert"
"af20"	"1"	" ja"
"af20"	"2"	" nein"
"af20"	"3"	" kenne ich nicht"
"af21_v19"	"Variable Label"	"Wie hilfreich? Beratung an der Schule durch Lehrer/innen"
"af21_v19"	"-99"	"Keine Angabe"
"af21_v19"	"-98"	"Unplausible Angabe"
"af21_v19"	"-97"	"Abgebrochen"
"af21_v19"	"-96"	"Gefiltert"
"af21_v19"	"1"	" sehr hilfreich"
"af21_v19"	"5"	" gar nicht hilfreich"
"af22_v19"	"Variable Label"	"Wie hilfreich? Beratung an der Schule durch Studierende"
"af22_v19"	"-99"	"Keine Angabe"
"af22_v19"	"-98"	"Unplausible Angabe"
"af22_v19"	"-97"	"Abgebrochen"
"af22_v19"	"-96"	"Gefiltert"
"af22_v19"	"1"	" sehr hilfreich"
"af22_v19"	"5"	" gar nicht hilfreich"
"af23"	"Variable Label"	"Wie hilfreich? Beratung an der Schule durch Hochschule"
"af23"	"-99"	"Keine Angabe"
"af23"	"-98"	"Unplausible Angabe"
"af23"	"-97"	"Abgebrochen"
"af23"	"-96"	"Gefiltert"
"af23"	"1"	" sehr hilfreich"
"af23"	"5"	" gar nicht hilfreich"
