variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"10.10.-14.10.1990"
"datum"	"2"	"15.10.-17.10.1990"
"datum"	"3"	"18.10.-21-10.1990"
"datum"	"4"	"22.10.-25.10.1990"
"datum"	"5"	"26.10.-30.10.1990"
"datum"	"6"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Auswirkungen der deutschen Wiedervereinigung auf Österreich"
"v01"	"1"	"gestärkt"
"v01"	"2"	"überhaupt nicht berührt"
"v01"	"3"	"bedroht"
"v01"	"4"	"weiß nicht"
"v02"	"Variable Label"	"Regierungspräferenzen"
"v02"	"1"	"Alleinregierung SPÖ"
"v02"	"2"	"Alleinregierung ÖVP"
"v02"	"3"	"Große Koalition unter SPÖ-Führung"
"v02"	"4"	"Große Koalition unter ÖVP-Führung"
"v02"	"5"	"Kleine Koalition SPÖ-FPÖ"
"v02"	"6"	"Kleine Koalition ÖVP-FPÖ"
"v02"	"7"	"Kleine Koalition SPÖ-Grüne"
"v02"	"8"	"Kleine Koalition ÖVP-Grüne"
"v02"	"9"	"Regierung aller Parteien unter SPÖ-Führung"
"v02"	"10"	"Regierung aller Parteien unter ÖVP-Führung"
"v02"	"11"	"Weiß nicht"
"v03a1"	"Variable Label"	"Kampf gegen Preissteigerungen"
"v03a1"	"1"	"außerordentlich wichtig"
"v03a1"	"2"	"wichtig"
"v03a1"	"3"	"nicht so wichtig"
"v03a1"	"4"	"weiß nicht"
"v03a2"	"Variable Label"	"Stillegung der Kernkraftwerke im Ausland"
"v03a2"	"1"	"außerordentlich wichtig"
"v03a2"	"2"	"wichtig"
"v03a2"	"3"	"nicht so wichtig"
"v03a2"	"4"	"weiß nicht"
"v03a3"	"Variable Label"	"Sicherung der Pensionen"
"v03a3"	"1"	"außerordentlich wichtig"
"v03a3"	"2"	"wichtig"
"v03a3"	"3"	"nicht so wichtig"
"v03a3"	"4"	"weiß nicht"
"v03a4"	"Variable Label"	"Begrenzung der Zuwanderung von Ausländern"
"v03a4"	"1"	"außerordentlich wichtig"
"v03a4"	"2"	"wichtig"
"v03a4"	"3"	"nicht so wichtig"
"v03a4"	"4"	"weiß nicht"
