variable	value	Label
"alter2"	"Variable Label"	"Alter"
"alter2"	"1"	"bis 35 Jahre"
"alter2"	"2"	"36-50 Jahre"
"alter2"	"3"	"51-65 Jahre"
"alter2"	"4"	"ab 66 Jahre"
"bezirke"	"Variable Label"	"Bezirke"
"bezirke"	"1"	"1. & 3. - 9. Bezirk"
"bezirke"	"2"	"2. & 20.-22. Bezirk"
"bezirke"	"3"	"10.-19. & 23. Bezirk"
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewbild"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Einstellung zur Nützlichkeit des technischen Fortschritts"
"v1"	"1"	"sehr nützen"
"v1"	"2"	"eher nützen"
"v1"	"3"	"eher schaden"
"v1"	"4"	"sehr schaden"
"v1"	"5"	"W.N./K.A."
"v10a"	"Variable Label"	"Naturwissenschaftliche Forschung"
"v10a"	"1"	"sehr wichtig"
"v10a"	"2"	"wichtig"
"v10a"	"3"	"weniger wichtig"
"v10a"	"4"	"unwichtig"
"v10a"	"5"	"W.N./K.A."
"v10b"	"Variable Label"	"Medizinische Forschung"
"v10b"	"1"	"sehr wichtig"
"v10b"	"2"	"wichtig"
"v10b"	"3"	"weniger wichtig"
"v10b"	"4"	"unwichtig"
"v10b"	"5"	"W.N./K.A."
"v10c"	"Variable Label"	"Wirtschaftswissenschaftliche Forschung"
"v10c"	"1"	"sehr wichtig"
"v10c"	"2"	"wichtig"
"v10c"	"3"	"weniger wichtig"
"v10c"	"4"	"unwichtig"
"v10c"	"5"	"W.N./K.A."
"v10d"	"Variable Label"	"Sozialwissenschaftliche Forschung"
"v10d"	"1"	"sehr wichtig"
"v10d"	"2"	"wichtig"
"v10d"	"3"	"weniger wichtig"
"v10d"	"4"	"unwichtig"
"v10d"	"5"	"W.N./K.A."
"v10e"	"Variable Label"	"Geistes- u. Kulturwissenschaftliche Forschung"
"v10e"	"1"	"sehr wichtig"
"v10e"	"2"	"wichtig"
"v10e"	"3"	"weniger wichtig"
"v10e"	"4"	"unwichtig"
"v10e"	"5"	"W.N./K.A."
"v11"	"Variable Label"	"Wirtschaftlicher Nutzen der Wissenschaft für Wien"
"v11"	"1"	"sehr großen Nutzen"
"v11"	"2"	"großen Nutzen"
"v11"	"3"	"geringen Nutzen"
