variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"3.9.- 5.9.1993"
"datum"	"2"	"6.9.- 8.9.1993"
"datum"	"3"	"9.9.-12.9.1993"
"datum"	"4"	"13.9.-15.9.1993"
"datum"	"5"	"16.9.-19.9.1993"
"datum"	"6"	"20.9.-22.9.1993"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Möglichkeit, arbeitslos zu werden"
"v01"	"1"	"Schon jemand arbeitslos in der Familie"
"v01"	"2"	"Halte ich für möglich"
"v01"	"3"	"Glaube ich nicht"
"v01"	"4"	"Unmöglich zu sagen"
"v01"	"5"	"Weiß nicht"
"v02"	"Variable Label"	"Mobilitätsbereitschaft im Falle von Arbeitslosigkeit"
"v02"	"1"	"UNter allen Umständen in der Nähe"
"v02"	"2"	"Würde Anfahrtszeit in Kauf nehmen"
"v02"	"3"	"Würde auch wegziehen"
"v02"	"4"	"Bin nicht berufstätig"
"v02"	"5"	"Weiß nicht"
"v03"	"Variable Label"	"Umschulungsbereitschaft im Falle von Arbeitslosigkeit"
"v03"	"1"	"Ja"
"v03"	"2"	"Nur wenn aussichtslos, in meinem Beruf unterzukommen"
"v03"	"3"	"Nein"
"v03"	"4"	"Bin nicht berufstätig"
"v03"	"5"	"Weiß nicht"
"v05"	"Variable Label"	"Bekannte Maßnahmen gegen Jugendarbeitslosigkeit"
"v05"	"1"	"Ja"
"v05"	"2"	"Nein"
"v05"	"3"	"Weiß nicht"
"v07"	"Variable Label"	"Bekannte Maßnahmen gegen Seniorenarbeitslosigkeit"
"v07"	"1"	"Ja"
"v07"	"2"	"Nein"
"v07"	"3"	"Weiß nicht"
"v09"	"Variable Label"	"Effizienz einer Regelung zum Schutz älterer Arbeitnehmer"
"v09"	"1"	"Ja"
"v09"	"2"	"Nein"
"v09"	"3"	"Weiß nicht"
"v10a"	"Variable Label"	"Arbeitsämter:Erfolgreich/Erfolglos"
"v10a"	"1"	"erfolgreich"
"v10a"	"2"	"erfolglos"
"v10a"	"3"	"weder noch"
"v10a"	"4"	"weiß nicht"
"v10b"	"Variable Label"	"Arbeitsämter:Bemüht/Nachlässig"
"v10b"	"1"	"bemüht"
"v10b"	"2"	"nachlässig"
"v10b"	"3"	"weder noch"
"v10b"	"4"	"weiß nicht"
"v10c"	"Variable Label"	"Arbeitsämter:Bürokratisch/Unbürokratisch"
"v10c"	"1"	"bürokratisch"
"v10c"	"2"	"unbürokratisch"
"v10c"	"3"	"weder noch"
"v10c"	"4"	"weiß nicht"
"v10d"	"Variable Label"	"Arbeitsämter:Hilfreich/Nutzlos"
"v10d"	"1"	"hilfreich"
"v10d"	"2"	"nutzlos"
"v10d"	"3"	"weder noch"
"v10d"	"4"	"weiß nicht"
"v10e"	"Variable Label"	"Arbeitsämter:Wirtschaftsnah/Wirtschaftsfern"
"v10e"	"1"	"wirtschaftsnah"
"v10e"	"2"	"wirtschaftsfern"
"v10e"	"3"	"weder noch"
"v10e"	"4"	"weiß nicht"
