variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Einführung eines Punkteführerscheins"
"v01"	"1"	"Unbedingt dafür"
"v01"	"2"	"Eher dafür"
"v01"	"3"	"Eher dagegen"
"v01"	"4"	"Unbedingt dagegen"
"v01"	"5"	"W.N./K.A."
"v03"	"Variable Label"	"Welche Promiliie-Grenze"
"v03"	"1"	"0,8 beibehalten"
"v03"	"2"	"auf 0,5 herabsatzen"
"v03"	"3"	"auf 0,0 herabsetzen"
"v03"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Fahrräder mit Nummerntafeln?"
"v04"	"1"	"Ja"
"v04"	"2"	"Nein"
"v04"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Beurteilung von Minister Klima"
"v05"	"1"	"Sehr gut"
"v05"	"2"	"Gut"
"v05"	"3"	"Befriedigend"
"v05"	"4"	"Genügend"
"v05"	"5"	"Nicht genügend"
"v05"	"6"	"W.N./K.A."
"v07"	"Variable Label"	"Was ist größere Belastung: Mülldeponie oder Müllverbrennung?"
"v07"	"1"	"Mülledponie"
"v07"	"2"	"Müllverbrennungsanlage"
"v07"	"3"	"Beide gleich"
"v07"	"4"	"W.N./K.A."
"v08"	"Variable Label"	"Entscheidung für Mülldeponie oder Müllverbrennung"
"v08"	"1"	"Mülldeponie"
"v08"	"2"	"Müllverbrennungsanlage"
"v08"	"3"	"W.N./K.A."
"v09"	"Variable Label"	"Was belastet Umwelt mehr: Wasserkraftwerk oder Wärmekraft?"
"v09"	"1"	"Wasserkraftwerk"
"v09"	"2"	"Wärmekraftwerk"
"v09"	"3"	"Beide gleich"
"v09"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Entscheidung für Wasserkraftwerk oder Wärmekraftwerk"
"v10"	"1"	"Wasserkraftwerk"
"v10"	"2"	"Wäremkraftwerk"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Modernisierung oder Nutzung alternativer Energiequellen?"
"v11"	"1"	"Modernisierung alter Kraftwerke"
"v11"	"2"	"Nutzung alternativer Energiequellen"
"v11"	"3"	"Andere Antworten"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Monatliches Aufkommen zur Luftverbesserung"
"v12"	"1"	"Bis zu S  10,-"
"v12"	"2"	"Bis zu S  50,-"
"v12"	"3"	"Bis zu S 100,-"
"v12"	"4"	"Bis zu S 500,-"
"v12"	"5"	"Nichts"
"v12"	"6"	"W.N./K.A."
"v13"	"Variable Label"	"Monatliches Aufkommen zur Verschönerung der Region"
"v13"	"1"	"Bis zu S  10,-"
"v13"	"2"	"Bis zu S  50,-"
"v13"	"3"	"Bis zu S 100,-"
"v13"	"4"	"Bis zu S 500,-"
"v13"	"5"	"Nichts"
"v13"	"6"	"W.N./K.A."
"v14"	"Variable Label"	"Monatliches Aufkommen zur Verringerung des Lärms"
"v14"	"1"	"Bis zu S  10,-"
"v14"	"2"	"Bis zu S  50,-"
"v14"	"3"	"Bis zu S 100,-"
"v14"	"4"	"Bis zu S 500,-"
"v14"	"5"	"Nichts"
"v14"	"6"	"W.N./K.A."
"v15"	"Variable Label"	"Geschlecht"
"v15"	"1"	"Männlich"
"v15"	"2"	"Weiblich"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"16 bis 24 Jahre"
"v16"	"2"	"25 bis 39 Jahre"
"v16"	"3"	"40 bis 59 Jahre"
"v16"	"4"	"Ab 60 Jahre"
"v17"	"Variable Label"	"Bildung"
"v17"	"1"	"Matura/Universität"
"v17"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v17"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v18"	"Variable Label"	"Tätigkeit"
"v18"	"1"	"In Ausbildung"
"v18"	"2"	"Nicht berufstätig"
"v18"	"3"	"Pension"
"v18"	"4"	"Selbständig/Landwirt"
"v18"	"5"	"Arbeiter"
"v18"	"6"	"Angestellte"
"v19"	"Variable Label"	"Parteipräferenz"
"v19"	"1"	"SPÖ"
"v19"	"2"	"ÖVP"
"v19"	"3"	"FPÖ"
"v19"	"4"	"KPÖ"
"v19"	"5"	"GAL"
"v19"	"6"	"LIF"
"v19"	"7"	"Keine"
"v19"	"8"	"K.A."
"v20"	"Variable Label"	"Bundesland"
"v20"	"1"	"Wien"
"v20"	"2"	"Niederösterreich"
"v20"	"3"	"Burgenland"
"v20"	"4"	"Steiermark"
"v20"	"5"	"Kärnten"
"v20"	"6"	"Oberösterreich"
"v20"	"7"	"Salzburg"
"v20"	"8"	"Tirol"
"v20"	"9"	"Vorarberg"
"v21a"	"Variable Label"	"A-Führerschein"
"v21a"	"Variable Label"	"Nein"
"v21a"	"1"	"Ja"
"v21b"	"Variable Label"	"B-Führerschein"
"v21b"	"Variable Label"	"Nein"
"v21b"	"1"	"Ja"
"v21c"	"Variable Label"	"C-Führerschein"
"v21c"	"Variable Label"	"Nein"
"v21c"	"1"	"Ja"
"v21d"	"Variable Label"	"Andere"
"v21d"	"Variable Label"	"Nein"
"v21d"	"1"	"Ja"
"v21e"	"Variable Label"	"Keine"
"v21e"	"Variable Label"	"Nein"
"v21e"	"1"	"Ja"
"v2a"	"Variable Label"	"Alkohol am Steuer"
"v2a"	"Variable Label"	"0"
"v2a"	"1"	"1"
"v2a"	"2"	"2"
"v2a"	"3"	"3"
"v2a"	"4"	"4"
"v2a"	"5"	"5"
"v2a"	"6"	"6"
"v2a"	"7"	"7"
"v2a"	"8"	"8"
"v2a"	"9"	"9"
"v2a"	"10"	"10"
"v2a"	"11"	"11"
"v2a"	"12"	"12"
"v2a"	"13"	"13"
"v2a"	"14"	"14"
"v2a"	"15"	"15"
"v2a"	"16"	"16"
"v2a"	"17"	"17"
"v2a"	"18"	"18"
"v2a"	"19"	"19"
"v2a"	"20"	"20"
"v2a"	"21"	"21"
"v2a"	"22"	"22"
"v2a"	"23"	"23"
"v2a"	"24"	"24"
"v2a"	"25"	"25"
"v2a"	"26"	"26"
"v2a"	"27"	"27"
"v2a"	"28"	"28"
"v2a"	"29"	"29"
"v2a"	"30"	"30"
"v2a"	"31"	"31"
"v2a"	"32"	"32"
"v2a"	"33"	"33"
"v2a"	"34"	"34"
"v2a"	"35"	"35"
"v2a"	"36"	"36"
"v2a"	"37"	"37"
"v2a"	"38"	"38"
"v2a"	"39"	"39"
"v2a"	"40"	"40"
"v2a"	"41"	"41"
"v2a"	"42"	"42"
"v2a"	"43"	"43"
"v2a"	"44"	"44"
"v2a"	"45"	"45"
"v2a"	"46"	"46"
"v2a"	"47"	"47"
"v2a"	"48"	"48"
"v2a"	"49"	"49"
"v2a"	"50"	"50"
