variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Soll Österreich Mitglied der Europäischen Union bleiben oder wieder austreten?"
"v1"	"1"	"in der EU bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10_1"	"Variable Label"	"W.N./K.A."
"v10_1"	"Variable Label"	"nicht genannt"
"v10_1"	"1"	"genannt"
"v10_10"	"Variable Label"	"Schengen-Abkommen, Sicherheit"
"v10_10"	"Variable Label"	"nicht genannt"
"v10_10"	"1"	"genannt"
"v10_2"	"Variable Label"	"Keine"
"v10_2"	"Variable Label"	"nicht genannt"
"v10_2"	"1"	"genannt"
"v10_3"	"Variable Label"	"Anderes"
"v10_3"	"Variable Label"	"nicht genannt"
"v10_3"	"1"	"genannt"
"v10_4"	"Variable Label"	"Gemeinsame Währung/ EURO/ kein Geldwechsel"
"v10_4"	"Variable Label"	"nicht genannt"
"v10_4"	"1"	"genannt"
"v10_5"	"Variable Label"	"Offene Grenzen, Reisefreiheit, keine Passkontrollen, Tourismus"
"v10_5"	"Variable Label"	"nicht genannt"
"v10_5"	"1"	"genannt"
"v10_6"	"Variable Label"	"Gute Wirtschaft, freier Handel, Marktwirtschaft, Globalisierung"
"v10_6"	"Variable Label"	"nicht genannt"
"v10_6"	"1"	"genannt"
"v10_7"	"Variable Label"	"Arbeitsmöglichkeiten in anderen EU-Staaten"
"v10_7"	"Variable Label"	"nicht genannt"
"v10_7"	"1"	"genannt"
"v10_8"	"Variable Label"	"EU-Förderungen"
"v10_8"	"Variable Label"	"nicht genannt"
"v10_8"	"1"	"genannt"
"v10_9"	"Variable Label"	"Europa wächst zusammen"
"v10_9"	"Variable Label"	"nicht genannt"
"v10_9"	"1"	"genannt"
"v11_1"	"Variable Label"	"W.N./K.A."
"v11_1"	"Variable Label"	"nicht genannt"
"v11_1"	"1"	"genannt"
"v11_10"	"Variable Label"	"Schlechtere Umweltstandards, Gentechnik"
"v11_10"	"Variable Label"	"nicht genannt"
"v11_10"	"1"	"genannt"
"v11_11"	"Variable Label"	"Schlechte Agrarpolitik"
"v11_11"	"Variable Label"	"nicht genannt"
"v11_11"	"1"	"genannt"
"v11_12"	"Variable Label"	"Verkehr/ Transit"
"v11_12"	"Variable Label"	"nicht genannt"
"v11_12"	"1"	"genannt"
"v11_2"	"Variable Label"	"Keine"
"v11_2"	"Variable Label"	"nicht genannt"
"v11_2"	"1"	"genannt"
"v11_3"	"Variable Label"	"Anderes"
"v11_3"	"Variable Label"	"nicht genannt"
"v11_3"	"1"	"genannt"
"v11_4"	"Variable Label"	"EURO-Einführung, kein Schilling mehr, Teuerung, Kaufkraft geringer"
"v11_4"	"Variable Label"	"nicht genannt"
"v11_4"	"1"	"genannt"
"v11_5"	"Variable Label"	"Offene Grenzen, Ausländer, Zuwanderung"
"v11_5"	"Variable Label"	"nicht genannt"
