variable	value	Label
"age"	"Variable Label"	"Alter in Jahren"
"age"	"8"	" 5-8 Jahre"
"age"	"9"	"9 Jahre"
"age"	"10"	"10 Jahre"
"age"	"11"	"11 Jahre"
"age"	"12"	"12 Jahre"
"age"	"13"	"13 Jahre"
"age"	"14"	"14 Jahre"
"age"	"15"	"15 Jahre"
"age"	"16"	"16 Jahre"
"age"	"17"	"17 Jahre"
"age"	"18"	"18 Jahre"
"age"	"19"	"19 Jahre"
"age"	"20"	"20-22 Jahre"
"doi"	"Variable Label"	"digital object identifier"
"e_BaSm"	"Variable Label"	"Höchste Ausbildung der Mutter (Elternauskunft)"
"e_BaSm"	"2"	"max. Pflichtschule"
"e_BaSm"	"3"	"Lehre oder BMS"
"e_BaSm"	"4"	"AHS"
"e_BaSm"	"5"	"BHS oder Kolleg"
"e_BaSm"	"6"	"Akademie"
"e_BaSm"	"7"	"Hochschule"
"e_BASv"	"Variable Label"	"Höchste Ausbildung des Vaters (Elternauskunft)"
"e_BASv"	"2"	"max. Pflichtschule"
"e_BASv"	"3"	"Pflichtschule/Lehre/BMS"
"e_BASv"	"4"	"AHS"
"e_BASv"	"5"	"BHS oder Kolleg"
"e_BASv"	"6"	"Hochschule oder Akademie"
"e_GW"	"Variable Label"	"Wie groß ist Ihre Wohnung (in m2)? (Elternauskunft)"
"e_GW"	"2"	"bis zu 59 m²"
"e_GW"	"3"	"60-69m2"
"e_GW"	"4"	"70-79m2"
"e_GW"	"5"	"80-89m2"
"e_GW"	"6"	"90-99m2"
"e_GW"	"7"	"100-119m2"
"e_GW"	"8"	"größer als 120m2"
"e_SP"	"Variable Label"	"Hat Ihr Kind ein eigenes Smartphone? (Elternauskunft)"
"e_SP"	"1"	"Ja"
"e_SP"	"2"	"Nein"
"e_welle_1"	"Variable Label"	"Eltern Teilnahme an der ersten Befragung im April 2020 während des Lockdown"
"e_welle_1"	"0"	"nicht Teil des Samples"
"e_welle_1"	"1"	"Teil des Samples"
"e_welle_12"	"Variable Label"	"Eltern Teilnahme an der ersten und zweiten Befragung (Lockdown und Teilöffnung)"
"e_welle_12"	"0"	"nicht Teil des Samples"
"e_welle_12"	"1"	"Teil des Samples"
"e_welle_123"	"Variable Label"	"Eltern Teilnahme an der ersten, zweiten und dritten Befragung"
"e_welle_123"	"0"	"nicht Teil des Samples"
"e_welle_123"	"1"	"Teil des Samples"
"e_welle_13"	"Variable Label"	"Eltern Teilnahme an der ersten und dritten Befragung (Lockdown und Bilanz)"
"e_welle_13"	"0"	"nicht Teil des Samples"
"e_welle_13"	"1"	"Teil des Samples"
"e_welle_2"	"Variable Label"	"Eltern Teilnahme an der ersten Befragung im Mai/Juni 2020 während der Teilöffnung"
"e_welle_2"	"0"	"nicht Teil des Samples"
"e_welle_2"	"1"	"Teil des Samples"
"e_welle_23"	"Variable Label"	"Eltern Teilnahme an der zweiten und dritten Befragung (Teilöffnung und Bilanz)"
"e_welle_23"	"0"	"nicht Teil des Samples"
"e_welle_23"	"1"	"Teil des Samples"
"e_welle_3"	"Variable Label"	"Eltern Teilnahme an der dritten Befragung im Juni 2020 Bilanz"
"e_welle_3"	"0"	"nicht Teil des Samples"
