variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10a"	"Variable Label"	"Türken"
"v10a"	"1"	"sehr angenehm"
"v10a"	"2"	"eher angenehm"
"v10a"	"3"	"eher unangenehm"
"v10a"	"4"	"unangenehm"
"v10a"	"5"	"W.N./K.A."
"v10b"	"Variable Label"	"Ex-Jugoslawen"
"v10b"	"1"	"sehr angenehm"
"v10b"	"2"	"eher angenehm"
"v10b"	"3"	"eher unangenehm"
"v10b"	"4"	"unangenehm"
"v10b"	"5"	"W.N./K.A."
"v10c"	"Variable Label"	"Asiaten"
"v10c"	"1"	"sehr angenehm"
"v10c"	"2"	"eher angenehm"
"v10c"	"3"	"eher unangenehm"
"v10c"	"4"	"unangenehm"
"v10c"	"5"	"W.N./K.A."
"v10d"	"Variable Label"	"Kurden"
"v10d"	"1"	"sehr angenehm"
"v10d"	"2"	"eher angenehm"
"v10d"	"3"	"eher unangenehm"
"v10d"	"4"	"unangenehm"
"v10d"	"5"	"W.N./K.A."
"v10e"	"Variable Label"	"Lateinamerikanern"
"v10e"	"1"	"sehr angenehm"
"v10e"	"2"	"eher angenehm"
"v10e"	"3"	"eher unangenehm"
"v10e"	"4"	"unangenehm"
"v10e"	"5"	"W.N./K.A."
"v10f"	"Variable Label"	"Afrikanern"
"v10f"	"1"	"sehr angenehm"
"v10f"	"2"	"eher angenehm"
"v10f"	"3"	"eher unangenehm"
"v10f"	"4"	"unangenehm"
"v10f"	"5"	"W.N./K.A."
"v10g"	"Variable Label"	"Arabern"
"v10g"	"1"	"sehr angenehm"
"v10g"	"2"	"eher angenehm"
"v10g"	"3"	"eher unangenehm"
"v10g"	"4"	"unangenehm"
"v10g"	"5"	"W.N./K.A."
"v10h"	"Variable Label"	"Juden"
"v10h"	"1"	"sehr angenehm"
"v10h"	"2"	"eher angenehm"
"v10h"	"3"	"eher unangenehm"
"v10h"	"4"	"unangenehm"
"v10h"	"5"	"W.N./K.A."
"v11a"	"Variable Label"	"Türken"
"v11a"	"1"	"sehr groß"
"v11a"	"2"	"eher groß"
"v11a"	"3"	"eher gering"
"v11a"	"4"	"sehr gering"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"Ex-Jugoslawen"
"v11b"	"1"	"sehr groß"
"v11b"	"2"	"eher groß"
"v11b"	"3"	"eher gering"
"v11b"	"4"	"sehr gering"
"v11b"	"5"	"W.N./K.A."
