variable	value	Label
"age"	"Variable Label"	"AGE IN YEARS (ON ELECTION DAY)"
"age"	"70"	">= 70"
"age_y19"	"Variable Label"	"AGE IN YEARS (ON ELECTION DAY)"
"age_y19"	"70"	">= 70"
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"RESPONDENT ID"
"panelpat"	"Variable Label"	"PATTERN OF PANEL PARTICIPATION (ALL WAVES)"
"popnum"	"Variable Label"	"CATEGORIZED POPULATION NUMBER (MUNICIPALITY)"
"popnum"	"0"	"<2.500"
"popnum"	"1"	"2.500-"
"popnum"	"2"	"5.000-"
"popnum"	"3"	"10.000-"
"popnum"	"4"	"50.000-"
"popnum"	"5"	"1M.+"
"popnum_y19"	"Variable Label"	"CATEGORIZED POPULATION NUMBER (MUNICIPALITY)"
"popnum_y19"	"0"	"<2.500"
"popnum_y19"	"1"	"2.500-"
"popnum_y19"	"2"	"5.000-"
"popnum_y19"	"3"	"10.000-"
"popnum_y19"	"4"	"50.000-"
"popnum_y19"	"5"	"1M.+"
"sd1"	"Variable Label"	"AUSTRIAN CITIZENSHIP"
"sd1"	"1"	"yes"
"sd10"	"Variable Label"	"CURRENT PERSONAL SITUATION"
"sd10"	"1"	"employed"
"sd10"	"2"	"retired"
"sd10"	"3"	"a student at school"
"sd10"	"4"	"a student at university"
"sd10"	"5"	"other training"
"sd10"	"6"	"on leave"
"sd10"	"7"	"a homemaker"
"sd10"	"8"	"military/civilian service, voluntary social year"
"sd10"	"9"	"unfit for work"
"sd10"	"10"	"unemployed or seeking for work"
"sd10"	"11"	"other"
"sd10_y19"	"Variable Label"	"CURRENT PERSONAL SITUATION"
"sd10_y19"	"1"	"employed"
"sd10_y19"	"2"	"retired"
"sd10_y19"	"3"	"a student at school"
"sd10_y19"	"4"	"a student at university"
"sd10_y19"	"5"	"other training"
"sd10_y19"	"6"	"on leave"
"sd10_y19"	"7"	"a homemaker"
"sd10_y19"	"8"	"military/civilian service, voluntary social year"
"sd10_y19"	"9"	"unfit for work"
"sd10_y19"	"10"	"unemployed or seeking for work"
"sd10_y19"	"11"	"other"
"sd11"	"Variable Label"	"JOB SITUATION"
"sd11"	"1"	"employed, more than 35h weekly"
"sd11"	"2"	"employed,15 - 35h weekly"
"sd11"	"3"	"employed, less than 15h weekly"
"sd11"	"4"	"help out in a family firm"
"sd11"	"5"	"in vocational training"
"sd11_y19"	"Variable Label"	"JOB SITUATION"
"sd11_y19"	"1"	"employed, more than 35h weekly"
"sd11_y19"	"2"	"employed,15 - 35h weekly"
"sd11_y19"	"3"	"employed, less than 15h weekly"
"sd11_y19"	"4"	"help out in a family firm"
"sd11_y19"	"5"	"in vocational training"
"sd12"	"Variable Label"	"OTHER OCCUPATION"
"sd12"	"1"	"retired"
"sd12"	"2"	"a student at university"
"sd12"	"3"	"a student at school"
"sd12"	"4"	"other training"
"sd12"	"5"	"on leave"
"sd12"	"6"	"none of the above"
"sd12_y19"	"Variable Label"	"OTHER OCCUPATION"
"sd12_y19"	"1"	"retired"
"sd12_y19"	"2"	"a student at university"
"sd12_y19"	"3"	"a student at school"
"sd12_y19"	"4"	"other training"
"sd12_y19"	"5"	"on leave"
"sd12_y19"	"6"	"none of the above"
"sd13"	"Variable Label"	"ADDITIONAL OCCUPATION"
"sd13"	"1"	"more than 35h weekly"
"sd13"	"2"	"15 - 35h weekly"
"sd13"	"3"	"less than 15h weekly"
"sd13"	"4"	"help out in a family firm"
"sd13"	"5"	"in vocational training"
"sd13"	"6"	"no"
"sd13_y19"	"Variable Label"	"ADDITIONAL OCCUPATION"
"sd13_y19"	"1"	"more than 35h weekly"
"sd13_y19"	"2"	"15 - 35h weekly"
"sd13_y19"	"3"	"less than 15h weekly"
"sd13_y19"	"4"	"help out in a family firm"
"sd13_y19"	"5"	"in vocational training"
"sd13_y19"	"6"	"no"
"sd14"	"Variable Label"	"TYPE OF OCCUPATION"
"sd14"	"1"	"employee"
"sd14"	"2"	"blue-collar worker"
"sd14"	"3"	"public official"
"sd14"	"4"	"civil servant"
"sd14"	"5"	"self-employed without employees"
"sd14"	"6"	"self-employed with employees"
"sd14"	"7"	"freelance worker"
"sd14"	"8"	"farmer"
"sd14_y19"	"Variable Label"	"TYPE OF OCCUPATION"
"sd14_y19"	"1"	"employee"
"sd14_y19"	"2"	"blue-collar worker"
"sd14_y19"	"3"	"public official"
"sd14_y19"	"4"	"civil servant"
"sd14_y19"	"5"	"self-employed without employees"
"sd14_y19"	"6"	"self-employed with employees"
"sd14_y19"	"7"	"freelance worker"
"sd14_y19"	"8"	"farmer"
"sd15"	"Variable Label"	"EVER EMPLOYMENT"
"sd15"	"1"	"yes, full- or part-time"
"sd15"	"2"	"no, neither"
"sd15_y19"	"Variable Label"	"EVER EMPLOYMENT"
"sd15_y19"	"1"	"yes, full- or part-time"
"sd15_y19"	"2"	"no, neither"
"sd16"	"Variable Label"	"PREVIOUS TYPE OF OCCUPATION"
"sd16"	"1"	"employee"
"sd16"	"2"	"blue-collar worker"
"sd16"	"3"	"public official"
"sd16"	"4"	"civil servant"
"sd16"	"5"	"self-employed without employees"
"sd16"	"6"	"self-employed with employees"
"sd16"	"7"	"freelance worker"
"sd16"	"8"	"farmer"
"sd16_y19"	"Variable Label"	"PREVIOUS TYPE OF OCCUPATION"
"sd16_y19"	"1"	"employee"
"sd16_y19"	"2"	"blue-collar worker"
"sd16_y19"	"3"	"public official"
"sd16_y19"	"4"	"civil servant"
"sd16_y19"	"5"	"self-employed without employees"
"sd16_y19"	"6"	"self-employed with employees"
"sd16_y19"	"7"	"freelance worker"
"sd16_y19"	"8"	"farmer"
"sd17"	"Variable Label"	"AUSTRIAN CITIZENSHIP FROM BIRTH"
"sd17"	"1"	"by birth"
"sd17"	"2"	"received it later in life"
"sd17_y19"	"Variable Label"	"AUSTRIAN CITIZENSHIP FROM BIRTH"
"sd17_y19"	"1"	"by birth"
"sd17_y19"	"2"	"received it later in life"
"sd18"	"Variable Label"	"COUNTRY OF BIRTH R."
"sd18"	"1"	"Austria"
"sd18"	"2"	"Germany"
"sd18"	"3"	"Bosnia, Croatia, Serbia"
"sd18"	"4"	"Poland, Slovenia, Czech Republic, Hungary"
"sd18"	"5"	"Other country"
"sd18_y19"	"Variable Label"	"COUNTRY OF BIRTH R."
"sd18_y19"	"1"	"Austria"
"sd18_y19"	"2"	"Germany"
"sd18_y19"	"3"	"Bosnia, Croatia, Serbia"
"sd18_y19"	"4"	"Poland, Slovenia, Czech Republic, Hungary"
"sd18_y19"	"5"	"Other country"
"sd19"	"Variable Label"	"COUNTRY OF BIRTH MOTHER"
"sd19"	"1"	"Austria"
"sd19"	"2"	"Germany"
"sd19"	"3"	"Turkey"
"sd19"	"4"	"Bosnia, Croatia, Serbia"
"sd19"	"5"	"Poland, Slovenia, Czech Republic, Hungary"
"sd19"	"6"	"Other country"
"sd19_y19"	"Variable Label"	"COUNTRY OF BIRTH MOTHER"
"sd19_y19"	"1"	"Austria"
"sd19_y19"	"2"	"Germany"
"sd19_y19"	"3"	"Turkey"
"sd19_y19"	"4"	"Bosnia, Croatia, Serbia"
"sd19_y19"	"5"	"Poland, Slovenia, Czech Republic, Hungary"
"sd19_y19"	"6"	"Other country"
"sd20"	"Variable Label"	"COUNTRY OF BIRTH FATHER"
"sd20"	"1"	"Austria"
"sd20"	"2"	"Germany"
"sd20"	"3"	"Turkey"
"sd20"	"4"	"Bosnia, Croatia, Serbia"
"sd20"	"5"	"Poland, Slovenia, Czech Republic, Hungary"
"sd20"	"6"	"Other country"
"sd20_y19"	"Variable Label"	"COUNTRY OF BIRTH FATHER"
"sd20_y19"	"1"	"Austria"
