variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Gesetz ermöglicht Behördenwillkür"
"v01"	"1"	"Habe diesen Eindruck"
"v01"	"2"	"Habe nicht diesen Eindruck"
"v01"	"3"	"W.N./K.A."
"v02"	"Variable Label"	"Sollte man das Gesetz ändern?"
"v02"	"1"	"Sofort ändern"
"v02"	"2"	"Erst beobachten"
"v02"	"3"	"Belassen, wie es ist"
"v02"	"4"	"W.N./K.A."
"v03"	"Variable Label"	"Beurteilung von Minister Löschnak"
"v03"	"1"	"sehr zufrieden"
"v03"	"2"	"eher schon zufrieden"
"v03"	"3"	"eher nicht zufrieden"
"v03"	"4"	"unzufrieden"
"v03"	"5"	"W.N./K.A."
"v04"	"Variable Label"	"Österreichs Wirtschaft im Vergleich"
"v04"	"1"	"besser"
"v04"	"2"	"gleich"
"v04"	"3"	"schlechter"
"v04"	"4"	"W.N./K.A."
"v05"	"Variable Label"	"Kann ÖGB vor Arbeitslosigkeit schützen?"
"v05"	"1"	"Ja"
"v05"	"2"	"Nur bedingt"
"v05"	"3"	"Nein"
"v05"	"4"	"W.N./K.A."
"v06"	"Variable Label"	"Würde sich ÖGB nur für Mitglieder einsetzen?"
"v06"	"1"	"Nur für seine Mitglieder"
"v06"	"2"	"Für alle anderen Arbeitnehmer auch"
"v06"	"3"	"W.N./K.A."
"v07"	"Variable Label"	"Hat ÖGB konjunkturbelebende Maßnahmen gefordert?"
"v07"	"1"	"Ja"
"v07"	"2"	"Nein"
"v07"	"3"	"W.N./K.A."
"v08"	"Variable Label"	"Sozialabbau ist unumgänglich"
"v08"	"1"	"Stimmt"
"v08"	"2"	"Stimmt nicht"
"v08"	"3"	"W.N./K.A."
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Alter"
"v10"	"1"	"16 bis 24 Jahre"
"v10"	"2"	"25 bis 39 Jahre"
"v10"	"3"	"40 bis 59 Jahre"
"v10"	"4"	"Ab 60 Jahre"
"v11"	"Variable Label"	"Bildung"
"v11"	"1"	"Matura/Universität"
"v11"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v11"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v12"	"Variable Label"	"Tätigkeit"
"v12"	"1"	"In Ausbildung"
"v12"	"2"	"Nicht berufstätig"
"v12"	"3"	"Pension"
"v12"	"4"	"Selbständig/Landwirt"
"v12"	"5"	"Arbeiter"
"v12"	"6"	"Angestellte"
"v13"	"Variable Label"	"Parteipräferenz"
"v13"	"1"	"SPÖ"
"v13"	"2"	"ÖVP"
"v13"	"3"	"FPÖ"
"v13"	"4"	"KPÖ"
"v13"	"5"	"GAL"
"v13"	"6"	"LIF"
"v13"	"7"	"Keine"
"v13"	"8"	"K.A."
"v14"	"Variable Label"	"Bundesland"
"v14"	"1"	"Wien"
"v14"	"2"	"Niederösterreich"
"v14"	"3"	"Burgenland"
"v14"	"4"	"Steiermark"
"v14"	"5"	"Kärnten"
"v14"	"6"	"Oberösterreich"
"v14"	"7"	"Salzburg"
"v14"	"8"	"Tirol"
"v14"	"9"	"Vorarlberg"
"version"	"Variable Label"	"AUSSDA archive version"
