variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Soll Österreich Mitglied der Europäischen Union bleiben oder wieder austreten?"
"v1"	"1"	"in der EU bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Ist die Einführung des EURO für die Preissteigerung der letzten Jahre hauptverantwortlich oder waren es eher andere Faktoren"
"v10"	"1"	"Überwiegend Einführung des Euro"
"v10"	"2"	"Eher andere Faktoren"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Wenn wir der EU nicht beigetreten wären, hätte sich die österreichische Wirtschaft in den letzten 10 Jahren besser oder schlechter entwickelt?"
"v11"	"1"	"Hätte sich besser entwickelt"
"v11"	"2"	"Hätte sich gleich entwickelt"
"v11"	"3"	"Hätte sich schlechter entwickelt"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Haben Sie selbst durch den EU-Beitritt Österreichs mehr Vorteile oder mehr Nachteile, oder gab es für Sie weder Vorteile noch Nachteile?"
"v12"	"1"	"Mehr Vorteile"
"v12"	"2"	"Weder Vorteile noch Nachteile"
"v12"	"3"	"Mehr Nachteile"
"v12"	"4"	"W.N./K.A."
"v13"	"Variable Label"	"Wie groß ist, ganz allgemein Ihr Vertrauen in die EU?"
"v13"	"1"	"1 (überhaupt kein Vertrauen)"
"v13"	"2"	"2"
"v13"	"3"	"3"
"v13"	"4"	"4"
"v13"	"5"	"5"
"v13"	"6"	"6"
"v13"	"7"	"7 (sehr groß)"
"v14"	"Variable Label"	"Hat sich die Identität bzw. die Eigenart der ÖsterreicherInnen, durch die Mitgliedschaft Österreichs bei der EU verändert?"
"v14"	"1"	"Hat sich sehr verändert"
"v14"	"2"	"Hat sich wenig verändert"
"v14"	"3"	"Hat sich gar nicht verändert"
"v14"	"4"	"W.N./K.A."
"v15a"	"Variable Label"	"Persönlichkeiten der Regierung"
"v15a"	"1"	"sehr wichtig"
"v15a"	"2"	"weniger wichtig"
"v15a"	"3"	"gar nicht wichtig"
"v15a"	"4"	"W.N./K.A."
"v15b"	"Variable Label"	"Persönlichkeiten der Oppositionsparteien"
"v15b"	"1"	"sehr wichtig"
"v15b"	"2"	"weniger wichtig"
"v15b"	"3"	"gar nicht wichtig"
"v15b"	"4"	"W.N./K.A."
"v15c"	"Variable Label"	"Sachkundige Zeitungsjournalisten"
"v15c"	"1"	"sehr wichtig"
"v15c"	"2"	"weniger wichtig"
"v15c"	"3"	"gar nicht wichtig"
"v15c"	"4"	"W.N./K.A."
"v15d"	"Variable Label"	"Sachkundige Fernseh- und Radiojournalisten"
"v15d"	"1"	"sehr wichtig"
"v15d"	"2"	"weniger wichtig"
"v15d"	"3"	"gar nicht wichtig"
"v15d"	"4"	"W.N./K.A."
"v15e"	"Variable Label"	"Wichtige Persönlichkeiten in meinem Wiener Bezirk"
