variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"WEIMF"	"Variable Label"	"Männer-Frauen-Gewicht"
"GEWICHT"	"Variable Label"	" "
"SEX"	"Variable Label"	"Geschlecht"
"SEX"	",00"	"Männer"
"SEX"	"1,00"	"Frauen"
"ALTER"	"Variable Label"	"Alter in Jahren"
"ALTER"	"73,00"	"73 Jahre und älter"
"VAR1a"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Arbeit"
"VAR1a"	"1,00"	"sehr wichtig"
"VAR1a"	"2,00"	"ziemlich wichtig"
"VAR1a"	"3,00"	"mittel"
"VAR1a"	"4,00"	"nicht sehr wichtig"
"VAR1a"	"5,00"	"überh. nicht wichtig"
"VAR1b"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Familie"
"VAR1b"	"1,00"	"sehr wichtig"
"VAR1b"	"2,00"	"ziemlich wichtig"
"VAR1b"	"3,00"	"mittel"
"VAR1b"	"4,00"	"nicht sehr wichtig"
"VAR1b"	"5,00"	"überh. nicht wichtig"
"VAR1c"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Freunde bzw. Bekannte"
"VAR1c"	"1,00"	"sehr wichtig"
"VAR1c"	"2,00"	"ziemlich wichtig"
"VAR1c"	"3,00"	"mittel"
"VAR1c"	"4,00"	"nicht sehr wichtig"
"VAR1c"	"5,00"	"überh. nicht wichtig"
"VAR1d"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Freizeit"
"VAR1d"	"1,00"	"sehr wichtig"
"VAR1d"	"2,00"	"ziemlich wichtig"
"VAR1d"	"3,00"	"mittel"
"VAR1d"	"4,00"	"nicht sehr wichtig"
"VAR1d"	"5,00"	"überh. nicht wichtig"
"VAR1e"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Politik"
"VAR1e"	"1,00"	"sehr wichtig"
"VAR1e"	"2,00"	"ziemlich wichtig"
"VAR1e"	"3,00"	"mittel"
"VAR1e"	"4,00"	"nicht sehr wichtig"
"VAR1e"	"5,00"	"überh. nicht wichtig"
"VAR1f"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Religion"
"VAR1f"	"1,00"	"sehr wichtig"
"VAR1f"	"2,00"	"ziemlich wichtig"
"VAR1f"	"3,00"	"mittel"
"VAR1f"	"4,00"	"nicht sehr wichtig"
"VAR1f"	"5,00"	"überh. nicht wichtig"
"VAR1g"	"Variable Label"	"Bitte sagen Sie mir für jeden Bereich, ob er Ihnen sehr wichtig ist, ziemlich wichtig, mittel, nicht sehr wichtig oder überhaupt nicht wichtig ist. / Kirche"
"VAR1g"	"1,00"	"sehr wichtig"
"VAR1g"	"2,00"	"ziemlich wichtig"
"VAR1g"	"3,00"	"mittel"
"VAR1g"	"4,00"	"nicht sehr wichtig"
"VAR1g"	"5,00"	"überh. nicht wichtig"
"VAR2"	"Variable Label"	"Wie zufrieden sind Sie ganz allgemein mit Ihrem Leben?"
"VAR2"	"1,00"	"völlig zufrieden"
"VAR2"	"10,00"	"völlig unzufrieden"
"VAR3"	"Variable Label"	"Interessieren Sie sich für Politik?"
"VAR3"	"1,00"	"sehr stark"
"VAR3"	"2,00"	"eher stark"
"VAR3"	"3,00"	"mittel"
"VAR3"	"4,00"	"eher wenig"
"VAR3"	"5,00"	"sehr wenig"
"VAR4"	"Variable Label"	"Interessieren Sie sich für Umweltfragen, für den Umweltschutz?"
"VAR4"	"1,00"	"sehr stark"
"VAR4"	"2,00"	"eher stark"
"VAR4"	"3,00"	"mittel"
"VAR4"	"4,00"	"eher wenig"
"VAR4"	"5,00"	"sehr wenig"
"VAR5a"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Verbesserungen in der Arbeitswelt"
"VAR5a"	"1,00"	"sehr wichtig"
"VAR5a"	"5,00"	"unwichtig"
"VAR5b"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Jugend"
"VAR5b"	"1,00"	"sehr wichtig"
"VAR5b"	"5,00"	"unwichtig"
"VAR5c"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Weltfriede"
"VAR5c"	"1,00"	"sehr wichtig"
"VAR5c"	"5,00"	"unwichtig"
"VAR5d"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Frauenförderung"
"VAR5d"	"1,00"	"sehr wichtig"
"VAR5d"	"5,00"	"unwichtig"
"VAR5e"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Umweltschutz, Ökologie"
"VAR5e"	"1,00"	"sehr wichtig"
"VAR5e"	"5,00"	"unwichtig"
"VAR5f"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / soziale Gerechtigkeit"
"VAR5f"	"1,00"	"sehr wichtig"
"VAR5f"	"5,00"	"unwichtig"
"VAR5g"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Familie"
"VAR5g"	"1,00"	"sehr wichtig"
"VAR5g"	"5,00"	"unwichtig"
"VAR5h"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Länder mit niedrigem und mittlerem Einkommen"
"VAR5h"	"1,00"	"sehr wichtig"
"VAR5h"	"5,00"	"unwichtig"
"VAR5j"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Aufbruch im Osten"
"VAR5j"	"1,00"	"sehr wichtig"
"VAR5j"	"5,00"	"unwichtig"
"VAR5k"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Schule"
"VAR5k"	"1,00"	"sehr wichtig"
"VAR5k"	"5,00"	"unwichtig"
"VAR5l"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Arbeitsplatzsicherheit"
"VAR5l"	"1,00"	"sehr wichtig"
"VAR5l"	"5,00"	"unwichtig"
"VAR5m"	"Variable Label"	"Sagen Sie mir bitte zu jedem dieser politischen Anliegen, ob es Ihnen sehr wichtig oder unwichtig ist. Stufen Sie auf der Skala zwischen 1 und 5 ab. / Ausländerfrage"
"VAR5m"	"1,00"	"sehr wichtig"
"VAR5m"	"5,00"	"unwichtig"
