variable	value	Label
"age"	"Variable Label"	"Age of respondent"
"bld"	"Variable Label"	"Province (Bundesland)"
"bld"	"1"	"Vorarlberg"
"bld"	"2"	"Tirol"
"bld"	"3"	"Salzburg"
"bld"	"4"	"Oberösterreich"
"bld"	"5"	"Kärnten"
"bld"	"6"	"Steiermark"
"bld"	"7"	"Burgenland"
"bld"	"8"	"Niederösterreich"
"bld"	"9"	"Wien"
"d002"	"Variable Label"	"D002:gender"
"d002"	"1"	"male"
"d002"	"2"	"female"
"d003"	"Variable Label"	"D003:year of birth"
"d004"	"Variable Label"	"D004:highest level of education"
"d004"	"1"	"Incomplete secondary or less"
"d004"	"2"	"Secondary education (only compulsory)"
"d004"	"3"	"Post-secondary trade/vocational school"
"d004"	"4"	"Secondary completed (academic secondary school)"
"d004"	"5"	"Secondary completed (technical and vocational)"
"d004"	"6"	"Post-secondary college"
"d004"	"7"	"University degree completed"
"d004"	"8"	"Other"
"d005"	"Variable Label"	"D005:how many years attended school"
"d005"	"1"	"8 years"
"d005"	"2"	"9 years"
"d005"	"3"	"10 years"
"d005"	"4"	"11 years"
"d005"	"5"	"12 years"
"d005"	"6"	"13 years"
"d005"	"7"	"14 years"
"d005"	"8"	"15 years"
"d005"	"9"	"16 years"
"d005"	"10"	"17 years"
"d005"	"11"	"18 years"
"d005"	"12"	"19 years"
"d005"	"13"	"20 years and more"
"d006"	"Variable Label"	"D006:legal maritial status"
"d006"	"1"	"married and living together with spouse"
"d006"	"2"	"married but separated"
"d006"	"3"	"long-term relationship"
"d006"	"4"	"single, never married"
"d006"	"5"	"divorced"
"d006"	"6"	"widowed"
"d007"	"Variable Label"	"D007:number of people in household"
"d007"	"1"	"1 person"
"d007"	"2"	"2 persons"
"d007"	"3"	"3 persons"
"d007"	"4"	"4 persons"
"d007"	"5"	"5 persons"
"d007"	"6"	"6 persons"
"d007"	"7"	"7 persons"
"d007"	"8"	"8 persons and more"
"d007a"	"Variable Label"	"D007a:number of people in household under 18 years"
"d007a"	"1"	"1 person"
"d007a"	"2"	"2 persons"
"d007a"	"3"	"3 persons"
"d007a"	"4"	"4 persons"
"d007a"	"5"	"5 persons"
"d007a"	"6"	"6 persons"
"d007a"	"7"	"7 persons"
"d007a"	"8"	"8 persons and more"
"d007a"	"9"	"none"
"d008"	"Variable Label"	"D008: Are you a union member?"
"d008"	"1"	"yes"
"d008"	"2"	"no"
"d008a"	"Variable Label"	"D008a:Is somebody else in your household a union member?"
"d008a"	"1"	"yes"
"d008a"	"2"	"no"
"d009"	"Variable Label"	"D009:Are you a member of a political party?"
"d009"	"1"	"yes"
"d009"	"2"	"no"
"d009a"	"Variable Label"	"D009a:Which political party are you a member of?"
"d009a"	"1"	"SPÖ"
"d009a"	"2"	"ÖVP"
"d009a"	"3"	"FPÖ"
"d009a"	"4"	"Grüne"
"d009a"	"5"	"BZÖ"
"d009a"	"6"	"LIF"
"d009a"	"7"	"Liste Dinkhauser"
"d009a"	"8"	"other party"
"d010"	"Variable Label"	"D010:employment status"
"d010"	"1"	"employed - full time"
"d010"	"2"	"employed - part time"
"d010"	"3"	"employed less than 15 hours"
"d010"	"4"	"apprentice"
"d010"	"5"	"unemployed"
"d010"	"6"	"retired with previous employment"
"d010"	"7"	"retired without previous employment"
"d010"	"8"	"parental or other leave"
