variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10a"	"Variable Label"	"Wenn Sie einem Mann begegnen, der nach einem strengen Moslem aussieht"
"v10a"	"1"	"Ja"
"v10a"	"2"	"Nein"
"v10a"	"3"	"W.N./K.A."
"v10b"	"Variable Label"	"Wenn Sie einer Frau begegnen, die nach Moslem-Art gekleidet ist"
"v10b"	"1"	"Ja"
"v10b"	"2"	"Nein"
"v10b"	"3"	"W.N./K.A."
"v10c"	"Variable Label"	"Wenn Sie einer Person begegnen, die wie ein Skinhead aussieht"
"v10c"	"1"	"Ja"
"v10c"	"2"	"Nein"
"v10c"	"3"	"W.N./K.A."
"v11a"	"Variable Label"	"Radikale Islamisten gehen mir mehr und mehr auf die Nerven"
"v11a"	"1"	"stimme zu"
"v11a"	"2"	"stimme nicht zu"
"v11a"	"3"	"W.N./K.A."
"v11b"	"Variable Label"	"Ausländerfeindliche Organisationen bzw. Personen gehen mir mehr und mehr auf die Nerven"
"v11b"	"1"	"stimme zu"
"v11b"	"2"	"stimme nicht zu"
"v11b"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Sind Sie der Ansicht, dass wir Österreicher einfach zu tolerant gegenüber Fremden sind, die sich unserer Lebensweise nicht anpassen wollen?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"männlich"
"v13"	"2"	"weiblich"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"bis 25 Jahre"
"v14"	"2"	"26-35 Jahre"
"v14"	"3"	"36-50 Jahre"
"v14"	"4"	"51-65 Jahre"
"v14"	"5"	"ab 66 Jahre"
"v14"	"6"	"ab 71"
"v15"	"Variable Label"	"Schulbildung"
"v15"	"1"	"Hochschule"
"v15"	"2"	"Mittelschule (mit Matura)"
"v15"	"3"	"Berufs- oder Handelsschule"
"v15"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v16"	"Variable Label"	"Tätigkeit"
"v16"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v16"	"2"	"Pension"
"v16"	"3"	"Nur im Haushalt tätig"
"v16"	"4"	"Arbeitslos"
"v16"	"5"	"Selbständig"
"v16"	"6"	"Landwirt"
"v16"	"7"	"Hilfsarbeiter"
"v16"	"8"	"Facharbeiter"
"v16"	"9"	"Angestellter"
"v16"	"10"	"Beamter"
"v16"	"11"	"Anderes"
"v17"	"Variable Label"	"Aktuelle Parteipräferenz"
"v17"	"1"	"SPÖ"
"v17"	"2"	"ÖVP"
"v17"	"3"	"Grüne"
"v17"	"4"	"FPÖ"
"v17"	"5"	"BZÖ"
"v17"	"6"	"KPÖ"
"v17"	"7"	"Andere"
"v17"	"8"	"Keine"
"v17"	"9"	"K.A."
"v18"	"Variable Label"	"Parteipräferenz früher"
"v18"	"1"	"SPÖ"
"v18"	"2"	"ÖVP"
"v18"	"3"	"Grüne"
"v18"	"4"	"FPÖ"
"v18"	"5"	"BZÖ"
